issuer_name,cusip,instrument_id,mi_key,spread_target,spread_source,predicted_spread,cheapness_bps,sp_rating,rating_numeric,modified_duration
Norfolk Southern Corporation,655844BW7,SPS542231141,4021829,115.23959,z_spread_bid,122.9862950077596,-7.746705007759587,BBB+,8.0,13.20766
Norfolk Southern Corporation,U65584AF8,SPS542273153,4021829,115.23959,z_spread_bid,122.9862950077596,-7.746705007759587,BBB+,8.0,13.20766
Norfolk Southern Railway Company,655855FB5,SPS14165866,4073968,140.0651,z_spread_bid,146.97388101194215,-6.908781011942153,BBB+,8.0,9.98986
Northrop Grumman Systems Corporation,872649BH0,SPS14078224,4312710,58.85792,z_spread_bid,114.59307508696514,-55.73515508696514,BBB+,8.0,2.59461
Occidental Petroleum Corporation,674599EG6,SPS1684713514,4010841,142.78059,z_spread_bid,219.20636860466644,-76.42577860466645,BB+,11.0,11.13233
Occidental Petroleum Corporation,674599DP7,SPS634205757,4010841,58.59728,z_spread_bid,296.1594668537288,-237.5621868537288,BB+,11.0,1.3789
Occidental Petroleum Corporation,674599DT9,SPS634205761,4010841,89.2456,z_spread_bid,209.88443755407286,-120.63883755407286,BB+,11.0,2.49052
"ONEOK, Inc.",682680AB9,SPS14060951,4010846,55.84375,z_spread_bid,92.01526219566406,-36.171512195664064,BBB,9.0,2.12951
"ONEOK, Inc.",682680BF9,SPS666570504,4010846,171.9786,z_spread_bid,170.41084419289885,1.5677558071011504,BBB,9.0,11.83921
"ONEOK, Inc.",682680BE2,SPS666570566,4010846,75.33124,z_spread_bid,110.86995165129711,-35.53871165129712,BBB,9.0,3.91501
Oracle Corporation,68389XBW4,SPS661501797,4041363,201.4554,z_spread_bid,203.23645663714396,-1.781056637143962,BBB,9.0,10.04073
Oracle Corporation,68389XBY0,SPS661501798,4041363,242.50185,z_spread_bid,216.85087444657358,25.650975553426406,BBB,9.0,14.24144
Oracle Corporation,68389XBX2,SPS661501800,4041363,223.59055,z_spread_bid,206.70015122675719,16.890398773242822,BBB,9.0,13.28475
Pacific Gas and Electric Company,694308KB2,SPS1771741932,4004218,59.80224,z_spread_bid,87.50007390546288,-27.697833905462886,BBB+,8.0,2.5433
Pacific Gas and Electric Company,694308KD8,SPS1771741934,4004218,177.63131,z_spread_bid,152.97782195955733,24.65348804044268,BBB+,8.0,12.89265
Pacific Gas and Electric Company,694308KF3,SPS1786038271,4004218,34.2981,z_spread_bid,78.10974399317448,-43.81164399317448,BBB+,8.0,0.98326
Pacific Gas and Electric Company,694308KG1,SPS1786038272,4004218,100.99886,z_spread_bid,109.60185961322416,-8.60299961322417,BBB+,8.0,4.92875
Pacific Gas and Electric Company,694308KH9,SPS1820704226,4004218,178.42636,z_spread_bid,154.98785410600283,23.43850589399716,BBB+,8.0,12.31508
Pacific Gas and Electric Company,694308KK2,SPS1831053386,4004218,176.8869,z_spread_bid,153.07671962318247,23.810180376817527,BBB+,8.0,12.55196
Pacific Gas and Electric Company,694308KL0,SPS1840069904,4004218,63.18309,z_spread_bid,89.62077583587772,-26.437685835877723,BBB+,8.0,2.36171
Pacific Gas and Electric Company,694308KQ9,SPS1872777034,4004218,57.02377,z_spread_bid,86.70447944068398,-29.680709440683984,BBB+,8.0,2.70413
Pacific Gas and Electric Company,694308KR7,SPS1872777035,4004218,115.71635,z_spread_bid,124.5005340250026,-8.784184025002588,BBB+,8.0,6.32151
Pacific Gas and Electric Company,694308KU0,SPS1932376728,4004218,123.30166,z_spread_bid,133.3209861419743,-10.01932614197429,BBB+,8.0,6.74358
Pacific Gas and Electric Company,694308KV8,SPS1932376729,4004218,174.74511,z_spread_bid,161.92416260740154,12.82094739259847,BBB+,8.0,13.05096
Pacific Gas and Electric Company,694308KW6,SPS1945918942,4004218,47.42852,z_spread_bid,87.9963543801594,-40.567834380159404,BBB+,8.0,1.85218
Pacific Gas and Electric Company,694308KX4,SPS1945918943,4004218,125.15592,z_spread_bid,128.8218541739905,-3.665934173990493,BBB+,8.0,6.93168
