issuer_name,cusip,instrument_id,mi_key,actual_spread,predicted_spread,cheapness_bps,downgrade_prob_4q,sp_rating,rating_numeric,modified_duration,quadrant,rv_long_score,rv_short_score
Pacific Gas and Electric Company,694308KK2,SPS1831053386,4004218,176.8869,153.07671962318247,23.810180376817527,0.14699392038597603,BBB+,8.0,12.55196,Long (cheap+safe),20.310228618131884,-3.4999517586856443
Pacific Gas and Electric Company,694308KH9,SPS1820704226,4004218,178.42636,154.98785410600283,23.43850589399716,0.14699392038597603,BBB+,8.0,12.31508,Long (cheap+safe),19.993188024648713,-3.4453178693484485
Alltel Corporation,020039AJ2,SPS14070091,4019044,90.98841,53.51421012056753,37.47419987943247,,BBB+,8.0,2.62554,Long (cheap+safe),18.737099939716234,-18.737099939716234
Pacific Gas and Electric Company,694308KZ9,SPS1961942871,4004218,176.04689,154.65616917890253,21.39072082109746,0.14699392038597603,BBB+,8.0,13.25898,Long (cheap+safe),18.24641490772242,-3.1443059133750397
Citigroup Inc.,172967QE4,SPS1956598824,4041896,161.77527,142.07420068380026,19.70106931619975,0.0856521308754484,BBB,9.0,11.06754,Long (cheap+safe),18.013630748742326,-1.6874385674574217
CSX Corporation,126408BP7,SPS241269697,4004350,76.99607,55.05440891441919,21.94166108558081,0.18783363944668735,BBB+,8.0,0.88314,Trap (cheap+risky),17.820279028370415,-4.121382057210397
Citigroup Inc.,U17408NC2,SPS1955139175,4041896,146.00471,126.73102739665397,19.273682603346018,0.0856521308754484,BBB+,8.0,7.2873,Long (cheap+safe),17.62285061855237,-1.6508319847936461
Southern California Edison Company,842400HF3,SPS717991856,4009083,151.79294,131.05495742195222,20.737982578047763,0.16143408731704326,BBB+,8.0,13.85796,Long (cheap+safe),17.390165287763878,-3.3478172902838845
"Kinder Morgan, Inc.",482620AX9,SPS14053447,4275772,199.16139,166.73192828229085,32.42946171770916,,BBB+,8.0,15.11771,Long (cheap+safe),16.21473085885458,-16.21473085885458
Oracle Corporation,68389XBX2,SPS661501800,4041363,223.59055,206.70015122675719,16.890398773242822,0.04190351710339104,BBB,9.0,13.28475,Long (cheap+safe),16.182631659365146,-0.7077671138776757
Southern California Edison Company,842400FQ1,SPS112583104,4009083,148.21525,129.09074646898569,19.124503531014312,0.16143408731704326,BBB+,8.0,9.915,Long (cheap+safe),16.037156758093445,-3.0873467729208666
Southern California Edison Company,842400GT4,SPS650140239,4009083,153.15574,134.34280670804677,18.812933291953243,0.16143408731704326,BBB+,8.0,13.64365,Long (cheap+safe),15.775884576210354,-3.03704871574289
Citigroup Inc.,172967MP3,SPS660463768,4041896,113.23957,96.77976998460703,16.45980001539297,0.0856521308754484,BBB+,8.0,4.25082,Long (cheap+safe),15.049983070290825,-1.4098169451021465
Southern California Edison Company,842400GY3,SPS700276747,4009083,149.18434,131.99285909224022,17.191480907759768,0.16143408731704326,BBB+,8.0,14.63212,Long (cheap+safe),14.416189877787197,-2.7752910299725726
Southern California Edison Company,842400FL2,SPS54125736,4009083,143.00305,125.93584990525126,17.067200094748742,0.16143408731704326,BBB+,8.0,8.75266,Long (cheap+safe),14.311972224395625,-2.7552278703531172
Southern California Edison Company,842400HN6,SPS1763903341,4009083,149.80852,133.6689636669001,16.139556333099875,0.16143408731704326,BBB+,8.0,14.34038,Long (cheap+safe),13.534081786763892,-2.6054745463359836
CSX Corporation,126408BM4,SPS14050104,4004350,88.59312,72.0001493835714,16.5929706164286,0.18783363944668735,BBB+,8.0,0.8811,Trap (cheap+risky),13.476252556312875,-3.1167180601157276
Southern California Edison Company,842400FP3,SPS99254812,4009083,143.0473,127.04230331120915,16.004996688790854,0.16143408731704326,BBB+,8.0,9.36679,Long (cheap+safe),13.421244655823603,-2.5837520329672508
"Charter Communications Operating, LLC",161175CL6,SPS1774063862,4137131,282.60067,256.3105447562319,26.290125243768102,,BBB-,10.0,13.00693,Long (cheap+safe),13.145062621884051,-13.145062621884051
Ford Holdings LLC,345277AE7,SPS14168084,4171731,154.90822,130.8802549032227,24.027965096777308,,BBB-,10.0,3.13353,Long (cheap+safe),12.013982548388654,-12.013982548388654
