(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)","Yield To Worst(%) - Mid
(%)"
SPT_ISSUER_NAME,SPT_INSTRUMENT_ITEM_ID,SPT_MI_KEY,SPT_CUSIP,SPT_DESCRIPTION,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID,SPT_EOD_YTW_MID
,,,,,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price
,,,,,4/30/2026,3/31/2026,2/27/2026,1/30/2026,12/31/2025,11/28/2025,10/31/2025,9/30/2025,8/29/2025,7/31/2025,6/30/2025,5/30/2025,4/30/2025,3/31/2025,2/28/2025,1/31/2025,12/31/2024,11/29/2024,10/31/2024,9/30/2024,6/28/2024,3/29/2024,12/29/2023,9/29/2023,6/30/2023,3/31/2023,12/30/2022,9/30/2022,6/30/2022,3/31/2022,12/31/2021,9/30/2021,6/30/2021,3/31/2021,12/31/2020
"Mandalay Resort Group, LLC",SPS14038421,4107947,172909AJ2,MBG 6.7 11/15/2096 FIX USD Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mandalay Resort Group, LLC",SPS14038423,4107947,172909AH6,MBG 7.0 11/15/2036 FIX USD Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MasTec, Inc.",SPS1803817670,4385530,576323AR0,MTZ 6.625 08/15/2029 FIX USD Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May Department Stores Co.,SPS32218277,4001582,577778CD3,FD-MAY 07/15/2034 FIX USD Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGM Growth Properties Operating Partnership LP,SPS536908645,4674780,55303XAE5,VPROPE 4.5 01/15/2028 FIX USD Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MidAmerican Funding, LLC",SPS14067416,4081927,59562HAC2,BRK-MidamFund 03/01/2029 FIX USD Corporate 144A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MidAmerican Funding, LLC",SPS14082915,4081927,59562HAJ7,BRK-MidamFund 6.927 03/01/2029 FIX USD Corporate,4.62376,4.71884,4.21831,4.21743,4.53454,4.50560,4.48976,4.24575,4.19879,5.13340,4.84623,5.18672,5.05801,4.76712,4.79859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MidAmerican Funding, LLC",SPS32218592,4081927,59562HAF5,BRK-MidamFund 03/01/2029 FIX USD Corporate,0,0,0,4.21743,4.53391,4.50560,4.48976,4.19958,4.18744,5.08555,4.93862,5.15732,5.04453,4.75610,4.75681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Motiva Enterprises LLC,SPS106419376,4061620,61980AAF0,MOTE 6.85 01/15/2040 FIX USD Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSCI Inc.,SPS642898600,4167462,55354GAJ9,MSCINC FIX USD Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"National Health Investors, Inc.",SPS309336287,102983,63633DA@3,NHI 01/13/2027 FIX USD Corporate RegS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nationwide Financial Services, Inc.",SPS277592989,108270,638612AL5,NFS 5.3 11/18/2044 FIX USD Corporate 144A,6.08978,5.99813,5.70397,5.87953,5.84003,5.72166,5.72150,5.75455,6.00165,6.05705,6.00458,6.19379,6.01305,5.86086,5.77841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nationwide Financial Services, Inc.",SPS277593059,108270,U63752AB2,NFS 5.3 11/18/2044 FIX USD Corporate RegS,6.08978,5.99813,5.70397,5.87953,5.84003,5.72166,5.72150,5.75455,6.00165,6.05705,6.00458,6.19379,6.01305,5.86086,5.77841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Navient Corporation,SPS14132592,102896,78490FAT6,NAVIECO 03/15/2028 FIX USD Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Navient Corporation,SPS14132992,102896,78490FAY5,NAVIECO 03/15/2028 FIX USD Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Navient Corporation,SPS14133537,102896,78490FBD0,NAVIECO 03/15/2028 FIX USD Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Navient Corporation,SPS14134031,102896,78490FBJ7,NAVIECO 03/15/2028 FIX USD Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Navient Corporation,SPS14145003,102896,78490FGC7,NAVIECO 03/15/2029 FIX USD Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Navient Corporation,SPS14145370,102896,78490FGG8,NAVIECO 03/15/2029 FIX USD Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Navient Corporation,SPS14145739,102896,78490FGL7,NAVIECO 03/15/2029 FIX USD Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Navient Corporation,SPS14146123,102896,78490FGQ6,NAVIECO 03/15/2029 FIX USD Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Navient Corporation,SPS14146477,102896,78490FGU7,NAVIECO 03/15/2029 FIX USD Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Navient Corporation,SPS14147205,102896,78490FHC6,NAVIECO 03/15/2029 FIX USD Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Navient Corporation,SPS14148312,102896,78490FHQ5,NAVIECO 03/15/2029 FIX USD Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Navient Corporation,SPS14148568,102896,78490FHU6,NAVIECO 03/15/2029 FIX USD Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Navient Corporation,SPS14149707,102896,78490FJE0,NAVIECO 03/15/2029 FIX USD Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCR Voyix Corporation,SPS708503640,4019364,62886EBB3,NCRVOY FIX USD Corporate 144A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NextEra Energy Capital Holdings, Inc.",SPS1760991694,4065678,65339KBZ2,NXTENG 2.44 01/15/2032 FIX USD Corporate,4.76822,4.76543,4.33867,4.55272,4.51921,4.49141,4.58457,4.57326,4.70982,4.88383,4.82855,5.04828,5.00451,4.98517,4.95868,5.30973,5.28024,4.91350,5.06649,4.56715,5.36497,5.10831,4.85441,5.98214,5.18512,4.84121,5.13968,5.51093,4.61746,3.46810,2.40271,0,0,0,0
"NextEra Energy Capital Holdings, Inc.",SPS1760991695,4065678,65339KCA6,NXTENG 3.0 01/15/2052 FIX USD Corporate,5.92170,5.90014,5.63084,5.72799,5.72040,5.58694,5.56172,5.61054,5.84242,5.81988,5.74852,5.99448,5.95380,5.78833,5.65037,5.82345,5.75626,5.34903,5.47889,5.12019,5.67580,5.49705,5.22348,6.03885,5.32297,5.16118,5.28034,5.44853,4.81091,3.79444,2.99618,0,0,0,0
"NextEra Energy Capital Holdings, Inc.",SPS1800633131,4065678,65339KCL2,NXTENG 4.685 09/01/2027 FIX USD Corporate,4.30164,4.31615,3.88526,3.91471,3.84479,4.03828,4.02106,4.06032,4.18460,4.32743,4.31536,4.48754,4.33049,4.52356,4.52219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NextEra Energy Capital Holdings, Inc.",SPS1824929509,4065678,65339KCM0,NXTENG 4.9 02/28/2028 FIX USD Corporate,4.38273,4.40573,3.90062,3.94644,3.93561,3.98048,4.06740,4.08736,4.13760,4.45573,4.31267,4.48097,4.39408,4.52725,4.56366,4.81705,4.89575,4.62903,4.73265,4.18981,5.16465,5.05539,4.61131,5.72326,5.11615,4.71332,0,0,0,0,0,0,0,0,0
"NextEra Energy Capital Holdings, Inc.",SPS1824929510,4065678,65339KCQ1,NXTENG 5.25 02/28/2053 FIX USD Corporate,5.98513,5.98725,5.73330,5.74477,5.74780,5.65232,5.62410,5.62611,5.86557,5.83393,5.79590,6.03376,6.02327,5.83742,5.74552,5.91527,5.83206,5.41903,5.56496,5.21574,5.72711,5.58333,5.36810,6.24354,5.47868,5.32032,0,0,0,0,0,0,0,0,0
"NextEra Energy Capital Holdings, Inc.",SPS1824929511,4065678,65339KCN8,NXTENG 5.0 02/28/2030 FIX USD Corporate,4.49700,4.48299,4.00207,4.18963,4.13327,4.08430,4.14296,4.20115,4.24160,4.49527,4.36705,4.56546,4.53901,4.59395,4.65255,4.90322,4.94231,4.65321,4.80267,4.25376,5.16204,4.96688,4.80790,5.82199,5.19018,4.87486,0,0,0,0,0,0,0,0,0
"NextEra Energy Capital Holdings, Inc.",SPS1824929512,4065678,65339KCP3,NXTENG 5.05 02/28/2033 FIX USD Corporate,4.86371,4.87440,4.49111,4.65613,4.62122,4.55731,4.65667,4.67281,4.80111,4.97182,4.89975,5.12668,5.11934,5.11004,5.09916,5.36851,5.33319,4.96214,5.14719,4.61617,5.41873,5.17188,5.01420,5.98729,5.21644,4.97451,0,0,0,0,0,0,0,0,0
"NextEra Energy Capital Holdings, Inc.",SPS1885042845,4065678,65339KDC1,NEXTEI 5.15 06/01/2029 FIX USD Corporate,4.22888,4.12579,3.71059,3.92136,4.05233,3.92614,4.03631,4.06407,4.01711,4.27778,4.11644,4.32475,4.16051,4.41287,4.44983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NextEra Energy Capital Holdings, Inc.",SPS1902103546,4065678,65339KDD9,NEXTEI 4.635 11/01/2029 FIX USD Corporate,0,0,0,0,0,0,0,29.53792,29.10446,28.66631,28.24718,27.86337,27.47467,27.10168,26.77104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NextEra Energy Capital Holdings, Inc.",SPS29069261,4065678,302570403,NXTENG 10/01/2066 FIX USD Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NextEra Energy Capital Holdings, Inc.",SPS428742841,4065678,65339KAT7,NXTENG 3.55 05/01/2027 FIX USD Corporate,4.24361,4.30576,3.87068,3.92124,3.97131,4.05663,4.04625,4.08086,4.20176,4.45370,4.29177,4.52310,4.37540,4.51444,4.52301,4.65033,4.70370,4.48097,4.62417,4.13500,5.28598,5.16526,4.69355,5.69731,5.19747,4.67306,5.02760,5.39718,4.32366,3.31493,1.83023,1.61919,1.54718,1.74671,1.17902
"NextEra Energy Capital Holdings, Inc.",SPS607925173,4065678,65339KBJ8,NXTENG 3.5 04/01/2029 FIX USD Corporate,4.42062,4.43849,3.97815,4.08352,4.12987,4.11335,4.16522,4.17910,4.18990,4.50128,4.39351,4.60022,4.57678,4.62871,4.68568,4.96437,4.97175,4.66273,4.81014,4.25073,5.18933,5.04515,4.65980,5.70890,5.29143,4.68189,5.19644,5.56182,4.66830,3.40254,2.27439,2.05411,1.95770,2.37305,1.57866
"NextEra Energy Capital Holdings, Inc.",SPS666803624,4065678,65339KBR0,NXTENG 2.25 06/01/2030 FIX USD Corporate,4.62580,4.56660,4.12808,4.31445,4.25309,4.21034,4.30201,4.30946,4.29891,4.57302,4.51826,4.74495,4.70147,4.77470,4.85651,5.05184,5.10958,4.76262,4.92849,4.35541,5.17931,5.08281,4.88446,5.88532,5.18560,4.85310,5.15205,5.51684,4.68760,3.42178,2.28783,2.16114,2.14039,2.47589,1.65570
"NextEra Energy Capital Holdings, Inc.",SPS717055991,4065678,65339KBW9,NXTENG 1.9 06/15/2028 FIX USD Corporate,4.37131,4.36614,3.85738,3.91327,3.91358,3.94103,4.01574,4.05456,4.08324,4.33998,4.26969,4.52862,4.38713,4.51233,4.62798,4.83573,4.89598,4.61165,4.76774,4.19033,5.16316,4.92001,4.72478,5.67243,5.17079,4.52021,5.02264,5.40624,4.42237,3.29545,2.03453,1.86832,1.73622,0,0
"Nordstrom, Inc.",SPS14053808,4053619,655664AH3,JWN 6.95 03/15/2028 FIX USD Corporate,5.67435,6.20432,4.73641,5.11291,5.13200,5.45670,5.15218,5.33053,5.56998,5.75515,5.83723,6.46151,6.63938,6.32847,5.69725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norfolk Southern Corporation,SPS139961530,4021829,655844BE7,NSC 10/01/2041 FIX USD Corporate 144A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norfolk Southern Corporation,SPS142250094,4021829,U65584AB7,NSC 10/01/2041 FIX USD Corporate RegS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norfolk Southern Corporation,SPS1677747918,4021829,655844CL0,NSC 2.9 08/25/2051 FIX USD Corporate,5.79979,5.81569,5.55212,5.64247,5.63849,5.47302,5.42662,5.42753,5.67899,5.65355,5.63406,5.80555,5.73938,5.64895,5.51259,5.67998,5.69046,5.33903,5.44589,5.12987,5.62313,5.32972,5.02546,5.87493,5.15513,5.11862,5.24235,5.41014,4.68367,3.64351,2.95293,3.04907,0,0,0
Norfolk Southern Corporation,SPS542231141,4021829,655844BW7,NSC 3.942 11/01/2047 FIX USD Corporate 144A,5.79127,5.87001,5.51485,5.63070,5.60859,5.44815,5.43682,5.43109,5.64545,5.69264,5.64862,5.89267,5.74593,5.65895,5.52646,5.75642,5.77852,5.35990,5.51104,5.16535,5.71705,5.42877,5.11922,5.95598,5.31870,5.23347,5.37763,5.56721,4.83637,3.76878,3.02327,3.11028,3.08429,3.46331,2.71839
Norfolk Southern Corporation,SPS542273153,4021829,U65584AF8,NSC 3.942 11/01/2047 FIX USD Corporate RegS,5.79127,5.87001,5.51485,5.63070,5.60859,5.44815,5.43682,5.43109,5.64545,5.69264,5.64862,5.89267,5.74593,5.65895,5.52646,5.75642,5.77852,5.35990,5.51104,5.16535,5.71705,5.42877,5.11922,5.95598,5.31870,5.23347,5.37763,5.56721,4.83637,3.76878,3.02327,3.11028,3.08429,3.46331,2.71839
Norfolk Southern Railway Company,SPS14165866,4073968,655855FB5,NSC-Railway 7.875 05/15/2043 FIX USD Corporate,6.00339,5.89481,5.62347,5.81953,5.92043,5.95264,5.96900,5.95297,6.17115,6.24648,6.15958,6.37379,6.42355,6.27170,6.16544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northrop Grumman Corporation,SPS14093116,4069910,666807AU6,NORGRM 02/15/2031 FIX USD Corporate 144A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northrop Grumman Corporation,SPS32220206,4069910,666807AV4,NORGRM 02/15/2031 FIX USD Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northrop Grumman Systems Corporation,SPS14078224,4312710,872649BH0,NOC-SysCorp 7.75 06/01/2029 FIX USD Corporate,4.65974,4.60293,3.99053,4.19668,4.19447,4.50429,4.48633,4.56127,4.48493,4.76345,4.65937,4.91665,5.12390,5.10204,5.08261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Occidental Petroleum Corporation,SPS1684713514,4010841,674599EG6,OXY 6.6 03/15/2046 FIX USD Corporate 144A,6.16776,6.23563,6.08972,6.27078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Occidental Petroleum Corporation,SPS634205757,4010841,674599DP7,OXY 7.0 11/15/2027 FIX USD Corporate,6.31567,5.27694,4.81117,4.04414,4.41505,4.46330,4.84104,5.00466,5.29962,5.42344,5.19417,5.45713,5.10992,5.24376,5.27616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Occidental Petroleum Corporation,SPS634205761,4010841,674599DT9,OXY 7.2 03/15/2029 FIX USD Corporate,4.92516,4.73794,4.19736,4.41175,4.45827,4.20731,4.64803,4.74095,4.85398,5.18786,5.34956,5.72172,5.75969,5.28137,5.16456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ONEOK, Inc.",SPS14060951,4010846,682680AB9,OKE 6.875 09/30/2028 FIX USD Corporate,4.62564,4.58137,3.95545,4.34896,4.16709,4.17496,4.09769,4.72813,4.46129,4.49119,4.73423,4.62703,4.66908,4.99647,4.96787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ONEOK, Inc.",SPS666570504,4010846,682680BF9,OKE 7.15 01/15/2051 FIX USD Corporate,6.41393,6.48567,6.15244,6.22022,6.32851,6.23627,6.26822,6.19608,6.54431,6.42542,6.49892,6.68370,6.71162,6.41735,6.26600,6.48472,6.43809,6.04403,6.20703,5.91652,6.32844,6.18471,5.93583,6.99239,6.72483,6.59091,6.96919,7.47332,6.58349,5.13428,4.32391,4.33702,4.24494,4.90838,4.54664
"ONEOK, Inc.",SPS666570566,4010846,682680BE2,OKE 6.35 01/15/2031 FIX USD Corporate,4.75933,4.74583,4.34206,4.61366,4.61318,4.61744,4.74518,4.65415,4.71148,4.90099,4.84985,5.13882,5.11776,5.03875,4.98277,5.27608,5.29967,4.93777,5.12606,4.68805,5.46348,5.26712,5.18018,6.29667,5.83861,5.57769,6.04102,6.57737,5.65119,4.12232,2.98360,2.88050,2.72532,3.19843,2.96891
Oracle Corporation,SPS661501797,4041363,68389XBW4,ORCLE 3.6 04/01/2040 FIX USD Corporate,6.71867,6.64399,6.28197,6.39467,6.38395,6.00156,5.83420,5.57866,5.71630,5.74689,5.58375,5.82151,5.84770,5.71660,5.59563,5.79339,5.76616,5.37818,5.59269,5.18803,5.86183,5.60554,5.47999,6.39577,5.70645,5.66723,6.03615,6.75876,5.91467,4.68015,3.57023,3.33476,3.19206,3.57017,2.43734
Oracle Corporation,SPS661501798,4041363,68389XBY0,ORCLE 3.85 04/01/2060 FIX USD Corporate,7.17097,7.01761,6.81172,6.82428,6.77440,6.35504,6.27583,5.98437,6.17910,6.11683,5.99057,6.18366,6.15739,5.98014,5.88365,6.03742,5.99202,5.60200,5.76138,5.41791,5.97125,5.74106,5.61628,6.45697,5.81269,5.82559,6.08740,6.69585,5.94058,4.86890,3.87545,3.75137,3.54484,3.93028,2.86822
Oracle Corporation,SPS661501800,4041363,68389XBX2,ORCLE 3.6 04/01/2050 FIX USD Corporate,7.13115,7.01494,6.79757,6.77644,6.75330,6.33584,6.18124,5.89135,6.09426,6.05437,5.92844,6.13058,6.10825,5.94002,5.78884,5.96069,5.88418,5.48893,5.67957,5.30795,5.88292,5.64128,5.45632,6.35456,5.67702,5.72148,5.95684,6.52926,5.83565,4.67041,3.70521,3.58604,3.43619,3.77515,2.74325
Pacific Bell Telephone Company,SPS14015702,4057208,694032AV5,PACIFIB 07/15/2043 FIX USD Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pacific Bell Telephone Company,SPS32220862,4057208,694032BH5,PACIFIB 07/15/2043 FIX USD Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pacific Gas and Electric Company,SPS1771741932,4004218,694308KB2,PCG-PacGas+Elec 4.2 03/01/2029 FIX USD Corporate,4.67589,4.61312,4.16247,4.34144,4.39717,4.31122,4.49373,4.45577,4.54494,4.86840,4.86330,4.99311,5.03439,5.12877,5.15468,5.57160,5.12048,4.88992,5.03098,4.53283,5.51790,5.38898,5.34180,6.73649,6.31084,5.77263,6.29070,7.11263,6.13777,4.46918,0,0,0,0,0
Pacific Gas and Electric Company,SPS1771741934,4004218,694308KD8,PCG-PacGas+Elec 5.25 03/01/2052 FIX USD Corporate,6.38231,6.43043,6.07762,6.23036,6.24666,6.08857,6.10025,6.07483,6.40509,6.51476,6.57292,6.70241,6.60123,6.32171,6.07354,6.37748,6.00801,5.72956,5.91018,5.62159,6.34822,6.04329,6.05739,7.13335,6.71212,6.33772,6.60751,7.20995,6.57396,5.07140,0,0,0,0,0
Pacific Gas and Electric Company,SPS1786038271,4004218,694308KF3,PCG-PacGas+Elec 5.45 06/15/2027 FIX USD Corporate,4.57144,4.46613,4.01410,4.16807,4.18081,4.36409,4.30421,4.33386,4.52303,4.64707,4.71180,4.92290,4.80579,4.87542,4.81878,5.43938,4.91360,4.78475,4.89730,4.43759,5.39771,5.34446,5.21055,6.55274,6.20177,5.72173,5.81113,6.89029,6.10686,0,0,0,0,0,0
Pacific Gas and Electric Company,SPS1786038272,4004218,694308KG1,PCG-PacGas+Elec 5.9 06/15/2032 FIX USD Corporate,5.10953,5.17471,4.74887,4.91531,4.99495,4.91686,5.01965,5.01029,5.15805,5.31988,5.48297,5.74182,5.69093,5.55268,5.44307,5.88794,5.42702,5.11993,5.30505,4.91328,5.85500,5.61193,5.61568,6.92497,6.41333,5.87132,6.22658,7.18594,6.34353,0,0,0,0,0,0
Pacific Gas and Electric Company,SPS1820704226,4004218,694308KH9,PCG-PacGas+Elec 6.75 01/15/2053 FIX USD Corporate,6.40923,6.41496,6.13055,6.23235,6.25430,6.08866,6.14499,6.14722,6.49250,6.44212,6.68561,6.77476,6.65285,6.39487,6.18963,6.50027,6.06159,5.81680,6.02783,5.72657,6.45016,6.07499,6.07001,7.25311,6.82897,6.48923,0,0,0,0,0,0,0,0,0
Pacific Gas and Electric Company,SPS1831053386,4004218,694308KK2,PCG-PacGas+Elec 6.7 04/01/2053 FIX USD Corporate,6.40594,6.40691,6.10687,6.23540,6.24990,6.13729,6.14557,6.15372,6.45913,6.43492,6.67007,6.76431,6.62586,6.36258,6.15849,6.49902,6.07400,5.76412,5.95186,5.66507,6.38887,6.09323,6.03944,7.18610,6.79691,6.37149,0,0,0,0,0,0,0,0,0
Pacific Gas and Electric Company,SPS1840069904,4004218,694308KL0,PCG-PacGas+Elec 6.1 01/15/2029 FIX USD Corporate,4.70992,4.69762,4.15975,4.24051,4.39184,4.47032,4.57895,4.54145,4.62395,4.97515,4.94158,5.05655,5.05308,5.09709,5.16595,5.69423,5.10297,4.89262,5.05821,4.60143,5.49984,5.33283,5.24963,6.63197,6.41888,0,0,0,0,0,0,0,0,0,0
Pacific Gas and Electric Company,SPS1872777034,4004218,694308KQ9,PCG-PacGas+Elec 5.55 05/15/2029 FIX USD Corporate,4.69579,4.71056,4.20234,4.42399,4.47411,4.45514,4.60406,4.62576,4.67685,4.97159,5.07441,5.16576,5.15528,5.17618,5.19234,5.60494,5.12031,4.88550,5.05738,4.57071,5.45990,5.32023,0,0,0,0,0,0,0,0,0,0,0,0,0
Pacific Gas and Electric Company,SPS1872777035,4004218,694308KR7,PCG-PacGas+Elec 5.8 05/15/2034 FIX USD Corporate,5.40486,5.40674,4.98480,5.21784,5.19750,5.13132,5.23984,5.25020,5.44921,5.60809,5.80265,5.94263,5.81505,5.65635,5.54742,5.94072,5.47752,5.22088,5.40713,5.01537,5.87604,5.65288,0,0,0,0,0,0,0,0,0,0,0,0,0
Pacific Gas and Electric Company,SPS1932376728,4004218,694308KU0,PCG-PacGas+Elec 5.7 03/01/2035 FIX USD Corporate,5.49141,5.50402,5.09540,5.33520,5.27288,5.20348,5.32319,5.34101,5.51699,5.63434,5.81709,5.93000,5.86307,5.69042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pacific Gas and Electric Company,SPS1932376729,4004218,694308KV8,PCG-PacGas+Elec 6.15 03/01/2055 FIX USD Corporate,6.38039,6.38631,6.10524,6.20015,6.21328,6.05731,6.10282,6.07057,6.39302,6.45350,6.63296,6.72452,6.62059,6.29003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
