Issuer Name,Instrument Item ID,MI KEY,CUSIP,Description,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid,Z - Spread - Mid
SPT_ISSUER_NAME,SPT_INSTRUMENT_ITEM_ID,SPT_MI_KEY,SPT_CUSIP,SPT_DESCRIPTION,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID,SPT_Z_SPREAD_MID
,,,,,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price
,,,,,04/30/2026,03/31/2026,02/27/2026,01/30/2026,12/31/2025,11/28/2025,10/31/2025,09/30/2025,08/29/2025,07/31/2025,06/30/2025,05/30/2025,04/30/2025,03/31/2025,02/28/2025,01/31/2025,12/31/2024,11/29/2024,10/31/2024,09/30/2024,06/28/2024,03/29/2024,12/29/2023,09/29/2023,06/30/2023,03/31/2023,12/30/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020
"BellSouth, LLC",SPS14045528,4041154,079857AF5,BELLLLC 7.12 07/15/2097 FIX USD Corporate RegS,254.53214,260.04570,257.14306,239.80557,267.63313,274.70616,256.26691,253.99353,276.63244,270.48967,272.66148,279.29722,285.35183,341.70978,257.49270,248.19776,259.31129,284.52889,291.61239,285.47302,317.58957,308.45537,305.75807,362.82111,362.84426,324.85728,347.04184,336.94794,326.01141,335.71352,295.94522,294.25681,304.88327,301.68143,350.22870
"BellSouth, LLC",SPS14081146,4041154,079857AH1,BELLLLC 7.875 02/15/2030 FIX USD Corporate,103.94405,108.66515,101.64016,109.40108,122.90171,127.80083,108.78504,130.97393,114.75412,130.38259,133.56276,131.33473,108.72677,94.89735,82.09127,89.24017,127.08824,121.60632,131.06527,144.58056,121.53098,137.92764,225.53669,212.73643,187.07384,202.81134,215.22933,190.36816,198.86831,193.39154,188.48741,157.37880,176.35807,210.10320,243.68974
"BellSouth, LLC",SPS14106681,4041154,079860AD4,BELLLLC 6.875 10/15/2031 FIX USD Corporate,99.85143,111.46672,106.98438,113.21307,109.78872,113.14104,113.65605,126.40189,134.41338,124.49739,134.13746,150.81968,141.60575,169.47659,154.25326,142.60855,95.78716,121.03601,124.81062,152.29302,147.15246,146.32443,169.77687,217.48213,195.16111,213.11333,213.97837,207.22379,171.99479,194.28022,166.95627,174.78152,173.60764,198.46695,213.17085
Belo Corp.,SPS14043892,4121666,080555AE5,TEGNINC 7.75 06/01/2027 FIX USD Corporate,131.48840,87.50726,67.72359,81.18924,97.86111,92.77206,102.89397,122.59554,118.68038,121.23052,155.75536,172.95171,240.12585,163.14255,145.71573,143.15434,138.50735,169.13487,183.99976,205.87710,199.61122,190.80250,292.22029,283.90850,341.29356,502.11243,412.66004,340.39012,331.44731,204.46983,266.39737,326.51453,327.18383,328.19896,409.45617
Belo Corp.,SPS14046964,4121666,080555AF2,BILLO 7.25 09/15/2027 FIX USD Corporate,117.86617,102.00218,115.86879,103.85948,108.15579,109.78641,101.80651,115.94746,126.64823,162.12032,187.48765,183.25943,211.91689,162.65798,161.74873,148.37057,144.17981,142.15212,185.32763,225.88639,237.22810,203.70432,283.49362,293.26423,366.64002,501.96657,414.86139,357.29552,358.10101,217.18904,280.18649,286.27029,309.39090,294.29193,393.05173
Blackstone Private Credit Fund,SPS1780659540,24801559,09261HA#4,BLACPRI 05/03/2027 FIX USD Corporate RegS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blackstone Private Credit Fund,SPS1803440694,24801559,09261HB*7,BLACPRI 10/11/2027 FIX USD Corporate RegS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blue Owl Credit Income Corp.,SPS1879069869,25867257,69120VBB6,BLUEOWAC 7.95 06/13/2028 FIX USD Corporate,234.13479,272.99658,254.25833,157.63490,170.33217,175.80494,164.71726,137.82290,147.08539,173.06555,161.68602,180.31453,238.11256,184.47254,146.06186,146.99863,151.25673,163.10722,201.17813,212.77096,217.90721,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blue Owl Finance LLC,SPS1837977662,29164958,U0942JAE6,BLUEOW 7.397 05/26/2028 FIX USD Corporate RegS,105.35022,106.28445,105.31730,103.56964,110.25237,108.98832,110.65466,249.81950,122.90631,271.91188,271.99603,110.64199,114.34166,107.61803,104.20524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blue Owl Finance LLC,SPS1837977799,29164958,09581JAK2,BLUEOW 7.397 05/26/2028 FIX USD Corporate,105.35022,106.28445,105.31730,103.56964,110.25237,108.98832,110.65466,249.81950,122.90631,271.91188,271.99603,110.64199,114.34166,107.61803,104.20524,117.80755,121.38070,198.64664,209.91386,203.61445,191.73866,0,0,0,0,0,0,0,0,0,0,0,0,0,0
