SPGTable,,,,,,,,,,,
Issuer Name,Instrument Item ID,MI KEY,CUSIP,Description,"Callable?
Yes/No","Next Call Date
MM/dd/yyyy","First Callable Payment Date
MM/dd/yyyy",Seniority Level,Debt Type Detail,"Maturity Date
MM/dd/yyyy",Maturity Type
SPT_ISSUER_NAME,SPT_INSTRUMENT_ITEM_ID,SPT_MI_KEY,SPT_CUSIP,SPT_DESCRIPTION,SPT_CALLABLE,SPT_NEXT_CALL_DATE,SPT_FIRST_CALLABLE_PAYMENT_DATE,SPT_SENIORITY_LEVEL,SPT_DEBT_TYPE_DETAIL,SPT_MAT_DATE,SPT_MATURITY_TYPE
,,,,,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price
,,,,,11/28/2025,10/31/2025,9/30/2025,8/29/2025,7/31/2025,5/30/2025,4/30/2025
"Cheniere Energy, Inc.",SPS1987606379,4100855,16411RAS8,CEIC 07/30/2056 FIX USD Corporate,No,,,Senior Unsecured,Bond,7/30/2056,Fixed Maturity
"Cheniere Energy, Inc.",SPS1987606550,4100855,16411RAR0,CEIC 07/30/2036 FIX USD Corporate,No,,,Senior Unsecured,Bond,7/30/2036,Fixed Maturity
Churchill Downs Incorporated,SPS546426348,4150067,171484AF5,CHDOI 4.75 01/15/2028 FIX USD Corporate,Yes,7/1/2026,1/15/2023,Senior Unsecured,Bond,1/15/2028,Fixed Maturity
Cincinnati Financial Corporation,SPS14056539,103262,172062AC5,CINF 6.9 05/15/2028 FIX USD Corporate,No,,,Senior Unsecured,Bond,"46,888.00000",Fixed Maturity
Cincinnati Financial Corporation,SPS14177198,103262,172062AF8,CINF 6.92 05/15/2028 FIX USD Corporate,No,,,Senior Unsecured,Bond,"46,888.00000",Fixed Maturity
Cincinnati Financial Corporation,SPS64353105,103262,U17150AA8,CINF 6.125 11/01/2034 FIX USD Corporate RegS,Yes,,,Senior Unsecured,Bond,11/1/2034,Fixed Maturity
Citigroup Inc.,SPS165288847,4041896,1730T3BB8,C 4.0 05/16/2036 VAR USD Corporate,Yes,"46,250.00000","44,332.00000",Senior Unsecured,Bond,"49,811.00000",Fixed Maturity
Citigroup Inc.,SPS1764851411,4041896,17327CAQ6,C 3.057 01/25/2033 FLT USD Corporate,Yes,"48,238.00000","48,238.00000",Senior Unsecured,Bond,"48,604.00000",Fixed Maturity
Citigroup Inc.,SPS1774231253,4041896,172967NN7,C 3.785 03/17/2033 FLT USD Corporate,Yes,"48,290.00000","48,290.00000",Senior Unsecured,Bond,"48,655.00000",Fixed Maturity
Citigroup Inc.,SPS1783829058,4041896,172967NU1,C 4.91 05/24/2033 FLT USD Corporate,Yes,"48,358.00000","48,358.00000",Senior Unsecured,Bond,"48,723.00000",Fixed Maturity
Citigroup Inc.,SPS1814836101,4041896,172967PA3,C 6.27 11/17/2033 FLT USD Corporate,Yes,"48,535.00000","48,535.00000",Senior Unsecured,Bond,"48,900.00000",Fixed Maturity
Citigroup Inc.,SPS1940002399,4041896,17292GMQ5,C 05/29/2046 FIX USD Corporate,No,,,Senior Unsecured,Bond,5/29/2046,Fixed Maturity
Citigroup Inc.,SPS1955139175,4041896,U17408NC2,C 5.3 08/05/2036 FIX USD Corporate RegS,No,,,Senior Unsecured,Bond,8/5/2036,Fixed Maturity
Citigroup Inc.,SPS1956598824,4041896,172967QE4,C 6.0 08/28/2045 FIX USD Corporate,No,,,Senior Unsecured,Bond,8/28/2045,Fixed Maturity
Citigroup Inc.,SPS660463768,4041896,172967MP3,C 4.412 03/31/2031 FLT USD Corporate,Yes,"47,573.00000","47,573.00000",Senior Unsecured,Bond,"47,938.00000",Fixed Maturity
Citigroup Inc.,SPS712751877,4041896,17290AHK9,C 6.0 06/16/2045 FIX USD Corporate,Yes,"46,920.00000","46,920.00000",Senior Unsecured,Bond,6/16/2045,Fixed Maturity
CNX Resources Corporation,SPS604712397,4072680,12653CAD0,CNXRES 03/14/2027 FIX USD Corporate,Yes,,3/14/2022,Senior Unsecured,Bond,3/14/2027,Fixed Maturity
CNX Resources Corporation,SPS604712400,4072680,12653CAE8,CNXRES 7.25 03/15/2027 FIX USD Corporate,No,,,Senior Unsecured,Bond,3/15/2027,Fixed Maturity
Colonial Gas Company,SPS182566197,4057114,195674J@6,KSE-BOGC 03/15/2042 FIX USD Corporate RegS,No,,,Senior Unsecured,Bond,3/15/2042,Fixed Maturity
"Colorado Interstate Gas Company, L.L.C.",SPS14044297,4057158,196522AE6,COLOINT 6.85 06/15/2037 FIX USD Corporate,No,,,Senior Unsecured,Bond,"50,206.00000",Fixed Maturity
Connecticut Natural Gas Corporation,SPS14548092,4059402,20765QAH8,EAS-CTNatGas 5.63 09/15/2035 FIX USD Corporate 144A,No,,,Senior Unsecured,Bond,"49,567.00000",Fixed Maturity
Connecticut Natural Gas Corporation,SPS37846246,4059402,20765QAK1,EAS-CTNatGas 6.66 10/15/2037 FIX USD Corporate 144A,No,,,Senior Unsecured,Bond,"50,328.00000",Fixed Maturity
"Continental Resources, Inc.",SPS263811432,4120318,212015AQ4,CONRES 4.9 06/01/2044 FIX USD Corporate,Yes,"52,566.00000","52,566.00000",Senior Unsecured,Bond,"52,749.00000",Fixed Maturity
"Corebridge Financial, Inc.",SPS1776484759,102701,U20256AF7,COREFIN 4.4 04/05/2052 FIX USD Corporate RegS,Yes,"55,431.00000","55,431.00000",Senior Unsecured,Bond,"55,614.00000",Fixed Maturity
"Corebridge Financial, Inc.",SPS1776484760,102701,21871XAL3,COREFIN 4.4 04/05/2052 FIX USD Corporate 144A,Yes,"55,431.00000","55,431.00000",Senior Unsecured,Bond,"55,614.00000",Fixed Maturity
"Corebridge Financial, Inc.",SPS1776484761,102701,U20256AE0,COREFIN 4.35 04/05/2042 FIX USD Corporate RegS,Yes,"51,779.00000","51,779.00000",Senior Unsecured,Bond,"51,961.00000",Fixed Maturity
"Corebridge Financial, Inc.",SPS1776486439,102701,21871XAJ8,COREFIN 4.35 04/05/2042 FIX USD Corporate 144A,Yes,"51,779.00000","51,779.00000",Senior Unsecured,Bond,"51,961.00000",Fixed Maturity
"Cox Communications, Inc.",SPS14052038,4024830,872241AB0,COX-CommInc 6.53 02/01/2028 FIX USD Corporate,Yes,"46,203.00000","39,479.00000",Senior Unsecured,Bond,"46,784.00000",Fixed Maturity
CSX Corporation,SPS100451023,4004350,126408GR8,CSX 04/30/2040 FIX USD Corporate 144A,Yes,,3/24/2010,Senior Unsecured,Note,4/30/2040,Fixed Maturity
CSX Corporation,SPS104608495,4004350,U12640AL9,CSX 6.22 04/30/2040 FIX USD Corporate RegS,Yes,,,Senior Unsecured,Bond,4/30/2040,Fixed Maturity
CSX Corporation,SPS14042856,4004350,126408AU7,CSX 7.95 05/01/2027 FIX USD Corporate 144A,No,,,Senior Unsecured,Bond,"46,508.00000",Fixed Maturity
CSX Corporation,SPS14042858,4004350,126408BB8,CSX 6.95 05/01/2027 FIX USD Corporate 144A,No,,,Senior Unsecured,Bond,5/1/2027,Fixed Maturity
CSX Corporation,SPS14042859,4004350,126408BF9,CSX 8.3 05/01/2032 FIX USD Corporate 144A,Yes,,5/1/2007,Senior Unsecured,Bond,5/1/2032,Fixed Maturity
CSX Corporation,SPS14050104,4004350,126408BM4,CSX 7.95 05/01/2027 FIX USD Corporate,No,,,Senior Unsecured,Bond,"46,508.00000",Fixed Maturity
CSX Corporation,SPS1792811561,4004350,126408HV8,CSX 4.5 11/15/2052 FIX USD Corporate,Yes,"55,654.00000","55,654.00000",Senior Unsecured,Bond,"55,838.00000",Fixed Maturity
CSX Corporation,SPS241269697,4004350,126408BP7,CSX 7.25 05/01/2027 FIX USD Corporate,No,,,Senior Unsecured,Bond,"46,508.00000",Fixed Maturity
CSX Corporation,SPS32203759,4004350,126408BC6,CSX 6.95 05/01/2027 FIX USD Corporate 144A,No,,,Senior Unsecured,Bond,5/1/2027,Fixed Maturity
CSX Corporation,SPS32203760,4004350,126408BE2,CSX 05/01/2027 FIX USD Corporate 144A,No,,,Senior Unsecured,Bond,5/1/2027,Fixed Maturity
CSX Corporation,SPS64206363,4004350,126408BG7,CSX 8.3 05/01/2032 FIX USD Corporate 144A,Yes,,5/1/2007,Senior Unsecured,Bond,5/1/2032,Fixed Maturity
CSX Corporation,SPS64219206,4004350,126408AY9,CSX 7.95 05/01/2027 FIX USD Corporate,No,,,Senior Unsecured,Bond,"46,508.00000",Fixed Maturity
"Delhaize America, Inc.",SPS14096250,4054848,246688AB1,DELHIZ 9.0 04/15/2031 FIX USD Corporate 144A,Yes,,,Senior Unsecured,Bond,"47,953.00000",Fixed Maturity
"Delhaize America, Inc.",SPS14109516,4054848,246688AF2,DELHIZ 9.0 04/15/2031 FIX USD Corporate,Yes,,,Senior Unsecured,Bond,"47,953.00000",Fixed Maturity
"Delhaize America, Inc.",SPS64348525,4054848,U24627AB4,DELHIZ 9.0 04/15/2031 FIX USD Corporate RegS,Yes,,,Senior Unsecured,Bond,4/15/2031,Fixed Maturity
Dell Inc.,SPS14552207,4047867,247025AE9,DELLN 7.1 04/15/2028 FIX USD Corporate,Yes,,,Senior Unsecured,Bond,"46,858.00000",Fixed Maturity
Dell Inc.,SPS45117130,4047867,U24715AC5,DELLN 04/15/2038 FIX USD Corporate RegS,Yes,,,Senior Unsecured,Bond,4/15/2038,Fixed Maturity
Discover Financial Services,SPS308170823,4096334,25472CBR9,DSF 4.0 03/15/2029 FIX USD Corporate,Yes,"47,102.00000","47,102.00000",Senior Unsecured,Bond,"47,192.00000",Fixed Maturity
"Discovery Communications, LLC",SPS1948595357,4200085,25470DBU2,DSCOML 5.3 05/15/2049 FIX USD Corporate,Yes,"54,377.00000","54,377.00000",Senior Unsecured,Bond,5/15/2049,Fixed Maturity
"Discovery Global Holdings, Inc.",SPS1948595592,29181597,55903VBW2,DISCGLO 5.05 03/15/2042 FIX USD Corporate,Yes,"51,759.00000","51,759.00000",Senior Unsecured,Bond,3/15/2042,Fixed Maturity
"Dominion Energy, Inc.",SPS14037268,4001616,209615BQ5,DOMINEN 6.875 10/15/2026 FIX USD Corporate,Yes,,"39,005.00000",Senior Unsecured,Bond,"46,310.00000",Fixed Maturity
"Dominion Energy, Inc.",SPS14049850,4001616,209615BS1,DOMINEN 6.8 12/15/2027 FIX USD Corporate,Yes,,,Senior Unsecured,Bond,"46,736.00000",Fixed Maturity
Duke Energy Corporation,SPS1854810425,4121470,26441CCA1,DUKECRP 6.1 09/15/2053 FIX USD Corporate,Yes,"55,958.00000","55,958.00000",Senior Unsecured,Bond,"56,142.00000",Fixed Maturity
"Duke Energy Florida, LLC",SPS14171999,4056998,341099BT5,DUKEENAA 6.75 02/01/2028 FIX USD Corporate,Yes,,,Senior Unsecured,Bond,"46,784.00000",Fixed Maturity
"Duke Energy Florida, LLC",SPS32210158,4056998,341099BW8,DUKEENAA 6.75 02/01/2028 FIX USD Corporate,Yes,,,Senior Unsecured,Bond,"46,784.00000",Fixed Maturity
