SPGTable,,,,,,,,,,,
Issuer Name,Instrument Item ID,MI KEY,CUSIP,Description,"Callable?
Yes/No","Next Call Date
MM/dd/yyyy","First Callable Payment Date
MM/dd/yyyy",Seniority Level,Debt Type Detail,"Maturity Date
MM/dd/yyyy",Maturity Type
SPT_ISSUER_NAME,SPT_INSTRUMENT_ITEM_ID,SPT_MI_KEY,SPT_CUSIP,SPT_DESCRIPTION,SPT_CALLABLE,SPT_NEXT_CALL_DATE,SPT_FIRST_CALLABLE_PAYMENT_DATE,SPT_SENIORITY_LEVEL,SPT_DEBT_TYPE_DETAIL,SPT_MAT_DATE,SPT_MATURITY_TYPE
,,,,,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price
,,,,,11/28/2025,10/31/2025,9/30/2025,8/29/2025,7/31/2025,5/30/2025,4/30/2025
"The Williams Companies, Inc.",SPS14100527,4011165,969457BB5,WMB 7.5 01/15/2031 FIX USD Corporate,Yes,,,Senior Unsecured,Bond,"47,863.00000",Fixed Maturity
"The Williams Companies, Inc.",SPS64480082,4011165,U96906AC3,WMB 01/15/2031 FIX USD Corporate RegS,No,,,Senior Unsecured,Bond,1/15/2031,Fixed Maturity
"Time Warner Cable Enterprises, LLC",SPS14019547,4071273,88731EAG5,TIMEWA 07/15/2033 FIX USD Corporate,No,,,Senior Secured,Bond,7/15/2033,Fixed Maturity
"Time Warner Cable Enterprises, LLC",SPS14080100,4071273,88731EAJ9,TIMEWA 8.375 07/15/2033 FIX USD Corporate,No,,,Senior Unsecured,Bond,"48,775.00000",Fixed Maturity
Time Warner Cable Inc.,SPS115638708,4146010,88732JAY4,TIMWAR 5.875 11/15/2040 FIX USD Corporate,Yes,"51,271.00000","51,271.00000",Senior Unsecured,Bond,"51,455.00000",Fixed Maturity
Time Warner Cable Inc.,SPS140294740,4146010,88732JBB3,TIMWAR 5.5 09/01/2041 FIX USD Corporate,Yes,"51,561.00000","51,561.00000",Senior Unsecured,Bond,"51,745.00000",Fixed Maturity
Time Warner Cable Inc.,SPS34405166,4146010,88732JAJ7,TIMWAR 6.55 05/01/2037 FIX USD Corporate,Yes,,,Senior Unsecured,Bond,"50,161.00000",Fixed Maturity
Time Warner Cable Inc.,SPS46045098,4146010,88732JAN8,TIMWAR 7.3 07/01/2038 FIX USD Corporate,Yes,,,Senior Unsecured,Bond,"50,587.00000",Fixed Maturity
Time Warner Cable Inc.,SPS60515940,4146010,88732JAU2,TIMWAR 6.75 06/15/2039 FIX USD Corporate,Yes,,,Senior Unsecured,Bond,"50,936.00000",Fixed Maturity
"Transcontinental Gas Pipe Line Company, LLC",SPS14038463,4057168,893570BM2,TRANGAS 7.25 12/01/2026 FIX USD Corporate,Yes,,,Senior Unsecured,Bond,"46,357.00000",Fixed Maturity
"TriNet Group, Inc.",SPS705128861,4228223,896288AB3,TRINGRO 3.5 03/01/2029 FIX USD Corporate,No,,,Senior Unsecured,Bond,3/1/2029,Fixed Maturity
Unum Group,SPS14118645,103324,91529YAD8,UNMG 7.375 06/15/2032 FIX USD Corporate,Yes,,,Senior Unsecured,Bond,"48,380.00000",Fixed Maturity
USF&G Capital III,SPS32227124,7381986,90330SAB6,STA-USF+GCap3 8.312 07/01/2046 FIX USD Corporate,No,,,Senior Unsecured,Bond,"53,509.00000",Fixed Maturity
Valero Energy Corporation,SPS14034325,4011157,252747AF7,VLOC 7.65 07/01/2026 FIX USD Corporate,No,,,Senior Unsecured,Bond,"46,204.00000",Fixed Maturity
Vericast Corp.,SPS1677193773,4158977,U9231NAG3,VERICAC 10/15/2027 FIX USD Corporate RegS,Yes,,8/10/2021,Senior Secured,Bond,10/15/2027,Fixed Maturity
Vericast Corp.,SPS1677193774,4158977,92342NAH6,VERICAC 10/15/2027 FIX USD Corporate 144A,Yes,,8/10/2021,Senior Secured,Bond,10/15/2027,Fixed Maturity
Vericast Corp.,SPS1679153392,4158977,U9231NAH1,VERICAC 09/15/2026 FIX USD Corporate RegS,No,,,Senior Secured,Bond,9/15/2026,Fixed Maturity
Vericast Corp.,SPS1680527714,4158977,U9231NAJ7,VERICAC 09/15/2026 FIX USD Corporate RegS,No,,,Senior Secured,Bond,9/15/2026,Fixed Maturity
Vericast Corp.,SPS1805148393,4158977,U9231NAK4,VERICAC 12.5 12/15/2027 FIX USD Corporate RegS,Yes,"46,183.00000","44,910.00000",Senior Secured,Bond,"46,736.00000",Fixed Maturity
Vericast Corp.,SPS1805310512,4158977,92342NAK9,VERICAC 12.5 12/15/2027 FIX USD Corporate 144A,Yes,"46,184.00000","44,910.00000",Senior Secured,Bond,"46,736.00000",Fixed Maturity
Verizon Communications Inc.,SPS14055470,4057229,362320BA0,GTELLC 6.94 04/15/2028 FIX USD Corporate,No,,,Senior Unsecured,Bond,"46,858.00000",Fixed Maturity
Verizon Communications Inc.,SPS1680021299,4057229,92343VGL2,VRZN 2.85 09/03/2041 FIX USD Corporate,Yes,"51,563.00000","51,563.00000",Senior Unsecured,Bond,"51,747.00000",Fixed Maturity
Verizon Communications Inc.,SPS1771742262,4057229,92343VGP3,VRZN 3.875 03/01/2052 FIX USD Corporate,Yes,"55,397.00000","55,397.00000",Senior Unsecured,Bond,"55,579.00000",Fixed Maturity
Verizon Communications Inc.,SPS1772244386,4057229,92343VGQ1,VRZN 4.1 03/04/2055 FIX USD Corporate RegS,Yes,"46,450.00000","46,450.00000",Senior Unsecured,Bond,"56,677.00000",Fixed Maturity
Verizon Communications Inc.,SPS1891283613,4057229,U9221ACJ5,VRZN 4.78 02/15/2035 FIX USD Corporate,No,,,Senior Unsecured,Bond,2/15/2035,Fixed Maturity
Verizon Communications Inc.,SPS285219913,4057229,92343VCU6,VRZN 01/15/2036 FIX USD Corporate 144A,Yes,,,Senior Unsecured,Bond,1/15/2036,Fixed Maturity
Verizon Communications Inc.,SPS430326041,4057229,92346MBY6,VRZN 4.55 02/15/2048 FIX USD Corporate,Yes,"46,203.00000","44,972.00000",Senior Unsecured,Bond,"54,103.00000",Fixed Maturity
Verizon Communications Inc.,SPS430326183,4057229,92346MGE5,VRZN 3.45 12/15/2049 FIX USD Corporate,Yes,"46,183.00000","44,180.00000",Senior Unsecured,Bond,"54,772.00000",Fixed Maturity
Verizon Communications Inc.,SPS430326192,4057229,92346MGP0,VRZN 1.85 06/15/2030 FIX USD Corporate,Yes,"46,183.00000","44,362.00000",Senior Unsecured,Bond,"47,649.00000",Fixed Maturity
Verizon Communications Inc.,SPS430326193,4057229,92346MGQ8,VRZN 2.8 06/15/2050 FIX USD Corporate,Yes,"46,203.00000","44,362.00000",Senior Unsecured,Bond,"54,954.00000",Fixed Maturity
Verizon Communications Inc.,SPS430326257,4057229,92346MJQ5,VRZN 4.0 05/15/2029 FIX USD Corporate,Yes,6/10/2026,11/15/2022,Senior Unsecured,Bond,5/15/2029,Fixed Maturity
Verizon Communications Inc.,SPS430326865,4057229,92346MAY7,VRZN 4.85 08/15/2047 FIX USD Corporate,Yes,"46,204.00000","44,788.00000",Senior Unsecured,Bond,"53,919.00000",Fixed Maturity
Verizon Maryland Inc.,SPS14003417,4057233,165069AM7,VERIZOM 07/01/2026 FIX USD Corporate,No,,,Senior Unsecured,Bond,7/1/2026,Fixed Maturity
Verizon Maryland Inc.,SPS14003419,4057233,165069AP0,VERIZOM 8.0 10/15/2029 FIX USD Corporate,No,,,Senior Unsecured,Bond,"47,406.00000",Fixed Maturity
Verizon Maryland Inc.,SPS14139676,4057233,92344WAB7,VERIZOM 5.125 06/15/2033 FIX USD Corporate,Yes,,,Senior Unsecured,Bond,"48,745.00000",Fixed Maturity
Verizon New England Inc.,SPS14014557,4057234,644239AY1,VZ-NewEngland 7.875 11/15/2029 FIX USD Corporate,No,,,Senior Unsecured,Bond,"47,437.00000",Fixed Maturity
Verizon New Jersey Inc.,SPS14014582,4057235,645767AW4,VZ-NJInc 7.85 11/15/2029 FIX USD Corporate,Yes,,"36,479.00000",Senior Unsecured,Bond,"47,437.00000",Fixed Maturity
Verizon New Jersey Inc.,SPS14140081,4057235,645767BC7,VZ-NJInc 7.85 11/15/2029 FIX USD Corporate,No,,,Senior Unsecured,Bond,"47,437.00000",Fixed Maturity
Verizon New York Inc.,SPS14014673,4057236,650094CB9,VZ-NYInc 12/01/2033 FIX USD Corporate,Yes,,12/1/2013,Senior Unsecured,Bond,12/1/2033,Fixed Maturity
Verizon New York Inc.,SPS14054885,4057236,650094CJ2,VZ-NYInc 6.5 04/15/2028 FIX USD Corporate,No,,,Senior Unsecured,Bond,"46,858.00000",Fixed Maturity
Verizon New York Inc.,SPS14114721,4057236,92344XAB5,VZ-NYInc 7.375 04/01/2032 FIX USD Corporate,Yes,,,Senior Unsecured,Bond,"48,305.00000",Fixed Maturity
Verizon Pennsylvania LLC,SPS14002122,4381427,078167AZ6,VERIZPE 8.35 12/15/2030 FIX USD Corporate,No,,,Senior Unsecured,Bond,"47,832.00000",Fixed Maturity
Verizon Pennsylvania LLC,SPS14002123,4381427,078167BA0,VERIZPE 8.75 08/15/2031 FIX USD Corporate,No,,,Senior Unsecured,Bond,"48,075.00000",Fixed Maturity
Verizon Pennsylvania LLC,SPS14063430,4381427,07786DAA4,VERIZPE 6.0 12/01/2028 FIX USD Corporate,No,,,Senior Unsecured,Bond,"47,088.00000",Fixed Maturity
Verizon Virginia LLC,SPS14003433,4057242,165087AL1,VERIVIR 8.375 10/01/2029 FIX USD Corporate,No,,,Senior Unsecured,Bond,"47,392.00000",Fixed Maturity
"Viasat, Inc.",SPS606882619,4242781,92552VAM2,VIASINC 5.625 04/15/2027 FIX USD Corporate,Yes,6/30/2026,4/15/2022,Senior Secured,Bond,4/15/2027,Fixed Maturity
Virginia Electric and Power Company,SPS50031609,4057032,927804FG4,D-VirgEl+Pwr 8.875 11/15/2038 FIX USD Corporate,Yes,,,Senior Unsecured,Bond,"50,724.00000",Fixed Maturity
"Warner Media, LLC",SPS109112605,4120680,887317AH8,WARNMED 6.1 07/15/2040 FIX USD Corporate,Yes,,,Senior Unsecured,Bond,"51,332.00000",Fixed Maturity
"Warner Media, LLC",SPS129184239,4120680,887317AL9,WARNMED 6.25 03/29/2041 FIX USD Corporate,Yes,,,Senior Unsecured,Bond,"51,589.00000",Fixed Maturity
"Warner Media, LLC",SPS141639167,4120680,887317AM7,WARNMED 5.375 10/15/2041 FIX USD Corporate,Yes,,,Senior Unsecured,Bond,"51,789.00000",Fixed Maturity
"Warner Media, LLC",SPS208511565,4120680,887317AP0,WARNMED 4.9 06/15/2042 FIX USD Corporate,Yes,,,Senior Unsecured,Bond,"52,032.00000",Fixed Maturity
"Warner Media, LLC",SPS252866919,4120680,887317AS4,WARNMED 5.35 12/15/2043 FIX USD Corporate,Yes,,,Senior Unsecured,Bond,"52,580.00000",Fixed Maturity
"Warner Media, LLC",SPS264162316,4120680,887317AU9,WARNMED 4.65 06/01/2044 FIX USD Corporate,Yes,"52,566.00000","52,566.00000",Senior Unsecured,Bond,"52,749.00000",Fixed Maturity
"Warner Media, LLC",SPS30133498,4120680,887317AD7,WARNMED 6.5 11/15/2036 FIX USD Corporate,Yes,,,Senior Unsecured,Bond,"49,994.00000",Fixed Maturity
"Warner Media, LLC",SPS302465050,4120680,887317AX3,WARNMED 4.85 07/15/2045 FIX USD Corporate,Yes,"52,977.00000","52,977.00000",Senior Unsecured,Bond,"53,158.00000",Fixed Maturity
"Warner Media, LLC",SPS99075343,4120680,887317AE5,WARNMED 6.2 03/15/2040 FIX USD Corporate,Yes,,,Senior Unsecured,Bond,"51,210.00000",Fixed Maturity
Wells Fargo & Company,SPS426358685,100382,95000U2U6,WFC 3.35 03/02/2033 FLT USD Corporate,Yes,"48,275.00000","48,275.00000",Senior Unsecured,Bond,"48,640.00000",Fixed Maturity
Wells Fargo & Company,SPS426358692,100382,95000U3B7,WFC 4.897 07/25/2033 FLT USD Corporate,Yes,"48,420.00000","48,420.00000",Senior Unsecured,Bond,"48,785.00000",Fixed Maturity
Wells Fargo Finance LLC,SPS1941930492,10595608,U95055BW5,WELLFAJL 05/09/2035 FIX USD Corporate,No,,,Senior Unsecured,Bond,5/9/2035,Fixed Maturity
Wells Fargo Finance LLC,SPS1961203288,10595608,U95055CP9,WELLFAJL 10/09/2035 FIX USD Corporate,No,,,Senior Unsecured,Bond,10/9/2035,Fixed Maturity
Wells Fargo Finance LLC,SPS1961515461,10595608,U95055CQ7,WELLFAJL 10/09/2032 FLT USD Corporate,No,,,Senior Unsecured,Bond,10/9/2032,Fixed Maturity
Wells Fargo Finance LLC,SPS1969421741,10595608,U95055CU8,WELLFAJL 11/14/2035 FIX USD Corporate,No,,,Senior Unsecured,Bond,11/14/2035,Fixed Maturity
Wells Fargo Finance LLC,SPS1991534274,10595608,U95055DK9,WELLFAJL 03/24/2036 FIX USD Corporate,No,,,Senior Unsecured,Bond,3/24/2036,Fixed Maturity
Weyerhaeuser Company,SPS14034378,4006248,969133AK3,WY 7.85 07/01/2026 FIX USD Corporate,No,,,Senior Unsecured,Bond,"46,204.00000",Fixed Maturity
Weyerhaeuser Company,SPS14034379,4006248,969133AJ6,WY 7.35 07/01/2026 FIX USD Corporate,No,,,Senior Unsecured,Bond,"46,204.00000",Fixed Maturity
Weyerhaeuser Company,SPS14047416,4006248,962166AW4,WY 6.95 10/01/2027 FIX USD Corporate,No,,,Senior Unsecured,Bond,"46,661.00000",Fixed Maturity
Weyerhaeuser Company,SPS14113627,4006248,962166BF0,WY 03/15/2032 FIX USD Corporate 144A,Yes,,3/12/2002,Senior Unsecured,Bond,3/15/2032,Fixed Maturity
Weyerhaeuser Company,SPS64347443,4006248,962166BQ6,WY 03/15/2032 FIX USD Corporate,No,,,Senior Unsecured,Bond,3/15/2032,Fixed Maturity
"Wisconsin Bell, Inc.",SPS14038346,4057247,976585AG4,WISCBEL 12/01/2026 FIX USD Corporate,Yes,,12/1/2006,Senior Unsecured,Bond,12/1/2026,Fixed Maturity
Yellowstone Energy LP,SPS291371305,4064145,98580LAA3,YELLOW 5.75 12/31/2026 FIX USD Corporate 144A,Yes,,,Senior Secured,Bond,"46,387.00000",Fixed Maturity
Yorkshire Power Finance Limited,SPS31503304,4279540,G9856LAA0,YORPOW-Fin 7.25 08/04/2028 FIX GBP Corporate RegS,Yes,,,Senior Unsecured,Bond,"46,969.00000",Fixed Maturity
