Issuer Name,Instrument Item ID,MI KEY,CUSIP,Description,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price,Mid Price
SPT_ISSUER_NAME,SPT_INSTRUMENT_ITEM_ID,SPT_MI_KEY,SPT_CUSIP,SPT_DESCRIPTION,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID,SPT_EOD_PRICE_MID
,,,,,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price
,,,,,04/30/2026,03/31/2026,02/27/2026,01/30/2026,12/31/2025,11/28/2025,10/31/2025,09/30/2025,08/29/2025,07/31/2025,06/30/2025,05/30/2025,04/30/2025,03/31/2025,02/28/2025,01/31/2025,12/31/2024,11/29/2024,10/31/2024,09/30/2024,06/28/2024,03/29/2024,12/29/2023,09/29/2023,06/30/2023,03/31/2023,12/30/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020
"BellSouth, LLC",SPS14106681,4041154,079860AD4,BELLLLC 6.875 10/15/2031 FIX USD Corporate,108.64547,108.68487,110.81921,109.11695,109.70541,110.48188,110.05788,109.58536,109.35240,108.73737,109.14767,107.19682,109.25721,106.23745,106.73263,105.65984,108.74210,109.23508,108.80662,110.14363,106.30768,107.14979,108.33563,100.18867,105.80046,107.81928,105.37802,105.67019,115.33050,119.32903,130.46168,131.08808,132.74794,127.45084,134.99866
Belo Corp.,SPS14043892,4121666,080555AE5,TEGNINC 7.75 06/01/2027 FIX USD Corporate,102.45881,103.19374,104.04500,104.07874,104.17334,104.45073,104.37881,104.33214,104.53646,104.20000,104.18182,103.65156,103.12000,104.12500,104.37500,104.09375,104.35250,104.02188,103.93750,104.76050,102.67160,103.45000,102.08203,99.87500,99.12500,95.75000,97.73438,100.29167,105.35000,114.50000,117.79844,116.57639,117.62500,117.14453,116.75500
Belo Corp.,SPS14046964,4121666,080555AF2,BILLO 7.25 09/15/2027 FIX USD Corporate,102.61138,103.08618,103.58543,103.84209,104.05251,104.19761,104.37111,104.35200,104.27450,103.10375,103.13889,102.91146,103.12700,103.57656,103.40313,103.25000,103.46042,103.98233,103.06250,103.43750,100.52440,101.96750,101.07031,98.03750,96.62500,93.87500,95.73333,97.67708,102.23125,112.21875,115.25000,116.82813,116.53571,116.86094,115.39583
Blackstone Private Credit Fund,SPS1780659540,24801559,09261HA#4,BLACPRI 05/03/2027 FIX USD Corporate RegS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blackstone Private Credit Fund,SPS1803440694,24801559,09261HB*7,BLACPRI 10/11/2027 FIX USD Corporate RegS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blue Owl Credit Income Corp.,SPS1879069869,25867257,69120VBB6,BLUEOWAC 7.95 06/13/2028 FIX USD Corporate,102.97755,102.46705,103.78566,105.82046,105.83756,105.97772,106.19947,107.17002,107.16298,105.88009,106.93394,106.00903,105.33609,106.02828,106.99656,106.26242,106.29666,106.69009,105.60082,107.08672,104.11980,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blue Owl Finance LLC,SPS1837977662,29164958,U0942JAE6,BLUEOW 7.397 05/26/2028 FIX USD Corporate RegS,104.48247,104.83723,105.86659,105.77313,105.93633,106.25561,106.16444,102.82784,106.31046,101.71609,102.29926,106.45708,107.43503,106.73054,106.61161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blue Owl Finance LLC,SPS1837977799,29164958,09581JAK2,BLUEOW 7.397 05/26/2028 FIX USD Corporate,104.48247,104.83723,105.86659,105.77313,105.93633,106.25561,106.16444,102.82784,106.31046,101.71609,102.29926,106.45708,107.43503,106.73054,106.61161,105.47499,105.51240,103.72834,103.51172,105.53673,103.13362,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blue Owl Finance LLC,SPS1837977804,29164958,09581JAJ5,BLUEOW 7.397 05/26/2028 FIX USD Corporate 144A,104.48247,104.83723,105.86659,105.77313,105.93633,106.25561,106.16444,102.82784,106.31046,101.71609,102.29926,106.45708,107.43503,106.73054,106.61161,105.34000,105.34000,105.34000,105.34000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston Gas Company,SPS1848145517,4057111,100743AN3,KSE-BOGC 6.119 07/20/2053 FIX USD Corporate 144A,98.45105,99.05531,102.90869,100.19580,100.28570,102.45256,102.66893,102.89895,99.93609,99.70017,100.36769,97.61637,99.35681,102.00469,102.97240,99.68916,98.59498,103.34358,101.46977,105.55465,99.48210,101.55240,105.05948,94.52038,0,0,0,0,0,0,0,0,0,0,0
