SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Levered Free Cash Flow,272625,"(2,572,375)","35,313","(108,200)",NA,NA,NA,"2,234,625","(566,375)","179,492.63",NA,"39,337.50","-19,030.63","-169,375.00",NA,NA,NA,NA,"265,672.63","-908,500.00",NA,NA,"17,112.50","-178,125.00","428,000.00",NA,"-21,862.50","816,000.00",NA,NA,"494,737.50","-9,613.88","1,343,750.00","-537,750.00","178,125.00","928,750.00",NA,NA,NA,NA,NA,NA,"1,342,000.00","-84,458.13","304,500.00","308,500.00","34,500.00","145,274.50","110,625.00",NA,"113,784.00","352,050.00","-256,500.00",NA,NA,"104,406.50",NA,NA,"2,063,750.00",NA,"-5,500.50",NA,NA,"1,470,100.75","112,312.50",NA,"363,143.50","1,429,125.00",NA,NA,NA,NA,"-88,500.00",NA,"-82,125.00",NA,"487,500.00","-66,500.00","813,500.00",NA,"-19,094.25","223,500.00","-115,500.00","167,954.50",NA,"107,374.75",NA,"3,072,375.00",NA,"26,750.00","2,729.25","557,875.00","331,300.38","38,950.75",NA,"134,625.00","273,750.00",NA,"617,375.00",NA,"857,375.00",NA,"3,518,125.00","566,625.00",NA,"-1,322,375.00","-1,072,375.00","14,633.38",NA,"-53,912.50","-121,250.00","168,537.50",NA,"-65,625.00",NA,NA,"227,500.00","900,750.00","65,750.00","514,376.25","1,073,000.00","-536,875.00","-133,819.75",NA,"293,634.00",NA,NA,"-50,500.00",NA,"192,750.00",NA,"-377,125.00",NA,"-149,800.00",NA,"-569,000.00","162,712.50",NA,NA,"44,875.00","299,187.50",NA,"6,618,625.00",NA,NA,NA,NA,NA,NA,"-342,525.38","-1,536,375.00",NA,NA,NA,"113,125.00",NA,"4,995.05"
Cash from Ops. to Curr. Liab. (x),274482,NM,1.50,1.12,NA,NA,NA,1.31,1.01,1.52,NA,0.75,0.03,NM,NA,NA,NA,NA,0.37,0.01,NA,NA,1.93,0.39,0.14,NA,0.95,0.75,NA,NA,0.78,NM,NM,0.01,0.60,2.63,NA,NA,NA,0.07,NA,NA,0.57,0.65,0.81,1.37,1.14,1.80,0.85,NA,3.96,1.02,0.92,NA,NA,0.57,NA,NA,0.20,NA,NM,NA,NA,0.39,0.43,NA,0.72,0.21,NA,NA,NA,NA,2.41,NM,1.41,NA,0.33,0.15,0.34,NA,NM,0.26,NM,2.88,NA,0.39,NA,1.74,NA,1.32,0.12,0.65,1.22,2.69,NM,0.03,0.33,NA,1.33,NA,0.33,NA,0.88,1.04,NA,0.77,NM,0.54,NA,0.04,NM,1.55,NA,2.54,NA,0.78,0.37,0.19,0.33,1.18,1.34,0.03,0.88,NA,0.25,NA,NA,1.21,NA,0.17,NA,NM,0.19,0.28,NM,0.12,0.79,NA,NA,0.14,2.10,NA,0.64,NA,NA,NA,NA,NA,NA,0.39,1.18,NA,NA,NA,0.94,NA,NM
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profitability (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Assets,274473,8.01,3.60,4.29,NA,NA,0.41,23.76,3.87,1.902,NA,2.974,2.524,10.586,NA,NA,NA,NA,2.468,0.226,NA,NA,2.558,1.165,2.498,NA,4.385,7.332,0.541,NA,5.774,-0.081,7.102,-0.333,3.459,7.983,NA,NA,NA,2.301,NA,NA,3.573,7.501,2.919,5.048,3.669,2.953,2.162,NA,4.165,5.892,2.794,NA,NA,3.377,NA,NA,0.482,2.476,-5.827,5.943,NA,3.275,10.71,NA,2.719,6.702,NA,NA,NA,NA,4.379,1.106,4.186,NA,4.292,2.594,1.367,NA,5.41,15.487,1.38,6.022,NA,5.152,NA,14.676,NA,2.138,5.805,13.88,18.61,4.71,-0.014,1.322,3.379,NA,8.868,NA,6.711,NA,7.091,8.886,NA,2.55,2.148,6.073,NA,2.915,-0.857,3.398,NA,7.408,NA,1.173,11.048,3.684,6.399,16.352,3.065,0.135,0.678,0.508,7.684,NA,NA,5.004,NA,3.489,1.111,-9.994,1.23,1.652,0.707,4.954,10.483,NA,NA,3.902,3.483,NA,5.246,NA,NA,NA,NA,NA,NA,-0.651,3.958,NA,1.071,NA,1.344,NA,-0.016
Return on Capital,274474,18.56,4.68,5.38,NA,NA,NA,37.19,5.54,1.994,NA,4.269,5.611,15.091,NA,NA,NA,NA,2.58,3.975,NA,NA,2.962,1.67,3.496,NA,5.23,18.585,NA,NA,7.054,-0.14,17.268,-4.602,4.932,10.686,NA,NA,NA,NA,NA,NA,5.103,9.878,3.956,6.43,5.594,3.92,2.794,NA,4.313,6.918,4.066,NA,NA,3.575,NA,NA,0.678,2.96,-9.222,10.582,NA,3.996,14.415,NA,3.17,26.178,NA,NA,NA,NA,5.494,NA,5.641,NA,5.418,3.337,2.732,NA,5.836,26.466,2.315,6.246,NA,7.961,NA,16.899,NA,2.872,8.158,24.258,25.881,4.862,NA,2.197,4.674,NA,12.152,NA,9.86,NA,10.273,11.49,NA,3.86,3.112,6.968,NA,4.538,-1.164,4.846,NA,9.108,NA,NA,14.418,5.696,8.548,19.85,4.847,0.243,0.941,0.689,12.394,NA,NA,6.462,NA,13.942,NA,-37.854,NA,2.208,NA,8.139,14.355,NA,NA,11.851,15.336,NA,7.227,NA,NA,NA,NA,NA,NA,-0.848,5.75,NA,NA,NA,1.492,NA,-0.016
Return on Equity,274475,126.79,10.59,11.36,NA,NA,5.54,(287.34),15.47,4.55,NA,7.85,6.811,-22.253,NA,NA,NA,NA,5.481,14.536,NA,NA,14.985,2.18,7.391,NA,24.497,24.679,6.25,NA,13.5,-1.655,38.452,-36.17,-3.394,27.986,NA,NA,NA,20.979,NA,NA,13.904,22.629,10.212,13.657,11.485,7.48,3.912,NA,7.71,11.554,10.717,NA,NA,15.11,NA,NA,8.151,4.234,-73.195,23.7,NA,5.196,71.957,NA,13.509,-221.837,NA,NA,NA,NA,16.779,6.963,8.756,NA,9.918,6.305,-3.99,NA,14.196,-47.471,3.926,18.82,NA,15.159,NA,-180.382,NA,12.429,12.711,208.712,-151.278,8.998,-0.294,-15.718,-26.666,NA,32.85,NA,28.256,NA,181.894,20.504,NA,7.928,12.722,14.674,NA,8.213,-3.744,17.2,NA,12.511,NA,6.516,66.537,9.94,20.267,49.144,11.999,2.567,0.07,-1.009,74.383,NA,NA,13.999,NA,23.628,11.39,118.891,12.355,4.329,9.904,23.748,29.028,NA,NA,157.205,24.12,NA,13.979,NA,NA,NA,NA,NA,NA,-9.204,11.461,NA,11.389,NA,1.121,NA,5.538
Return on Common Equity,274476,128.25,10.59,11.36,NA,NA,5.72,(282.17),15.61,4.482,NA,7.85,6.872,-22.243,NA,NA,NA,NA,7.853,12.414,NA,NA,14.985,2.18,7.391,NA,24.963,24.679,6.071,NA,13.595,-1.656,39.742,-38.498,-4.316,27.995,NA,NA,NA,21.478,NA,NA,14.394,22.629,10.118,13.657,11.485,7.48,3.912,NA,6.73,11.769,10.717,NA,NA,14.725,NA,NA,8.12,4.236,-72.382,23.328,NA,5.052,73.246,NA,13.868,-221.837,NA,NA,NA,NA,16.779,6.456,8.756,NA,9.918,6.305,-4.36,NA,14.196,-47.364,3.926,18.82,NA,13.793,NA,-180.382,NA,12.429,12.711,211.278,-151.278,9.222,-0.294,-28.448,-26.666,NA,32.85,NA,28.256,NA,202.424,20.694,NA,7.956,12.725,14.674,NA,8.27,-3.744,17.2,NA,12.511,NA,6.225,68.092,9.805,20.267,53.493,12.759,2.567,0.07,-1.336,75.472,NA,NA,13.999,NA,26.187,11.976,118.859,14.277,4.329,10.312,23.485,29.028,NA,NA,157.205,24.12,NA,13.739,NA,NA,NA,NA,NA,NA,-9.668,11.461,NA,11.962,NA,1.121,NA,5.538
Gross Profit Margin,274477,42.36,67.23,92.48,NA,NA,NA,70.83,53.94,53.577,NA,36.923,11.502,43.662,NA,NA,NA,NA,60.069,63.781,NA,NA,66.138,42,47.575,NA,29.531,32.62,NA,NA,28.316,33.688,28.947,0.92,34.916,49.185,NA,NA,NA,93.389,NA,NA,51.332,38.868,49.436,49.639,47.847,41.407,51.24,NA,91.856,55.25,40.559,NA,NA,73.322,NA,NA,7.243,63.914,49.417,41.641,NA,74.742,62.163,NA,58.656,21.496,NA,NA,NA,NA,92.647,82.805,53.072,NA,54.999,42.057,19.461,NA,25.259,33.662,42.338,100,NA,14.24,NA,56.38,NA,55.568,27.794,51.434,82.587,83.688,100,23.588,35.542,NA,60.996,NA,21.068,NA,70.866,31.089,NA,39.37,33.229,23.113,NA,21.683,19.919,30.825,NA,71.46,NA,100,51.924,20.081,12.084,49.214,37.124,21.601,32.769,32.456,18.622,52.847,NA,58.287,NA,23.239,NA,-19.658,96.967,35.344,82.125,22.028,35.414,NA,NA,17.3,45.679,NA,60.843,NA,NA,NA,NA,NA,NA,32.012,53.367,NA,NA,NA,14.872,NA,NA
Net Income Margin,274478,21.80,23.20,38.48,NA,NA,11.94,42.91,21.88,19.692,NA,10.672,1.474,7.618,NA,NA,NA,NA,11.216,8.756,NA,NA,10.42,5.667,10.399,NA,10.406,24.699,18.215,NA,10.175,-3.662,18.321,-40.341,-3.45,24.703,NA,NA,NA,29.195,NA,NA,23.7,17.499,15.71,18.763,18.66,14.134,8.595,NA,26.003,9.8,11.488,NA,NA,59.059,NA,NA,1.931,22.078,-11.129,9.665,NA,15.775,17.42,NA,22.244,4.734,NA,NA,NA,NA,30.392,11.162,14.248,NA,15.831,1.455,-0.305,NA,10.673,8.661,0.814,90.632,NA,2.928,NA,32.81,NA,37.155,6.229,20.143,38.761,34.409,-1.481,152.825,-10.169,NA,36.021,NA,10.264,NA,18.08,11.618,NA,10.402,16.849,4.445,NA,1.586,-18.035,18.476,NA,26.779,NA,18.828,22.738,7.327,4.908,8.23,12.355,0.975,0.159,0.08,2.193,17.699,NA,25.552,NA,7.157,25.557,-34.585,29.049,5.891,24.305,1.902,10.312,NA,NA,3.638,20.071,NA,9.919,NA,NA,NA,NA,NA,NA,-11.023,23.534,NA,26.496,NA,1.666,NA,NA
Earnings from Cont Ops Margin,274479,21.86,23.20,38.48,NA,NA,11.94,42.91,21.93,19.692,NA,10.672,1.479,7.618,NA,NA,NA,NA,13.017,8.856,NA,NA,10.42,5.667,10.399,NA,10.533,24.699,18.417,NA,10.182,-3.662,18.26,-40.443,-2.802,24.703,NA,NA,NA,29.195,NA,NA,24.08,15.775,15.82,18.763,18.66,14.134,8.595,NA,26.003,9.897,11.488,NA,NA,60.729,NA,NA,1.94,11.109,-11.094,10.056,NA,15.212,17.428,NA,29.506,4.734,NA,NA,NA,NA,30.392,10.375,14.248,NA,15.831,1.455,-0.305,NA,10.673,8.661,0.814,90.632,NA,3.241,NA,32.81,NA,37.155,6.229,20.179,38.761,34.049,-1.481,-4.096,-10.169,NA,36.021,NA,10.264,NA,18.08,10.387,NA,10.402,16.849,4.445,NA,1.58,-18.035,18.476,NA,26.779,NA,19.113,22.82,7.641,4.908,10.046,12.355,0.975,0.159,-2.569,2.193,17.699,NA,25.552,NA,7.001,25.708,-34.608,29.049,5.891,24.305,1.905,10.312,NA,NA,3.638,20.071,NA,10.234,NA,NA,NA,NA,NA,NA,-10.576,23.534,NA,26.786,NA,1.666,NA,NA
EBIT Margin,274481,21.43,37.85,54.69,NA,NA,NA,60.95,31.77,22.359,NA,18.806,3.037,14.149,NA,NA,NA,NA,29.991,10.846,NA,NA,6.377,12.167,22.575,NA,20.016,31.717,NA,NA,16.769,-0.744,22.366,-17.751,11.324,37.69,NA,NA,NA,NA,NA,NA,36.311,17.55,26.147,28.351,27.512,21.566,18.017,NA,52.635,20.024,19.175,NA,NA,41.848,NA,NA,1.175,17.137,-6.471,16.06,NA,33.031,23.562,NA,32.149,7.486,NA,NA,NA,NA,57.843,NA,20.915,NA,23.182,3.873,1.499,NA,12.497,13.17,1.886,88.486,NA,5.526,NA,46.966,NA,25.91,10.403,27.097,55.806,56.078,NA,3.531,8.269,NA,49.885,NA,12.885,NA,28.983,19.327,NA,22.521,15.497,8.094,NA,3.785,-16.555,16.77,NA,36.537,NA,NA,33.483,11.957,7.652,28.419,19.95,0.277,7.067,6.753,3.922,25.769,NA,34.254,NA,9.322,NA,-31.418,NA,9.708,NA,2.954,13.744,NA,NA,4.689,27.327,NA,23.933,NA,NA,NA,NA,NA,NA,-3.892,36.785,NA,NA,NA,5.354,NA,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
