SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Levered Free Cash Flow,272625,"2,217,500","(24,588)","338,013",NA,NA,NA,"995,500","(165,000)","68,066.50",NA,"-30,875.00","-223,517.50","854,000.00",NA,NA,NA,NA,"398,652.88","18,528,875.00",NA,NA,"35,632.13","-284,750.00","-808,250.00",NA,NA,"734,375.00",NA,NA,"232,112.50","2,103.38","-758,125.00","1,703,750.00","608,625.00","544,750.00",NA,NA,NA,NA,NA,NA,NA,"159,708.25",NA,"-126,500.00","332,000.00","4,537.38","18,250.00",NA,"64,616.38","157,450.00",NA,NA,NA,"18,816.25",NA,NA,"1,331,125.00","340,375.00","106,187.13","850,000.00",NA,"519,351.38","413,225.00",NA,"273,008.13","1,497,250.00",NA,NA,NA,NA,"-12,500.00",NA,"-91,750.00","398,975.00","601,375.00","203,625.00",NA,NA,"-7,761.13","772,500.00","1,396,250.00","77,285.38",NA,"150,700.38",NA,"1,773,462.50",NA,"-304,875.00","28,932.13","1,213,000.00","302,965.38","21,499.00",NA,"-310,375.00","173,000.00",NA,"-74,000.00",NA,"2,467,250.00",NA,"2,293,625.00","632,625.00",NA,"-631,250.00","-771,500.00","154,315.63",NA,"298,200.00","-12,500.00",NA,NA,"-56,750.00",NA,NA,"613,299.88","2,911,625.00","69,625.00","-58,791.25","-248,625.00","-631,250.00","-119,431.38","-1,197,986.50","673,639.63","-6,987.75",NA,"-133,625.00",NA,"1,521,750.00",NA,"3,039,000.00",NA,"-121,625.00",NA,"1,567,500.00","57,288.00",NA,NA,"69,000.00","792,137.50",NA,"5,838,125.00",NA,NA,NA,NA,NA,NA,"-176,267.88","-892,875.00",NA,NA,NA,"-3,500.00",NA,"-2,492.56"
Cash from Ops. to Curr. Liab. (x),274482,0.81,0.55,0.75,NA,NA,NA,1.22,0.79,0.59,NA,0.30,0.04,3.24,NA,NA,NA,NA,2.05,NM,NA,NA,1.40,0.13,0.38,NA,NA,0.68,NA,NA,0.48,0.36,NM,0.06,0.48,2.21,NA,NA,NA,0.09,NA,NA,NA,0.49,NA,NM,0.92,0.68,0.57,NA,4.11,0.65,NA,NA,NA,1.18,NA,NA,0.05,0.68,0.98,0.58,NA,0.41,0.20,NA,0.47,0.29,NA,NA,NA,NA,1.24,0.05,0.79,1.12,0.37,0.61,0.15,NA,NM,0.19,1.38,0.48,NA,0.37,NA,2.32,NA,1.24,0.30,1.12,1.01,2.86,0.14,0.27,0.38,NA,1.21,NA,0.78,NA,0.82,1.28,NA,0.23,0.13,1.98,NA,0.68,0.11,0.03,NA,2.96,NA,NM,0.27,0.47,0.31,NM,0.53,0.22,0.16,0.12,0.48,NM,NA,0.09,NA,0.06,NA,0.15,NM,0.43,NM,0.34,0.54,NA,NA,0.98,2.21,NA,0.71,NA,NA,NA,NA,NA,NA,0.62,0.24,NA,NA,NA,0.38,NA,5.11
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profitability (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Assets,274473,16.49,2.33,4.34,NA,NA,0.58,21.33,2.13,1.7,NA,2.349,6.165,36.452,NA,NA,NA,NA,2.721,0.029,NA,NA,4.749,2.918,2.285,NA,NA,11.22,0.423,NA,5.218,2.884,0.059,-0.068,4.302,8.633,NA,NA,NA,3.233,NA,NA,NA,8.598,NA,3.13,2.494,2.323,2.432,NA,4.268,4.578,NA,NA,NA,2.831,NA,NA,4.624,4.592,0.632,6.678,NA,2.729,7.62,NA,2.892,6.046,NA,NA,NA,NA,4.213,1.06,0.263,7.148,4.115,7.257,NA,NA,3.383,9.831,13.8,5.909,NA,2.334,NA,13.126,NA,0.168,5.122,15.16,15.741,3.585,0.582,-4.422,1.145,NA,7.987,NA,14.534,NA,10.574,9.034,NA,2.114,2.969,5.954,NA,12.457,3.72,NA,NA,8.471,NA,1.211,0.141,3.086,4.587,5.734,3.245,-2.454,3.446,3.17,10.176,4.442,NA,2.843,NA,-0.772,0.521,0.539,1.394,1.239,0.354,5.424,10.806,NA,NA,4.753,1.724,NA,5.054,NA,NA,NA,NA,NA,NA,-1.949,2.633,NA,0.621,NA,3.407,NA,-0.013
Return on Capital,274474,24.43,3.07,5.46,NA,NA,NA,33.75,3.16,1.774,NA,3.355,13.88,49.892,NA,NA,NA,NA,2.853,0.377,NA,NA,5.608,4.254,3.276,NA,NA,29.856,NA,NA,6.45,5.124,0.16,-0.919,6.404,11.552,NA,NA,NA,NA,NA,NA,NA,11.722,NA,4.13,3.805,3.252,3.266,NA,4.401,5.389,NA,NA,NA,3.052,NA,NA,6.54,5.6,0.948,10.037,NA,3.272,10.321,NA,3.323,24.366,NA,NA,NA,NA,5.28,NA,0.364,8.795,5.488,9.717,NA,NA,3.763,17.132,24.903,6.089,NA,3.47,NA,15.534,NA,0.228,7.372,29.219,21.28,3.686,NA,-6.622,1.607,NA,10.864,NA,21.369,NA,16.426,12.335,NA,3.298,4.317,6.956,NA,19.67,5.114,NA,NA,10.201,NA,NA,0.176,4.555,6.001,7.331,5.142,-4.252,4.946,4.351,17.321,11.422,NA,3.803,NA,-2.969,NA,1.798,NA,1.86,NA,8.923,15.617,NA,NA,11.334,8.626,NA,7.063,NA,NA,NA,NA,NA,NA,-2.26,3.884,NA,NA,NA,3.738,NA,-0.013
Return on Equity,274475,15.02,5.64,11.55,NA,NA,8.79,(263.89),6.26,5.799,NA,7.369,25.952,-148.371,NA,NA,NA,NA,7.778,9.549,NA,NA,10.788,5.264,5.352,NA,NA,40.534,5.06,NA,7.121,12.351,0.993,-7.183,-0.906,31.927,NA,NA,NA,28.641,NA,NA,NA,25.473,NA,6.996,-4.296,3.523,5.577,NA,6.634,11.263,NA,NA,NA,13.336,NA,NA,11.814,9.524,-9.606,17.009,NA,4.555,-17.554,NA,5.965,3.444,NA,NA,NA,NA,17.194,5.388,0.805,32.696,7.215,24.937,NA,NA,8.399,-151.064,89.666,20.806,NA,0.51,NA,-121.143,NA,7.613,8.204,-1794.677,-82.47,0.477,14.118,-63.309,-27.306,NA,24.537,NA,56.879,NA,-182.502,10.486,NA,8.943,11.296,16.901,NA,74.157,11.152,NA,NA,13.193,NA,6.016,-65.882,8.045,10.751,-9.303,9.959,-8.144,10.521,-32.914,147.362,20.824,NA,8.025,NA,-6.78,5.38,15.841,21.377,2.576,4.458,24.059,35.633,NA,NA,23.544,13.3,NA,29.564,NA,NA,NA,NA,NA,NA,-6.826,3.228,NA,6.478,NA,0.408,NA,2.702
Return on Common Equity,274476,15.03,5.64,11.55,NA,NA,9.73,(261.89),6.30,5.773,NA,7.369,25.9,-148.278,NA,NA,NA,NA,10.562,7.755,NA,NA,10.788,5.264,5.29,NA,NA,40.534,4.982,NA,7.238,12.354,1.245,-9.794,-1.236,31.951,NA,NA,NA,30.741,NA,NA,NA,25.473,NA,6.996,-4.296,3.523,5.577,NA,5.701,11.219,NA,NA,NA,13.424,NA,NA,12.08,9.529,-9.43,16.722,NA,4.436,-17.752,NA,6.006,3.444,NA,NA,NA,NA,17.194,5.21,0.805,35.013,7.215,24.937,NA,NA,8.399,-150.438,89.666,20.806,NA,0.488,NA,-121.143,NA,7.613,8.204,-1613.698,-82.47,0.578,14.118,-76.034,-27.306,NA,24.506,NA,56.879,NA,-171.038,10.765,NA,8.97,11.298,16.901,NA,74.332,11.152,NA,NA,13.193,NA,5.728,-65.882,7.965,10.572,-9.304,10.381,-8.144,10.521,-34.684,150.902,20.824,NA,8.025,NA,-7.764,5.752,15.103,27.156,2.576,4.356,23.615,35.633,NA,NA,23.544,13.3,NA,29.458,NA,NA,NA,NA,NA,NA,-8.086,3.228,NA,7.238,NA,0.408,NA,2.702
Gross Profit Margin,274477,43.25,57.96,89.21,NA,NA,NA,69.00,36.57,55.212,NA,33.375,12.936,47.754,NA,NA,NA,NA,62.773,552.198,NA,NA,69.06,23.278,31.575,NA,NA,42.729,NA,NA,24.515,24.043,5.318,12.48,36.759,49.491,NA,NA,NA,94.961,NA,NA,NA,35.988,NA,53.172,30.185,30.528,47.412,NA,92.14,58.511,NA,NA,NA,73.395,NA,NA,9.327,58.337,47.16,39.125,NA,60.239,45.636,NA,41.962,18.214,NA,NA,NA,NA,93.478,72.75,49.567,47.658,52.222,36.067,13.722,NA,20.979,32.93,38.331,100,NA,12.605,NA,57.52,NA,36.513,26.702,49.945,82.231,96.837,100,19.931,26.565,NA,48.131,NA,18.18,NA,79.755,25.646,NA,34.358,46.406,21.119,NA,24.297,24.687,21.307,NA,75.891,NA,100,32.325,19.715,11.055,39.95,122.011,22.035,36.192,21.987,18.399,51.912,NA,44.966,NA,12.192,NA,11.466,97.402,24.382,80.096,25.154,34.046,NA,NA,18.923,32.894,NA,55.286,NA,NA,NA,NA,NA,NA,28.134,43.086,NA,NA,NA,21.338,NA,NA
Net Income Margin,274478,6.70,12.36,37.99,NA,NA,14.25,52.92,8.23,27.247,NA,9.588,3.748,19.617,NA,NA,NA,NA,17.683,-74.725,NA,NA,6.101,4.401,4.943,NA,NA,32.52,15.486,NA,5.46,8.709,0.464,-4.697,-1.057,27.292,NA,NA,NA,36.117,NA,NA,NA,12.321,NA,13.189,-4.815,4.067,11.018,NA,24.202,9.032,NA,NA,NA,59.563,NA,NA,2.93,14.851,-1.887,11.219,NA,11.066,-7.679,NA,10.944,-0.156,NA,NA,NA,NA,30.978,9.896,1.732,46.2,11.912,4.601,-5.168,NA,6.987,5.656,8.32,93.361,NA,0.107,NA,32.117,NA,20.718,3.83,21.758,37.308,2.636,33.333,0.784,-10.897,NA,24.405,NA,20.732,NA,26.934,5.427,NA,11.285,20.865,4.221,NA,8.083,11.464,2.729,NA,28.516,NA,15.433,-19.215,7.859,2.413,3.376,12.681,-3.564,11.628,-19.747,2.69,25.763,NA,14.497,NA,-2.03,13.93,-3.173,35.504,2.238,13.782,1.71,10.027,NA,NA,3.915,9.625,NA,18.658,NA,NA,NA,NA,NA,NA,-4.809,5.622,NA,16.538,NA,0.603,NA,NA
Earnings from Cont Ops Margin,274479,6.72,12.36,37.99,NA,NA,14.25,52.92,8.28,27.247,NA,9.588,3.798,19.551,NA,NA,NA,NA,20.24,-75.275,NA,NA,6.101,4.401,4.943,NA,NA,32.52,15.627,NA,5.419,8.709,0.382,-3.812,-0.793,27.292,NA,NA,NA,36.117,NA,NA,NA,12.321,NA,13.189,-4.815,4.067,11.018,NA,24.202,9.108,NA,NA,NA,59.373,NA,NA,2.861,14.851,-1.908,11.482,NA,11.476,-7.662,NA,11.071,-0.156,NA,NA,NA,NA,30.978,9.8,1.732,46.27,11.912,4.601,-5.168,NA,6.987,5.656,8.32,93.361,NA,0.112,NA,32.117,NA,20.718,3.83,21.795,37.308,2.207,33.333,13.467,-10.897,NA,24.405,NA,20.732,NA,26.934,5.339,NA,11.285,20.865,4.221,NA,8.128,11.464,2.729,NA,28.516,NA,15.68,-19.215,8.114,2.469,3.376,12.681,-3.564,11.628,-19.532,2.69,25.763,NA,14.497,NA,-2.169,13.93,-3.318,35.504,2.238,13.782,1.722,10.027,NA,NA,3.915,9.625,NA,19.001,NA,NA,NA,NA,NA,NA,-7.536,5.622,NA,15.306,NA,0.603,NA,NA
EBIT Margin,274481,37.81,26.94,53.38,NA,NA,NA,59.51,16.26,21.666,NA,14.967,5.59,29.029,NA,NA,NA,NA,33.057,-14.286,NA,NA,11.719,11.352,12.689,NA,NA,41.734,NA,NA,16.113,8.47,0.15,-2.201,14.709,38.954,NA,NA,NA,NA,NA,NA,NA,17.322,NA,26.377,13.611,11.937,18.531,NA,56.38,17.472,NA,NA,NA,39.404,NA,NA,10.568,19.08,0.647,14.5,NA,21.504,17.182,NA,22.939,6.363,NA,NA,NA,NA,55.163,NA,1.948,35.628,22.351,6.924,-3.137,NA,8.644,8.665,11.086,86.937,NA,2.602,NA,43.827,NA,1.744,9.166,27.373,53.407,50.891,NA,10.088,2.801,NA,38.585,NA,25.057,NA,38.927,16.98,NA,18.492,23.796,7.104,NA,10.621,16.605,5.665,NA,41.154,NA,NA,0.729,10.816,6.004,14.573,25.063,-5.671,20.316,11.735,4.768,43.209,NA,20.805,NA,-2.213,NA,1.481,NA,5.361,NA,3.247,12.9,NA,NA,5.057,14.001,NA,21.645,NA,NA,NA,NA,NA,NA,-8.017,22.733,NA,NA,NA,13.055,NA,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
