SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Ops. to Curr. Liab. (x),274482,0.55,0.39,0.68,NA,NA,NA,0.04,0.76,1.50,NA,0.30,NM,0.05,NA,NA,NA,NA,0.79,NM,NA,NA,0.93,2.63,0.97,NA,NA,0.54,NA,NA,0.04,1.79,NM,0.18,0.56,2.38,NA,NA,NA,0.06,NA,NA,0.31,NA,NA,0.75,0.63,0.08,0.10,NA,4.11,0.96,0.64,NA,NA,1.57,NA,NA,0.20,0.50,0.04,NM,NA,0.44,0.06,NA,NA,0.11,NA,NA,NA,NA,1.06,0.05,0.13,NA,0.17,NM,0.34,NA,0.54,0.60,0.05,0.83,NA,NM,NA,1.82,NA,3.04,NM,0.10,0.96,1.71,0.08,0.34,0.46,NA,0.90,NA,0.32,NA,0.13,1.08,NA,0.43,0.93,2.34,NA,0.37,0.59,1.10,NA,2.76,NA,0.02,0.58,0.07,0.47,0.97,0.42,0.48,2.07,0.75,0.16,6.12,NA,0.62,NA,0.07,NA,0.13,NM,0.24,0.15,0.32,0.51,NA,NA,0.34,1.65,NA,0.76,NA,NA,NA,NA,NA,NA,0.94,0.32,NA,NA,NA,1.16,NA,0.07
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profitability (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Assets,274473,6.10,3.46,4.30,NA,NA,0.67,21.74,2.55,1.704,NA,1.831,4.884,12.396,NA,NA,NA,NA,2.714,-0.214,NA,NA,2.954,1.585,2.472,NA,9.749,5.491,0.484,NA,6.244,0.68,3.878,0.57,2.418,8.828,NA,NA,NA,2.623,NA,NA,1.443,NA,1.949,3.864,3.1,2.234,2.427,NA,3.926,5.123,1.825,NA,NA,3.104,NA,NA,2.2,4.618,-6.393,5.327,NA,2.916,3.365,NA,NA,7.13,NA,NA,NA,NA,4.373,0.066,1.54,NA,3.716,4.307,-3.175,NA,5.432,22.068,6.123,6.454,NA,2.475,NA,14.982,NA,1.178,5.08,11.116,17.612,4.216,0.398,0.352,3.137,NA,3.857,NA,6.121,NA,6.244,12.156,NA,1.998,1.525,6.84,NA,9.108,0.643,2.044,NA,7.111,NA,4.71,5.897,3.03,5.629,11.135,2.356,5.516,1.108,1.894,7.636,2.582,NA,3.918,NA,-4.054,1.003,0.007,0.988,0.635,0.313,4.983,14.791,NA,NA,7.401,2.201,NA,5.032,NA,NA,NA,NA,NA,NA,0.546,2.758,NA,1.042,NA,4.64,NA,NA
Return on Capital,274474,10.25,4.51,5.39,NA,NA,NA,35.75,3.69,1.781,NA,2.564,10.339,17.836,NA,NA,NA,NA,2.847,-3.312,NA,NA,3.489,2.315,3.458,NA,11.82,14.426,NA,NA,7.74,1.191,9.777,8.182,3.452,11.846,NA,NA,NA,NA,NA,NA,1.978,NA,2.702,4.967,4.716,3.059,3.166,NA,4.045,5.992,2.646,NA,NA,3.314,NA,NA,3.096,5.583,-8.916,9.772,NA,3.457,4.4,NA,NA,28.824,NA,NA,NA,NA,5.447,NA,2.129,NA,4.882,5.589,-6.022,NA,6.146,40.929,10.83,6.644,NA,3.628,NA,17.486,NA,1.576,7.191,20.05,23.928,4.338,NA,0.526,4.315,NA,5.349,NA,8.5,NA,9.326,16.194,NA,3.033,2.222,7.754,NA,14.408,0.889,2.949,NA,8.514,NA,NA,7.817,4.428,7.463,14.537,3.644,9.988,1.537,2.605,13.03,5.983,NA,4.958,NA,-16.51,NA,0.026,NA,0.912,NA,8.102,20.692,NA,NA,16.629,10.739,NA,6.817,NA,NA,NA,NA,NA,NA,0.624,3.978,NA,NA,NA,5.079,NA,NA
Return on Equity,274475,(247.02),10.41,11.57,NA,NA,9.78,(222.75),8.87,6.127,NA,3.358,16.902,-18.045,NA,NA,NA,NA,6.851,-12.974,NA,NA,87.311,3.078,4.555,NA,73.427,19.622,5.644,NA,17.659,1.64,28.738,25.103,10.135,31.989,NA,NA,NA,25.246,NA,NA,5.846,NA,5.832,11.026,9.538,5.562,5.794,NA,2.164,13.451,5.472,NA,NA,8.806,NA,NA,18.796,8.424,-29.907,24.36,NA,4.964,-35.938,NA,NA,-135.693,NA,NA,NA,NA,17.232,0.355,2.898,NA,7.989,12.711,-56.796,NA,12.483,-156.25,32.31,19.244,NA,2.512,NA,-171.505,NA,8.516,11.082,497.333,-94.251,12.23,8.967,-26.503,2.166,NA,11.227,NA,21.213,NA,-150.981,27.809,NA,6.824,4.087,17.225,NA,44.692,1.185,8.422,NA,11.206,NA,21.863,56.407,7.322,17.923,-27.541,8.616,25.906,2.618,3.537,43.178,10.406,NA,11.494,NA,-33.593,10.48,3.848,14.085,-0.205,4.137,30.769,44.604,NA,NA,38.161,16.996,NA,19.991,NA,NA,NA,NA,NA,NA,-10.467,7.522,NA,10.741,NA,9.101,NA,4.545
Return on Common Equity,274476,(248.39),10.41,11.57,NA,NA,10.82,(219.45),8.90,6.107,NA,3.358,17.023,-18.038,NA,NA,NA,NA,8.764,-15.008,NA,NA,87.311,3.078,4.43,NA,73.427,19.622,5.513,NA,17.793,1.635,29.986,27.889,9.632,32.005,NA,NA,NA,27.108,NA,NA,5.938,NA,6.047,11.026,9.538,5.562,5.794,NA,1.206,13.402,5.472,NA,NA,8.774,NA,NA,17.824,8.429,-29.949,24.246,NA,4.956,-36.337,NA,NA,-135.693,NA,NA,NA,NA,17.232,0.51,2.898,NA,7.988,12.711,-59.676,NA,12.483,-155.885,32.31,19.244,NA,2.334,NA,-171.505,NA,8.516,11.082,519.79,-94.251,12.534,8.967,-32.326,2.166,NA,11.227,NA,21.213,NA,-137.615,28.149,NA,6.83,4.088,17.225,NA,44.792,1.185,8.422,NA,11.206,NA,24.832,59.08,7.307,17.788,-27.541,8.889,25.906,2.618,3.522,44.269,10.406,NA,11.494,NA,-38.264,11.528,3.842,17.027,-0.205,3.966,30.375,44.604,NA,NA,38.161,16.996,NA,19.77,NA,NA,NA,NA,NA,NA,-10.733,7.522,NA,11.528,NA,9.101,NA,4.545
Gross Profit Margin,274477,41.37,73.94,93.10,NA,NA,NA,69.09,46.49,55.152,NA,34.313,12.52,40.791,NA,NA,NA,NA,63.169,NM,NA,NA,67.076,36.913,46.56,NA,38.868,27.179,NA,NA,27.84,33.229,20.529,25.639,31.237,50.392,NA,NA,NA,94.131,NA,NA,43.62,NA,46.899,43.266,45.128,36.25,48.217,NA,91.88,55.373,39.456,NA,NA,74.126,NA,NA,11.607,59.316,49.564,40.274,NA,61.592,49.876,NA,NA,22.577,NA,NA,NA,NA,92.248,77.732,54.362,NA,53.866,42.941,13.544,NA,22.416,33.236,41.344,100,NA,13.626,NA,57.427,NA,50.593,26.448,49.397,82.28,95.765,100,21.589,29.719,NA,45.034,NA,21.303,NA,72.644,30.238,NA,36.163,38.508,22.806,NA,23.494,31.411,28.565,NA,72.461,NA,100,46.409,20.732,11.961,43.103,39.681,29.402,27.073,16.858,18.015,47.638,NA,52.733,NA,1.466,NA,9.817,95.876,26.69,81.839,20.919,35.817,NA,NA,21.671,35.836,NA,60.885,NA,NA,NA,NA,NA,NA,33.406,48.446,NA,NA,NA,23.485,NA,NA
Net Income Margin,274478,(108.88),23.66,39.49,NA,NA,17.77,38.93,13.98,29.178,NA,5.191,2.778,7.417,NA,NA,NA,NA,14.523,-66.288,NA,NA,55.969,5.772,6.293,NA,18.608,20.499,16.488,NA,11.528,2.999,15.296,13.135,8.665,26.602,NA,NA,NA,34.781,NA,NA,18.414,NA,-3.344,14.478,14.615,10.069,12.054,NA,7.903,10.496,7.119,NA,NA,36.46,NA,NA,4.264,13.692,-8.24,8.678,NA,11.178,-19.421,NA,NA,8.166,NA,NA,NA,NA,30.491,1.195,6.488,NA,13.275,3.499,-6.724,NA,8.234,10.89,4.714,83.488,NA,0.541,NA,35.555,NA,30.698,5.14,15.439,39.736,51.08,22.297,2.549,0.817,NA,11.946,NA,8.48,NA,14.183,13.461,NA,9.074,7.988,4.601,NA,6.003,3.461,10.744,NA,27.13,NA,39.063,13.029,7.245,3.987,10.692,11.37,9.706,3.919,2.232,0.759,18.614,NA,19.498,NA,-9.672,23.828,-0.754,28.383,-0.2,11.829,2.11,12.507,NA,NA,6.865,12.625,NA,14.259,NA,NA,NA,NA,NA,NA,-7.27,14.831,NA,26.238,NA,11.517,NA,NA
Earnings from Cont Ops Margin,274479,(114.05),23.66,39.49,NA,NA,17.77,38.93,14.10,29.178,NA,5.191,2.793,7.417,NA,NA,NA,NA,16.954,-66.288,NA,NA,55.969,5.772,6.293,NA,18.608,20.499,16.698,NA,11.537,2.999,15.13,12.794,9.343,26.602,NA,NA,NA,34.781,NA,NA,13.108,NA,11.417,14.478,14.615,10.069,12.054,NA,7.903,10.58,7.119,NA,NA,36.597,NA,NA,4.485,13.692,-8.165,8.989,NA,11.589,-19.413,NA,NA,8.166,NA,NA,NA,NA,30.491,0.837,6.488,NA,13.275,3.499,-6.724,NA,8.234,10.89,4.714,83.488,NA,0.583,NA,35.555,NA,30.698,5.14,15.522,39.736,50.628,22.297,-17.841,0.817,NA,11.946,NA,8.48,NA,14.183,13.422,NA,9.074,7.988,4.601,NA,6.003,3.461,10.744,NA,27.13,NA,39.771,13.142,7.42,4.042,10.692,11.37,9.706,3.919,2.339,0.759,18.614,NA,19.498,NA,-9.836,23.85,-0.754,28.383,-0.2,11.829,2.113,12.507,NA,NA,6.865,12.625,NA,14.621,NA,NA,NA,NA,NA,NA,-10.51,14.831,NA,26.052,NA,11.517,NA,NA
EBIT Margin,274481,18.61,40.35,56.15,NA,NA,NA,59.14,23.13,21.494,NA,13.612,4.682,14.957,NA,NA,NA,NA,33.032,-75,NA,NA,7.334,12.349,20,NA,32.609,26.065,NA,NA,16.825,4.857,13.202,14.259,8.572,39.47,NA,NA,NA,NA,NA,NA,19.267,NA,21.268,22.447,23.077,17.471,19.355,NA,52.297,17.98,14.778,NA,NA,40.638,NA,NA,5.119,19.084,-8.575,14.366,NA,23.018,9.752,NA,NA,8.011,NA,NA,NA,NA,56.848,NA,12.081,NA,20.296,6.508,-3.637,NA,10.506,15.494,6.993,88.164,NA,3.159,NA,47.253,NA,15.679,8.934,22.763,55.695,54.481,NA,2.399,7.486,NA,20.302,NA,11.487,NA,26.33,20.718,NA,18.11,13.715,8.209,NA,8.761,7.453,12.471,NA,38.173,NA,NA,22.027,10.713,6.991,20.12,18.84,11.297,8.377,6.957,3.639,32.458,NA,28.656,NA,-11.61,NA,0.02,NA,3.155,NA,2.815,16.337,NA,NA,8.602,17.586,NA,23.392,NA,NA,NA,NA,NA,NA,2.138,26.288,NA,NA,NA,15.824,NA,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
