SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Levered Free Cash Flow,272625,"401,875","-276,350.00","-537,088",NA,NA,NA,"2,363,750","-572,000","210,456.63",NA,"-256,712.50","267,793.25","-17,625.00",NA,NA,NA,NA,"161,638.50","-17,469,125.00",NA,NA,"19,237.13","967,750.00","393,875.00",NA,"7,275.00","188,500.00",NA,NA,"84,837.50","30,179.13","-549,625.00","2,531,000.00","-164,500.00","675,500.00",NA,NA,NA,NA,NA,NA,"-729,750.00","225,864.88","-2,072,125.00","-177,750.00","-31,500.00","-7,799.38","-428,000.00",NA,"88,086.50","-10,825.00","-1,663,875.00",NA,NA,"43,931.75",NA,NA,"-1,999,500.00","171,487.50","-64,402.00","1,126,875.00",NA,"778,300.00","176,475.00",NA,"-14,510.13","396,125.00",NA,NA,NA,NA,"-132,375.00",NA,"-59,375.00","198,537.50","1,625.00","-703,250.00","480,125.00",NA,"62,455.38","2,049,625.00","145,125.00","31,098.38",NA,"-121,979.13",NA,"1,532,975.00",NA,"-385,750.00","-63,220.50","-120,875.00","160,621.50","51,424.75",NA,"560,375.00","-77,125.00",NA,"1,049,000.00",NA,"-617,250.00",NA,"4,655,250.00","-356,125.00",NA,"-1,645,125.00","-271,500.00","-27,860.25",NA,"8,000.00","132,031.25","-82,000.00",NA,"21,875.00",NA,NA,"1,103,251.00","-987,000.00","145,875.00","-124,165.25","-1,707,250.00","-33,000.00","-528,217.88","680,630.75","-5,268.75","-4,873.00",NA,"-1,121,000.00",NA,"-1,573,875.00",NA,"-43,125.00",NA,"-52,900.00",NA,"631,375.00","-91,271.00",NA,NA,"144,375.00","370,362.50",NA,"-1,847,250.00",NA,NA,NA,NA,NA,NA,"-272,905.38","-261,625.00",NA,NA,NA,"35,250.00",NA,"-10,879.58"
Cash from Ops. to Curr. Liab. (x),274482,0.48,0.43,1.06,NA,NA,NA,1.31,0.72,1.54,NA,0.49,0.09,0.21,NA,NA,NA,NA,0.50,NM,NA,NA,1.05,4.26,2.18,NA,1.24,0.25,NA,NA,0.25,1.28,NM,0.04,NM,2.16,NA,NA,NA,0.07,NA,NA,0.66,0.39,0.37,0.49,1.15,0.40,0.27,NA,4.96,0.34,0.24,NA,NA,1.31,NA,NA,0.12,0.27,NM,0.23,NA,0.39,0.19,NA,NM,NM,NA,NA,NA,NA,0.61,NM,0.69,1.09,0.03,NM,0.09,NA,2.58,0.55,0.18,0.62,NA,NM,NA,2.09,NA,1.04,0.04,NM,0.87,0.37,0.10,0.44,NM,NA,1.66,NA,NM,NA,0.74,NM,NA,0.35,0.63,NM,NA,0.22,1.88,0.52,NA,2.86,NA,0.43,0.56,NM,0.35,NM,NM,0.25,NM,NM,0.07,NM,0.83,0.31,NA,0.04,NA,NM,0.08,NM,0.05,0.27,NM,NA,NA,NM,0.80,NA,0.69,NA,NA,NA,NA,NA,NA,0.22,1.54,NA,NA,NA,0.31,NA,0.07
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profitability (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Assets,274473,5.046,2.073,4.204,NA,NA,0.66,19.639,2.731,1.711,NA,3.386,5.024,12.86,NA,NA,NA,NA,2.38,-0.676,NA,NA,3.09,5.187,3.519,NA,4.795,2.342,0.764,NA,4.5,5.772,0.268,-0.217,2.538,8.664,NA,NA,NA,2.885,NA,NA,3.124,7.544,2.346,3.329,2.889,3.648,3.19,NA,3.932,4.44,2.873,NA,NA,4.281,NA,NA,1.908,3.792,-5.355,5.617,NA,2.156,0.782,NA,0.266,6.564,NA,NA,NA,NA,4.312,1.003,1.241,7.309,2.782,1.353,-1.689,NA,2.256,17.496,6.307,6.207,NA,-1.93,NA,12.987,NA,0.934,4.482,8.821,15.642,4.673,0.645,0.566,0.282,NA,7.219,NA,6.13,NA,5.82,8.545,NA,2.21,1.64,5.021,NA,7.666,7.875,0.75,NA,8.302,NA,1.084,2.04,3.324,5.845,-13.419,2.334,-2.002,5.264,4.226,8.354,2.754,NA,2.512,NA,-0.741,0.945,0.972,1.179,1.844,0.868,7.782,9.506,NA,NA,12.118,2.02,NA,5.015,NA,NA,NA,NA,NA,NA,-2.2,2.854,NA,1.036,NA,3.361,NA,NA
Return on Capital,274474,7.357,2.726,5.312,NA,NA,NA,32.695,3.99,1.781,NA,4.791,11.033,17.775,NA,NA,NA,NA,2.499,-9.766,NA,NA,3.632,7.603,4.991,NA,5.82,6.107,NA,NA,5.628,10.32,0.699,-2.826,3.691,11.618,NA,NA,NA,NA,NA,NA,4.476,10.157,3.276,4.306,4.423,5.077,4.234,NA,4.049,5.227,4.187,NA,NA,4.582,NA,NA,2.666,4.609,-7.744,9.466,NA,2.57,1.037,NA,0.304,27.568,NA,NA,NA,NA,5.394,NA,1.72,8.999,3.689,1.774,-3.148,NA,2.558,32.137,11.096,6.396,NA,-2.856,NA,15.291,NA,1.255,6.443,16.503,21.261,4.805,NA,0.846,0.388,NA,9.867,NA,8.689,NA,8.926,11.588,NA,3.391,2.376,5.756,NA,12.13,10.886,1.077,NA,9.954,NA,NA,2.618,4.875,7.673,-17.13,3.637,-3.568,7.508,5.919,14.511,6.397,NA,3.262,NA,-2.864,NA,3.218,NA,2.75,NA,12.718,13.618,NA,NA,29.048,10.002,NA,6.867,NA,NA,NA,NA,NA,NA,-2.521,4.152,NA,NA,NA,3.669,NA,NA
Return on Equity,274475,17.715,4.786,10.957,NA,NA,9.757,-184.488,9.919,7.498,NA,8.944,19.646,-29.7,NA,NA,NA,NA,5.317,-34.825,NA,NA,11.935,15.802,12.746,NA,99.196,8.449,9.058,NA,-3.555,17.076,3.606,-15.906,6.241,31.219,NA,NA,NA,26.658,NA,NA,9.997,20.905,7.476,8.984,8.986,10.841,8.306,NA,9.082,11.272,10.745,NA,NA,9.577,NA,NA,15.585,7.098,-42.825,18.582,NA,-0.078,-3.088,NA,-2.518,-55.544,NA,NA,NA,NA,16.636,5.111,2.011,15.241,7.438,1.228,-40.617,NA,6.503,-159.617,33.164,14.872,NA,-11.957,NA,-122.382,NA,9.262,12.428,587.368,-100.028,10.605,14.962,-16.377,-11.909,NA,14.642,NA,22.123,NA,-110.404,32.311,NA,9.026,-4.558,12.539,NA,40.278,24.026,-0.382,NA,13.171,NA,5.153,-6.514,7.973,18.054,77.725,7.674,-6.06,20.582,5.74,145.447,11.435,NA,6.36,NA,-7.393,9.621,10.851,17.578,5.195,10.964,28.307,30.588,NA,NA,65.5,15.94,NA,21.504,NA,NA,NA,NA,NA,NA,-5.729,8.222,NA,10.683,NA,5.8,NA,4.593
Return on Common Equity,274476,17.641,4.786,10.957,NA,NA,10.82,-181.832,10.002,7.516,NA,8.944,19.771,-29.686,NA,NA,NA,NA,6.63,-37.211,NA,NA,11.935,15.802,13.306,NA,99.196,8.449,9.282,NA,-3.585,17.082,3.504,-17.54,5.883,31.242,NA,NA,NA,27.664,NA,NA,10.372,20.905,8.324,8.984,8.986,10.841,8.306,NA,8.151,11.211,10.745,NA,NA,9.061,NA,NA,16.419,7.102,-42.589,9.422,NA,-0.199,-3.178,NA,-2.578,-55.544,NA,NA,NA,NA,16.636,5.327,2.011,16.359,7.438,1.228,-42.238,NA,6.503,-159.069,33.164,14.872,NA,-11.968,NA,-122.382,NA,9.262,12.428,635.428,-100.028,10.871,14.962,-20.478,-11.909,NA,14.611,NA,22.123,NA,-102.389,32.714,NA,9.067,-4.559,12.539,NA,40.3,24.026,-0.382,NA,13.171,NA,4.865,-6.712,7.844,17.92,77.725,7.85,-6.06,20.582,5.779,149.125,11.435,NA,6.36,NA,-8.917,10.166,10.55,22.686,5.195,11.541,27.864,30.588,NA,NA,65.5,15.94,NA,21.34,NA,NA,NA,NA,NA,NA,-5.915,8.222,NA,11.66,NA,5.8,NA,4.593
Gross Profit Margin,274477,38.415,60.116,92.323,NA,NA,NA,69.893,40.08,54,NA,38.787,12.749,46.138,NA,NA,NA,NA,62.217,1.48,NA,NA,67.74,29.121,35.984,NA,30.742,13.699,NA,NA,24.801,27.918,5.75,7.799,31.561,49.649,NA,NA,NA,94.703,NA,NA,51.198,36.098,45.231,43.113,35.077,41.579,44.852,NA,91.645,55.422,41.722,NA,NA,76.176,NA,NA,11.156,58.068,51.065,40.174,NA,58.658,52.368,NA,49.602,20.199,NA,NA,NA,NA,92.95,79.524,49.666,46.894,52.013,42.396,14.249,NA,20.694,34.025,41.941,100,NA,8.808,NA,56.189,NA,39.565,26.797,48.457,81.654,85.799,100,24.724,26.981,NA,46.232,NA,21.342,NA,73.464,25.611,NA,33.774,35.31,21.58,NA,22.126,41.178,23.022,NA,74.886,NA,100,41.303,20.733,11.323,-69.975,39.266,17.227,30.881,21.404,18.227,55.898,68.103,51.993,NA,10.525,NA,13.548,97.199,26.325,84.905,21.632,34.479,NA,NA,25.361,34.505,NA,58.969,NA,NA,NA,NA,NA,NA,27.35,47.651,NA,NA,NA,19.617,NA,NA
Net Income Margin,274478,16.119,11.083,36.843,NA,NA,16.968,37.518,13.26,34.624,NA,11.39,3.133,10.69,NA,NA,NA,NA,11.229,-38.863,NA,NA,6.871,12.347,11.695,NA,27.828,10.04,23.349,NA,-2.668,10.941,1.269,-10.815,5.538,26.282,NA,NA,NA,36.395,NA,NA,25.264,10.994,11.05,13.576,10.872,14.697,14.104,NA,34.034,8.633,12.026,NA,NA,32.416,NA,NA,4.236,11.885,-12.695,4.015,NA,-0.482,-2.208,NA,-11.588,3.399,NA,NA,NA,NA,29.243,10.568,4.454,20.711,13.928,0.377,-5.83,NA,5.532,9.861,5.139,66.187,NA,-3.116,NA,30.553,NA,27.065,6.054,12.805,40.311,41.856,33.036,0.773,-5.651,NA,14.879,NA,9.053,NA,13.526,16.431,NA,10.082,-8.086,3.352,NA,5.163,24.099,-0.552,NA,29.461,NA,17.647,-1.663,8.284,3.657,-159.123,10.101,-2.787,14.723,2.864,2.434,16.054,5.172,14.312,NA,-2.321,22.379,-2.31,30.75,4.037,26.091,1.489,9.305,NA,NA,10.514,11.801,NA,14.916,NA,NA,NA,NA,NA,NA,-3.75,14.891,NA,25.566,NA,8.028,NA,NA
Earnings from Cont Ops Margin,274479,11.016,11.083,36.843,NA,NA,17.021,37.518,13.31,34.624,NA,11.39,3.151,10.69,NA,NA,NA,NA,13.588,-38.707,NA,NA,6.871,12.347,11.695,NA,27.828,10.04,23.582,NA,-2.668,10.941,1.348,-10.674,6.01,26.282,NA,NA,NA,36.395,NA,NA,18.027,10.994,13.332,13.576,10.872,14.697,14.104,NA,34.034,8.717,12.026,NA,NA,34.325,NA,NA,4.01,11.885,-12.67,8.137,NA,-0.193,-2.168,NA,-11.527,3.399,NA,NA,NA,NA,29.243,10.076,4.454,20.734,13.928,0.377,-5.83,NA,5.532,9.861,5.139,66.187,NA,-3.116,NA,30.553,NA,27.065,6.054,12.851,40.311,41.49,33.036,-7.947,-5.651,NA,14.879,NA,9.053,NA,13.526,16.388,NA,10.082,-8.086,3.352,NA,5.172,24.099,-0.552,NA,29.461,NA,17.396,-1.663,8.603,3.707,-159.124,10.101,-2.787,14.723,2.972,2.434,16.054,4.957,14.312,NA,-2.328,22.379,-2.372,30.75,4.037,26.091,1.493,9.305,NA,NA,10.514,11.801,NA,15.247,NA,NA,NA,NA,NA,NA,-6.706,14.891,NA,24.997,NA,8.028,NA,NA
EBIT Margin,274481,15.557,25.262,53.827,NA,NA,NA,60.844,20.844,21.168,NA,20.897,4.835,19.31,NA,NA,NA,NA,29.087,-47.897,NA,NA,7.499,18.171,19.323,NA,21.394,12.584,NA,NA,13.838,15.112,0.661,-7.446,9.314,38.991,NA,NA,NA,NA,NA,NA,33.814,15.749,23.021,22.583,17.231,21.714,20.874,NA,53.45,15.776,19.863,NA,NA,47.987,NA,NA,4.716,16.458,-7.658,14.362,NA,17.578,2.847,NA,5.203,7.102,NA,NA,NA,NA,55.091,NA,9.577,35.438,17.179,2.207,-2.029,NA,5.763,13.957,7.835,88.117,NA,-2.741,NA,45.117,NA,10.217,8.362,20.451,53.123,57.184,NA,2.87,0.831,NA,35.983,NA,11.601,NA,24.369,15.83,NA,16.927,12.938,6.248,NA,7.334,32.686,5.084,NA,41.402,NA,NA,9.425,12.379,6.713,-141.109,18.481,-4.977,20.778,13.185,3.87,27.778,52.155,23.732,NA,-2.125,NA,2.969,NA,7.527,NA,3.426,11.934,NA,NA,13.965,16.449,NA,23.083,NA,NA,NA,NA,NA,NA,-9.849,25.336,NA,NA,NA,12.121,NA,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
