SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Levered Free Cash Flow,272625,"1,092,125","(17,688)","66,238",NA,NA,NA,"3,615,500","(182,750)","68,746.13",NA,"-171,137.50","-97,644.50","1,219,000.00",NA,NA,NA,NA,"322,768.88","645,625.00",NA,NA,"27,679.38","-35,500.00",NA,NA,"54,775.00","1,291,750.00",NA,NA,"369,500.00","-30,399.50",NA,"7,270,000.00","572,875.00","669,750.00",NA,NA,NA,NA,NA,NA,"267,875.00","168,142.50",NA,"-442,250.00","-121,000.00","-53,760.50","-84,250.00",NA,"45,357.63","191,187.50",NA,NA,NA,"76,711.00",NA,NA,"5,335,500.00","169,362.50","74,600.75",NA,NA,"665,575.00","306,412.50","82,279.13","41,623.75","570,625.00",NA,NA,NA,NA,"-5,875.00",NA,"109,375.00","-762,262.50","989,750.00","101,250.00","971,500.00",NA,"-113,252.00","-184,625.00","193,750.00","20,199.00",NA,"49,934.75",NA,"632,537.50",NA,"-417,500.00","12,572.50","598,125.00","281,729.13","4,048.25",NA,"243,500.00","209,000.00",NA,"442,750.00",NA,"2,107,500.00",NA,"3,218,500.00","245,875.00",NA,"-696,000.00","-40,000.00","53,789.13",NA,"57,137.50","-41,087.50","-66,287.50",NA,"734,500.00",NA,NA,"-223,285.75","2,369,125.00","67,500.00","-34,578.50","-401,000.00",-875.00,"-191,810.13","-146,193.75","50,511.88","-49,645.00",NA,"-257,250.00",NA,"8,368,000.00",NA,"2,735,250.00",NA,"-64,425.00",NA,"542,250.00","28,945.38",NA,NA,"94,125.00","477,512.50",NA,"4,494,750.00",NA,NA,NA,NA,NA,NA,"-17,294.38","-814,125.00",NA,NA,NA,"-59,125.00",NA,"-2,859.34"
Cash from Ops. to Curr. Liab. (x),274482,0.89,0.43,0.77,NA,NA,NA,1.24,0.66,1.20,NA,NM,0.01,1.89,NA,NA,NA,NA,2.26,0.03,NA,NA,0.92,0.27,NA,NA,0.69,0.56,NA,NA,0.48,0.42,NM,0.04,0.85,2.29,NA,NA,NA,0.07,NA,0.85,0.23,0.58,NA,0.23,0.15,0.12,0.89,NA,2.80,0.67,NA,NA,NA,1.48,NA,NA,0.16,0.30,0.65,NM,NA,0.68,0.22,2.07,NM,0.39,NA,NA,NA,NA,0.74,0.19,1.36,0.87,0.58,0.57,0.53,NA,NM,NM,0.30,NM,NA,0.66,NA,2.65,NA,1.18,0.29,0.69,0.89,3.31,0.25,0.36,0.48,NA,1.50,NA,0.61,NA,0.80,0.79,NA,0.05,0.71,0.97,NA,0.25,NM,NM,NA,1.44,NA,1.26,NM,0.35,0.17,NM,0.23,0.11,NM,0.08,0.23,1.52,NA,0.39,NA,0.06,NA,0.04,0.04,0.81,0.17,0.24,0.33,NA,NA,0.54,3.36,NA,0.71,NA,NA,NA,NA,NA,NA,0.96,0.25,NA,NA,NA,2.07,NA,5.04
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profitability (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Assets,274473,8.87,2.45,3.95,NA,NA,1.46,18.16,1.64,1.724,NA,2.269,6.686,24.701,NA,NA,NA,NA,2.847,0.086,NA,NA,1.012,2.904,NA,NA,3.744,15.172,0.546,NA,4.536,3.97,NA,1.044,4.911,8.592,NA,NA,NA,3.901,NA,NA,2.034,7.081,NA,2.394,2.766,1.905,1.386,NA,2.601,5.704,NA,NA,NA,2.83,NA,NA,4.35,3.468,9.784,NA,NA,2.638,5.025,1.526,5.486,7.648,NA,NA,NA,NA,3.985,2.374,4.239,7.105,3.869,5.198,-2.255,NA,15.877,14.183,3.941,4.84,NA,3.156,NA,11.35,NA,-0.102,3.925,12.621,13.524,3.738,-0.054,6.285,5.332,NA,7.49,NA,20.4,NA,9.303,7.376,NA,2.045,2.055,9.452,NA,8.061,4.258,1.112,NA,10.185,NA,1.847,-7.608,2.31,4.785,3.297,2,0.544,3.752,2.382,9.681,-1.01,NA,2.396,NA,3.272,0.76,-5.916,0.991,1.737,1.083,0.02,6.288,NA,NA,7.682,0.861,NA,5.6,NA,NA,NA,NA,NA,NA,1.373,3.185,NA,1.312,NA,7.61,NA,-0.012
Return on Capital,274474,12.63,3.26,4.96,NA,NA,NA,26.92,2.49,1.782,NA,3.241,15.558,37.662,NA,NA,NA,NA,2.977,0.869,NA,NA,1.139,4.345,NA,NA,4.829,34.77,NA,NA,5.63,7.259,NA,8.772,7.256,11.463,NA,NA,NA,NA,NA,NA,2.913,9.949,NA,3.157,4.304,2.642,1.906,NA,2.68,7.042,NA,NA,NA,3.039,NA,NA,5.982,4.198,16.024,NA,NA,3.149,6.983,1.594,6.291,49.036,NA,NA,NA,NA,4.983,NA,5.83,8.956,5.08,6.792,-3.978,NA,16.978,23.884,6.707,4.974,NA,4.697,NA,13.764,NA,-0.14,5.61,24.837,17.56,3.841,NA,9.62,7.868,NA,10.188,NA,32.598,NA,13.708,9.928,NA,3.204,2.912,11.436,NA,13.232,5.918,1.639,NA,12.374,NA,NA,-9.004,3.455,6.256,4.05,3.252,0.874,5.446,3.276,14.896,-2.407,NA,3.272,NA,11.163,NA,-18.166,NA,2.708,NA,0.033,9.48,NA,NA,17.582,4.113,NA,7.76,NA,NA,NA,NA,NA,NA,1.595,4.762,NA,NA,NA,8.599,NA,-0.012
Return on Equity,274475,36.16,7.33,11.01,NA,NA,15.33,(458.76),5.13,3.682,NA,6.393,28.094,-200.27,NA,NA,NA,NA,11.647,1.585,NA,NA,-3.018,8.801,NA,NA,53.655,47.142,6.29,NA,14.617,13.705,NA,44.036,15.936,28.014,NA,NA,NA,32.004,NA,NA,11.726,35.913,NA,5.193,6.752,4.426,1.49,NA,6.774,13.75,NA,NA,NA,21.566,NA,NA,115.069,7.129,17.443,NA,NA,3.327,11,2.03,11.971,-443.348,NA,NA,NA,NA,16.146,12.724,10.683,53.102,13.658,27.347,-72.336,NA,32.597,141.996,26.689,21.732,NA,12.676,NA,-127.582,NA,6.376,9.993,-1186.716,-349.706,1.697,-1.647,16.828,14.218,NA,22.086,NA,89.06,NA,206.915,21.249,NA,8.89,6.541,33.444,NA,29.869,12.099,0.786,NA,18.789,NA,11.301,-93.964,4.177,15.937,15.766,9.876,2.632,13.553,9.119,40.057,9.22,NA,7.068,NA,17.162,7.95,114.427,11.116,3.817,14.396,-3.103,20.134,NA,NA,32.662,5.669,NA,23.437,NA,NA,NA,NA,NA,NA,2.446,9.317,NA,13.43,NA,15.746,NA,0.76
Return on Common Equity,274476,36.30,7.33,11.01,NA,NA,16.98,(451.38),5.16,3.526,NA,6.393,28.388,-199.82,NA,NA,NA,NA,20.071,1.044,NA,NA,-3.018,8.801,NA,NA,53.655,47.142,6.394,NA,14.735,13.709,NA,39.273,15.916,28.034,NA,NA,NA,34.594,NA,NA,12.772,35.913,NA,5.193,6.752,4.426,1.49,NA,5.871,13.712,NA,NA,NA,21.54,NA,NA,115.443,7.133,17.383,NA,NA,3.221,10.878,2.03,12.315,-443.348,NA,NA,NA,NA,16.146,12.34,10.683,57.272,13.658,27.347,-72.816,NA,32.597,141.416,26.689,21.732,NA,12.739,NA,-127.582,NA,6.376,9.993,-1058.746,-349.706,1.701,-1.654,19.68,14.221,NA,22.086,NA,89.06,NA,228.151,21.35,NA,8.918,6.542,33.444,NA,29.916,12.099,0.786,NA,18.789,NA,12.068,-93.964,3.796,16.31,15.766,10.376,2.632,13.553,9.542,40.995,9.22,NA,7.068,NA,18.529,8.512,112.585,12.359,3.817,15.54,-3.054,20.134,NA,NA,32.662,5.669,NA,23.234,NA,NA,NA,NA,NA,NA,1.26,9.317,NA,12.953,NA,15.746,NA,0.76
Gross Profit Margin,274477,45.46,62.66,90.83,NA,NA,NA,64.14,40.93,55.313,NA,36.992,13.269,61.111,NA,NA,NA,NA,63.745,37.221,NA,NA,68.281,27.922,NA,NA,22.862,56.786,NA,NA,26.344,31.49,15.383,34.084,36.752,50.948,NA,NA,NA,95.324,NA,43.904,48.969,36.368,NA,49.138,41.911,31.182,51.247,NA,91.472,58.059,NA,NA,NA,72.92,NA,NA,10.521,57.958,50.051,40.575,NA,57.621,43.191,69.218,36.755,19.58,NA,NA,NA,NA,92.145,93.428,48.201,52.781,52.374,34.864,11.943,NA,26.648,31.835,31.818,100,NA,13.82,NA,54.268,NA,35.688,27.002,51.034,82.558,94.149,100,25.959,32.478,NA,50.947,NA,17.953,NA,81.099,26.513,NA,30.804,43.794,19.785,NA,20.661,35.336,24.657,NA,77.067,NA,100,-13.044,20.113,11.648,34.534,130.223,20.372,45.868,21.883,18.069,42.842,NA,41.295,NA,25.571,NA,-12.459,97.239,32.599,86.824,25.813,30.124,NA,NA,17.857,25.29,NA,55.981,NA,NA,NA,NA,NA,NA,32.842,54.03,NA,NA,NA,31.958,NA,NA
Net Income Margin,274478,15.55,16.16,39.96,NA,NA,29.84,31.93,8.43,18.138,NA,9.143,4.117,31.641,NA,NA,NA,NA,28.63,3.127,NA,NA,-1.822,6.824,NA,NA,11.87,44.237,18.876,NA,11.298,11.055,0.759,45.65,13.248,27.254,NA,NA,NA,39.918,NA,3.266,34.562,18.237,NA,10.249,10.828,6.33,3.628,NA,29.38,9.743,NA,NA,NA,96.207,NA,NA,32.597,12.002,3.251,12.29,NA,9.501,4.083,8.47,14.125,18.585,NA,NA,NA,NA,29.909,19.495,24.7,79.5,24.86,5.585,-16.246,NA,13.894,4.815,2.274,114.827,NA,4.236,NA,27.272,NA,18.879,4.773,17.284,35.258,9.201,-2.136,3.147,5.205,NA,26.648,NA,31.369,NA,35.913,10.652,NA,10.732,12.806,5.318,NA,4.329,17.171,1.286,NA,31.32,NA,313.168,-138.149,4.025,3.611,-7.756,14.57,1.346,18.739,6.45,0.936,18.274,NA,12.086,NA,6.279,21.404,-28.006,33.56,4.279,32.005,-0.251,6.257,NA,NA,5.601,5.361,NA,13.541,NA,NA,NA,NA,NA,NA,1.235,19.137,NA,27.089,NA,18.858,NA,NA
Earnings from Cont Ops Margin,274479,15.56,16.16,39.96,NA,NA,30.11,31.93,8.50,18.138,NA,9.143,4.12,20.493,NA,NA,NA,NA,31.132,3.176,NA,NA,-1.822,6.824,NA,NA,11.87,44.237,18.911,NA,11.312,11.055,0.705,54.672,13.493,27.254,NA,NA,NA,39.918,NA,3.266,21.211,18.237,NA,10.249,10.828,6.33,3.628,NA,29.38,9.815,NA,NA,NA,96.268,NA,NA,32.573,12.213,3.278,12.552,NA,9.899,4.212,8.47,13.821,18.585,NA,NA,NA,NA,29.909,19.896,24.7,79.58,24.86,5.585,-16.246,NA,13.894,4.815,2.274,114.827,NA,4.222,NA,27.272,NA,18.879,4.773,17.328,35.258,9.241,-2.136,3.097,5.205,NA,26.648,NA,31.369,NA,35.913,10.699,NA,10.732,12.806,5.318,NA,4.543,17.171,1.286,NA,31.32,NA,NM,-138.149,4.524,3.553,-7.756,14.57,1.346,18.739,6.564,0.936,18.274,NA,12.086,NA,8.547,21.553,-28.148,33.56,4.279,32.005,-0.247,6.257,NA,NA,5.601,5.361,NA,13.905,NA,NA,NA,NA,NA,NA,2.43,19.137,NA,30.147,NA,18.858,NA,NA
EBIT Margin,274481,19.64,28.83,52.93,NA,NA,NA,56.47,15.58,21.901,NA,15.647,5.483,41.317,NA,NA,NA,NA,34.967,4.417,NA,NA,2.566,12.235,NA,NA,12.226,55.974,NA,NA,14.671,13.615,-26.952,25.355,15.996,40.444,NA,NA,NA,NA,NA,12.107,20.902,14.457,NA,20.498,20.382,12.075,13.379,NA,39.526,20.14,NA,NA,NA,38.062,NA,NA,11.771,15.864,8.824,15.82,NA,21.891,10.117,21.276,26.009,6.801,NA,NA,NA,NA,54.683,NA,34.053,39.85,23.032,5.211,-2.503,NA,17.859,13.633,4.135,81.7,NA,4.582,NA,40.264,NA,-1.218,7.388,25.69,52.39,61.077,NA,14.356,10.945,NA,40.498,NA,40.109,NA,41.302,13.843,NA,16.108,17.391,8.252,NA,7.974,25.071,8.086,NA,44.399,NA,NA,-100.57,8.678,6.465,9.636,17.76,1.584,26.05,10.164,5.214,-12.839,NA,16.547,NA,11.713,NA,-22.828,NA,9.251,NA,0.013,7.73,NA,NA,7.955,8.133,NA,23.674,NA,NA,NA,NA,NA,NA,4.885,31.253,NA,NA,NA,24.66,NA,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
