SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Levered Free Cash Flow,272625,"87,625","(783,225)","(341,388)",NA,NA,NA,"(1,001,250)","(213,250)","254,389.13",NA,"-309,312.50","-83,576.25","-634,625.00",NA,NA,NA,NA,"399,572.38","-1,850,375.00",NA,NA,578.25,"-119,625.00","-737,000.00",NA,"-1,343,975.00","-551,125.00",NA,NA,"-26,687.50","-13,823.88","613,875.00","-1,870,750.00","390,875.00","453,375.00",NA,NA,NA,NA,NA,NA,"-1,520,250.00","128,583.25","-115,125.00","20,750.00","-163,250.00","-2,986.75","-182,750.00",NA,"68,137.88","101,175.00",NA,NA,NA,"173,741.63",NA,NA,"4,567,750.00","315,787.50","-32,862.75",NA,NA,"414,037.00","86,975.00","65,020.25","107,235.75","-416,125.00",NA,NA,NA,NA,"-88,125.00",NA,"63,375.00","-179,812.50","364,125.00","1,274,500.00",NA,NA,"-177,026.00","1,149,750.00","324,250.00","47,343.75",NA,"-325,562.63",NA,"70,662.50",NA,"155,250.00","-13,299.13","-50,625.00","138,401.88","130,728.63",NA,"49,000.00","-201,875.00",NA,"433,750.00",NA,"-150,000.00",NA,"-338,000.00","122,500.00",NA,"-1,509,500.00","12,500.00","53,003.63",NA,"-41,525.00","10,787.50","-100,075.00",NA,"-63,875.00",NA,NA,"-331,066.00","2,106,125.00","43,625.00","11,267.88","-1,249,750.00","517,500.00","-68,321.88","-126,659.13","71,182.00","-326,789.63",NA,"-201,750.00",NA,"1,666,250.00",NA,"187,750.00",NA,"-14,725.00",NA,"903,375.00","81,167.63",NA,NA,"105,625.00","471,700.00",NA,"4,775,750.00",NA,NA,NA,NA,NA,NA,"-85,122.25","-959,500.00",NA,NA,NA,"690,500.00",NA,"-2,668.85"
Cash from Ops. to Curr. Liab. (x),274482,0.46,0.68,0.89,NA,NA,NA,NM,0.54,1.85,NA,NM,NM,0.49,NA,NA,NA,NA,2.64,0.04,NA,NA,0.56,0.53,0.37,NA,1.86,0.57,NA,NA,0.15,0.58,NM,0.06,0.55,2.06,NA,NA,NA,0.08,NA,NA,0.07,0.28,0.54,0.81,0.36,1.03,0.19,NA,4.04,0.42,NA,NA,NA,3.18,NA,NA,0.14,0.45,NM,NA,NA,0.38,0.02,2.33,0.02,0.07,NA,NA,NA,NA,0.65,0.15,1.27,0.53,0.40,1.71,NA,NA,NM,0.45,0.28,0.17,NA,NM,NA,0.71,NA,2.66,0.11,0.01,0.76,3.47,0.11,0.12,NM,NA,1.56,NA,NM,NA,NM,0.94,NA,NM,1.33,0.82,NA,NM,0.54,0.06,NA,1.36,NA,0.60,0.16,0.14,0.27,1.90,0.26,0.65,0.46,0.13,0.14,0.47,NA,0.41,NA,0.12,NA,0.00,NM,0.93,0.20,0.22,0.48,NA,NA,NM,2.50,NA,0.88,NA,NA,NA,NA,NA,NA,0.89,0.00,NA,NA,NA,4.87,NA,0.00
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profitability (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Assets,274473,0.97,3.12,3.42,NA,NA,1.04,20.77,2.43,1.565,NA,2.354,6.781,9.17,NA,NA,NA,NA,3.039,2.336,NA,NA,3.627,1.466,2.45,NA,13.119,-8.748,0.802,NA,4.986,1.652,1.667,1.972,4.093,9.96,NA,NA,NA,3.974,NA,NA,0.98,8.474,2.082,4.009,3.513,1.138,2.023,NA,3.716,6.735,1.876,NA,NA,9.308,NA,NA,3.326,3.842,-1.546,NA,NA,2.886,5.759,1.752,1.555,8.494,NA,NA,NA,NA,4.35,0.797,1.582,7.687,2.941,9.438,NA,NA,14.726,20.924,8.356,4.734,NA,1.301,NA,12.973,NA,0.938,5.238,8.79,15.863,1.987,0.934,3.472,5.794,NA,8.285,NA,7.94,NA,8.508,12.033,NA,2.113,1.464,14.511,NA,9.312,1.005,1.825,NA,9.272,NA,0.368,-1.628,2.834,6.273,11.88,2.047,7.662,0.821,0.868,5.375,-28.412,NA,4.148,NA,-3.17,0.746,2.547,1.088,1.556,0.734,4.729,12.797,NA,NA,10.083,1.877,NA,5.266,NA,NA,NA,NA,NA,NA,-0.893,3.265,NA,0.623,NA,14.944,NA,NA
Return on Capital,274474,1.39,4.10,4.27,NA,NA,NA,31.08,3.65,1.624,NA,3.364,15.343,12.367,NA,NA,NA,NA,3.179,24.747,NA,NA,4.26,2.187,3.578,NA,16.363,-21.294,NA,NA,6.156,2.96,4.566,20.724,6.151,13.438,NA,NA,NA,NA,NA,NA,1.379,11.924,2.926,5.289,5.438,1.592,2.743,NA,3.832,7.944,2.77,NA,NA,10.064,NA,NA,4.653,4.7,-2.332,9.048,NA,3.478,7.589,1.821,1.778,46.629,NA,NA,NA,NA,5.426,NA,2.206,9.393,3.904,12.276,NA,NA,15.768,37.124,14.006,4.854,NA,1.938,NA,15.672,NA,1.27,7.682,17.37,21.315,2.038,NA,5.351,8.566,NA,11.323,NA,11.898,NA,13.005,16.38,NA,3.281,2.119,17.337,NA,14.938,1.377,2.588,NA,11.16,NA,NA,-2.004,4.254,8.286,15.251,3.251,12.647,1.162,1.158,8.754,-70.646,NA,5.583,NA,-10.371,NA,8.14,NA,2.358,NA,7.56,18.386,NA,NA,24.504,8.918,NA,7.257,NA,NA,NA,NA,NA,NA,-1.035,4.851,NA,NA,NA,16.616,NA,NA
Return on Equity,274475,2.28,9.70,8.58,NA,NA,13.12,(171.22),8.38,4.237,NA,7.541,27.449,-99.942,NA,NA,NA,NA,13.902,60.341,NA,NA,5.633,2.699,7.61,NA,294.819,-28.898,9.626,NA,12.69,1.99,-3.946,62.409,18.983,35.784,NA,NA,NA,32.444,NA,NA,-14.724,26.576,6.986,12.146,12.308,2.037,4.902,NA,6.304,21,7.89,NA,NA,22.937,NA,NA,5.714,7.278,-18.395,11.378,NA,-10.776,18.306,1.764,2.45,-179.271,NA,NA,NA,NA,17.35,4.41,3.564,16.08,3.426,29.566,NA,NA,33.61,8942.222,47.414,3.156,NA,2.602,NA,-76.889,NA,8.044,8.15,-251.648,-88.406,6.119,25.013,9.116,20.083,NA,24.618,NA,28.094,NA,92.473,30.652,NA,9.136,3.268,54.913,NA,51.773,2.188,7.414,NA,15.859,NA,1.871,-56.486,7.329,20.404,-26.839,6.542,28.23,-0.349,-0.675,45.236,-163.028,NA,11.448,NA,-18.942,8.298,-4.258,15.488,3.734,9.97,20.295,44.77,NA,NA,46.639,14.454,NA,24.644,NA,NA,NA,NA,NA,NA,-2.89,1.147,NA,6.586,NA,29.943,NA,1.878
Return on Common Equity,274476,2.18,9.70,8.58,NA,NA,14.68,(170.84),8.41,3.976,NA,7.541,27.661,-99.826,NA,NA,NA,NA,23.647,59.778,NA,NA,5.633,2.699,7.785,NA,294.819,-28.898,10.024,NA,12.787,1.986,-4.014,66.165,18.666,35.812,NA,NA,NA,34.985,NA,NA,-16.566,26.576,7.551,12.146,12.308,2.037,4.902,NA,5.387,21.008,7.89,NA,NA,20.532,NA,NA,5.985,7.282,-18.508,11.233,NA,-11.006,18.84,1.764,2.483,-179.271,NA,NA,NA,NA,17.35,4.542,3.564,17.258,3.426,29.566,NA,NA,33.61,8909.63,47.414,3.156,NA,2.6,NA,-76.889,NA,8.044,8.15,-240.316,-88.406,6.241,25.039,9.209,20.083,NA,24.588,NA,28.094,NA,85.69,30.897,NA,9.165,3.269,54.913,NA,51.799,2.188,7.414,NA,15.859,NA,-0.226,-56.486,7.3,20.532,-26.839,6.692,28.23,-0.349,-0.757,46.28,-163.028,NA,11.448,NA,-21.124,9.137,-5.098,18.556,3.734,10.49,19.949,44.77,NA,NA,46.639,14.454,NA,24.498,NA,NA,NA,NA,NA,NA,-3.214,1.147,NA,7.203,NA,29.943,NA,1.878
Gross Profit Margin,274477,41.47,65.16,90.83,NA,NA,NA,68.22,45.45,54.212,NA,40.021,13.067,48.592,NA,NA,NA,NA,63.618,69.99,NA,NA,67.692,30.402,43.827,NA,41.082,-123.537,NA,NA,24.676,30.003,12.516,57.136,34.467,51.874,NA,NA,NA,95.458,NA,NA,45.747,36.24,46.252,44.349,41.068,28.355,48.257,NA,91.602,58.829,44.114,NA,NA,85.958,NA,NA,14.011,56.96,51.553,40.054,NA,57.811,55.025,68.35,50.515,20.067,NA,NA,NA,NA,92.643,68.226,53.708,50.692,50.056,45.446,11.094,NA,32.277,33.776,42.625,100,NA,11.89,NA,57.745,NA,44.928,27.857,46.355,81.739,89.611,100,24.236,32.991,NA,49.477,NA,22.259,NA,79.16,28.489,NA,34.564,37.139,22.166,NA,23.377,35.795,27.952,NA,74.632,NA,100,25.168,21.197,12.636,44.732,33.859,33.071,27.379,15.38,17.715,56.298,NA,46.65,NA,7.93,NA,15.065,96.657,29.412,84.273,21.362,32.525,NA,NA,22.667,32.784,NA,57.323,NA,NA,NA,NA,NA,NA,29.009,53.011,NA,NA,NA,39.825,NA,NA
Net Income Margin,274478,0.90,18.80,32.52,NA,NA,24.21,16.58,12.48,20.602,NA,11.66,3.914,21.948,NA,NA,NA,NA,32.884,45.184,NA,NA,3.404,3.392,9.774,NA,58.249,-99.756,24.937,NA,9.007,2.431,-2.031,40.595,15.574,30.878,NA,NA,NA,41.404,NA,NA,-23.93,13.416,13.818,16.032,16.231,3.281,10.275,NA,25.277,15.235,10.97,NA,NA,48.102,NA,NA,1.66,11.823,-5.139,10.816,NA,-29.506,10.603,7.192,7.793,5.753,NA,NA,NA,NA,30.245,8.676,7.865,22.957,6.134,8.59,-15.069,NA,17.063,10.947,5.903,17.311,NA,0.704,NA,20.775,NA,22.742,3.774,10.654,38.163,36.018,41.19,2.053,7.853,NA,25.2,NA,10.749,NA,-12.037,13.187,NA,11.723,6.24,7.896,NA,-0.222,6.439,9.709,NA,30.147,NA,1.561,-23.879,7.993,4.466,9.965,8.183,11.296,-0.6,-0.574,1.026,-231.979,NA,17.661,NA,-8.29,20.656,1.157,35.463,3.869,26.141,1.474,10.494,NA,NA,7.083,12.084,NA,15.387,NA,NA,NA,NA,NA,NA,0.536,2.161,NA,19.089,NA,26.505,NA,NA
Earnings from Cont Ops Margin,274479,0.94,18.80,32.52,NA,NA,24.21,16.58,12.60,20.602,NA,11.66,3.927,12.617,NA,NA,NA,NA,35.287,45.184,NA,NA,3.404,3.392,9.774,NA,58.249,-99.756,26.264,NA,9.02,2.431,-2.068,41.847,16.155,30.878,NA,NA,NA,41.404,NA,NA,-55.837,13.416,13.681,16.032,16.231,3.281,10.275,NA,25.277,15.296,10.97,NA,NA,53.845,NA,NA,1.587,11.823,-5.101,10.839,NA,-29.157,10.491,7.192,7.745,5.753,NA,NA,NA,NA,30.245,8.733,7.865,22.957,6.134,8.59,-15.069,NA,17.063,10.947,5.903,17.311,NA,0.706,NA,20.775,NA,22.742,3.774,10.701,38.163,36.886,41.19,1.853,7.853,NA,25.2,NA,10.749,NA,-12.037,13.187,NA,11.723,6.24,7.896,NA,6.85,6.439,9.709,NA,30.147,NA,2.717,-23.879,8.202,4.466,9.965,8.183,11.296,-0.6,-0.531,1.026,-231.979,NA,17.661,NA,-8.364,20.537,0.959,35.463,3.869,26.141,1.48,10.494,NA,NA,7.083,12.084,NA,15.73,NA,NA,NA,NA,NA,NA,-3.134,2.161,NA,18.08,NA,26.505,NA,NA
EBIT Margin,274481,2.03,32.77,48.46,NA,NA,NA,59.49,21.46,20.15,NA,17.399,5.649,22.535,NA,NA,NA,NA,35.62,57.25,NA,NA,9.446,8.668,18.004,NA,34.489,-126.829,NA,NA,14.714,8.418,5.618,47.089,13.582,42.202,NA,NA,NA,NA,NA,NA,21.183,16.73,21.801,23.096,22.113,7.935,16.147,NA,53.329,23.134,16.372,NA,NA,67.945,NA,NA,8.256,16.982,-2.124,14.117,NA,22.676,16.361,23.821,21.333,8.135,NA,NA,NA,NA,55.858,NA,12.135,38.474,16.995,12.818,-4.433,NA,22.271,15.27,10.438,84.532,NA,1.639,NA,45.431,NA,10.368,9.277,19.159,54.766,35.603,NA,8.162,13.102,NA,40.123,NA,15.123,NA,37.751,19.3,NA,17.917,12.1,11.793,NA,9.315,12.027,11.899,NA,43.321,NA,NA,-9.969,11.064,8.007,22.232,15.315,17.212,7.213,3.968,2.867,-299.137,NA,25.579,NA,-10.042,NA,8.285,NA,7.313,NA,2.904,13.791,NA,NA,10.5,16.009,NA,22.939,NA,NA,NA,NA,NA,NA,-3.484,29.655,NA,NA,NA,34.881,NA,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
