SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Ops. to Curr. Liab. (x),274482,1.34,1.16,1.27,NA,NA,NA,0.43,1.21,1.83,NA,1.03,0.14,NM,NA,NA,NA,NA,1.51,0.01,NA,NA,1.39,0.39,0.27,NA,0.51,0.64,NA,NA,0.61,NM,NA,NA,0.63,1.65,NA,NA,NA,0.06,NA,NA,0.38,0.77,0.82,1.28,1.48,0.73,0.57,NA,0.10,0.61,0.55,NA,NA,2.19,NA,NA,0.48,0.63,0.61,NA,NA,0.53,0.41,1.86,NM,0.27,NA,NA,NA,NA,1.90,0.17,NM,2.47,0.33,0.36,NA,NA,NM,0.14,NM,NM,NA,0.57,NA,1.87,NA,3.13,0.60,0.47,0.96,3.29,0.11,0.37,0.89,NA,2.01,NA,0.54,NA,0.77,1.45,NA,NM,1.12,1.16,NA,0.65,0.00,0.60,NA,1.46,NA,NM,NM,0.18,0.39,NM,0.23,NM,0.50,0.54,0.20,0.49,NA,0.71,NA,NA,NA,NM,NM,0.21,0.25,0.22,1.18,NA,NA,0.22,1.92,NA,0.99,NA,NA,NA,NA,NA,NA,0.82,1.02,NA,NA,NA,2.92,NA,5.04
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profitability (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Assets,274473,10.77,2.83,3.82,NA,NA,1.03,16.53,4.34,1.552,NA,2.977,3.934,2.282,NA,NA,NA,NA,2.55,-3.996,NA,NA,4.441,0.455,2.328,NA,3.858,6.05,0.569,NA,4.495,0.227,NA,NA,3.736,7.314,NA,NA,NA,2.59,NA,NA,2.514,7.882,2.862,5.192,3.043,2.584,2.738,NA,-0.415,5.652,3.481,NA,NA,2.957,NA,NA,2.224,2.017,4.671,NA,NA,2.011,8.184,1.632,-0.386,6.675,NA,NA,NA,NA,4.23,2.378,3.765,6.584,4.314,3.368,NA,NA,11.596,10.011,0.554,4.127,NA,7.97,NA,11.796,NA,2.952,1.765,9.404,13.713,4.389,0.916,3.464,6.367,NA,5.667,NA,7.292,NA,9.203,6.873,NA,1.487,3.862,9.751,NA,13.159,-0.342,4.882,NA,8.054,NA,1.535,-6.956,0.029,5.682,-11.686,3.244,-11.074,-0.121,1.461,4.36,3.018,NA,4.494,NA,3.692,0.867,0.26,0.681,3.4,1.184,3.199,10.409,NA,NA,3.969,1.256,NA,6.754,NA,NA,NA,NA,NA,NA,0.786,5.231,NA,0.699,NA,8.985,NA,-0.012
Return on Capital,274474,15.01,3.87,4.79,NA,NA,NA,23.76,6.84,1.604,NA,4.247,8.617,2.999,NA,NA,NA,NA,2.665,-30.287,NA,NA,4.986,0.719,3.508,NA,4.914,14.973,NA,NA,5.491,0.407,NA,NA,5.111,9.738,NA,NA,NA,NA,NA,NA,3.782,10.991,4.08,6.878,4.636,3.623,3.781,NA,-0.425,7.07,5.925,NA,NA,3.12,NA,NA,2.95,2.541,6.977,NA,NA,2.368,10.532,1.696,-0.431,40.07,NA,NA,NA,NA,5.276,NA,5.504,7.907,5.567,4.442,NA,NA,12.518,16.28,0.855,4.191,NA,12.335,NA,13.921,NA,4.051,2.48,18.608,17.824,4.53,NA,5.177,8.962,NA,7.735,NA,11.714,NA,12.939,8.957,NA,2.926,5.548,11.52,NA,20.816,-0.501,8.026,NA,9.882,NA,NA,-7.926,0.046,7.28,-13.497,5.849,-17.609,-0.186,2.223,6.759,9.333,NA,6.366,NA,13.344,NA,0.85,NA,5.374,NA,4.892,14.669,NA,NA,8.755,6.096,NA,9.847,NA,NA,NA,NA,NA,NA,0.901,7.936,NA,NA,NA,10.082,NA,-0.012
Return on Equity,274475,50.19,10.60,10.60,NA,NA,13.62,(84.09),17.36,2.573,NA,10.858,13.884,93.032,NA,NA,NA,NA,5.811,-60.918,NA,NA,-15.064,-1.021,9.487,NA,49.618,20.376,6.569,NA,10.528,-1.269,NA,NA,13.669,23.656,NA,NA,NA,31.002,NA,NA,1.52,25.29,10.512,15.796,10.204,7.038,7.274,NA,-12.73,32.176,6.505,NA,NA,7.927,NA,NA,29.867,4.558,15.825,NA,NA,3.313,32.014,-0.837,17.531,-215.17,NA,NA,NA,NA,16.222,12.708,10.096,15.951,7.668,9.102,NA,NA,36.865,164.613,0.129,22.388,NA,25.774,NA,-78.621,NA,15.624,-4.042,-105.98,-209.15,11.348,37.713,8.174,33.471,NA,15.274,NA,39.09,NA,66.207,21.813,NA,4.454,12.821,29.309,NA,78.495,-2.141,22.164,NA,15.01,NA,7.685,-59.933,1.064,16.362,113.174,-4.718,-44.83,-2.974,3.106,-0.57,17.38,NA,13.812,NA,17.932,8.456,16.254,8.985,11.209,14.53,6.582,34.907,NA,NA,21.359,8.618,NA,27.58,NA,NA,NA,NA,NA,NA,2.102,13.447,NA,7.513,NA,13.533,NA,1.128
Return on Common Equity,274476,50.31,10.60,10.60,NA,NA,13.62,(86.37),17.56,1.954,NA,10.858,14.019,92.69,NA,NA,NA,NA,8.412,-61.508,NA,NA,-15.064,-1.021,9.896,NA,49.92,20.376,6.525,NA,10.62,-1.27,NA,NA,16.032,23.682,NA,NA,NA,33.785,NA,NA,5.092,25.29,11.657,15.796,10.204,7.038,7.274,NA,-13.656,32.508,6.111,NA,NA,7.898,NA,NA,29.836,3.646,15.618,NA,NA,3.204,32.861,-0.837,15.378,-215.17,NA,NA,NA,NA,16.222,12.914,10.096,17.095,7.668,9.102,NA,NA,36.865,164.143,0.129,22.388,NA,25.743,NA,-78.621,NA,15.624,-4.042,-103.404,-209.15,11.414,37.903,8.639,33.693,NA,15.22,NA,39.09,NA,69.024,22.044,NA,4.451,12.824,29.309,NA,78.471,-2.141,22.164,NA,15.01,NA,6.93,-62.304,0.891,16.182,113.175,-6.445,-44.83,-2.974,2.795,-0.579,17.38,NA,13.812,NA,18.907,8.799,15.293,9.531,11.209,16.117,11.8,34.907,NA,NA,21.359,8.618,NA,27.281,NA,NA,NA,NA,NA,NA,1.296,13.447,NA,7.25,NA,13.533,NA,1.128
Gross Profit Margin,274477,48.47,61.78,90.53,NA,NA,NA,65.48,57.48,51.364,NA,42.667,10.905,35.824,NA,NA,NA,NA,61.844,NM,NA,NA,71.682,30.986,45.006,NA,26.288,29.277,NA,NA,26.787,34.279,NA,NA,37.488,56.42,NA,NA,NA,94.348,NA,NA,54.782,37.834,50.305,46.203,43.627,40.481,55.18,NA,78.048,59.45,36.451,NA,NA,73.839,NA,NA,12.322,56.182,52.76,NA,NA,53.024,50.895,69.441,51.27,16.741,NA,NA,NA,NA,93.91,75.703,75.885,55.428,57.053,40,10.791,NA,25.576,32.436,42.009,100,NA,18.711,NA,53.611,NA,54.803,23.114,48.822,83.377,94.99,100,27.753,33.864,NA,46.129,NA,20.258,NA,79.951,25.053,NA,28.001,43.813,19.052,NA,28.017,30.372,37.938,NA,70.683,NA,100,994.77,11.819,10.675,-28.584,49.924,-46.347,34.792,18.982,18.719,53.228,NA,56.879,NA,28.882,NA,11.486,97.018,35.593,87.137,22.078,35.157,NA,NA,15.179,27.854,NA,60.898,NA,NA,NA,NA,NA,NA,31.28,57.651,NA,NA,NA,34.123,NA,NA
Net Income Margin,274478,17.13,19.12,38.67,NA,NA,27.03,(16.77),23.57,13.04,NA,15.849,2.296,-9.414,NA,NA,NA,NA,15.198,NM,NA,NA,-8.491,-0.939,7.46,NA,12.789,21.733,21.089,NA,8,-2.447,NA,NA,14.229,27.795,NA,NA,NA,39.257,NA,NA,9.87,11.457,19.402,18.315,15.637,11.096,14.799,NA,-137.054,21.389,5.659,NA,NA,31.577,NA,NA,6.36,19.469,3.671,NA,NA,11.522,12.434,-3.692,90.462,5.135,NA,NA,NA,NA,29.487,19.106,15.514,28.775,14.669,2.659,-4.901,NA,16.661,6.033,0.037,150.508,NA,6.859,NA,32.532,NA,41.502,-1.915,10.974,42.874,50.967,41.483,1.951,11.263,NA,22.706,NA,10.855,NA,26.245,10.819,NA,3.482,19.337,5.328,NA,8.455,-9.208,21.01,NA,21.044,NA,16.25,3997.732,1.79,3.374,-155.802,-4.703,-64.529,-7.576,2.309,-0.024,20.916,NA,23.658,NA,10.798,24.414,-3.176,28.513,10.056,32.058,0.94,10.579,NA,NA,3.385,7.713,NA,13.813,NA,NA,NA,NA,NA,NA,1.101,21.13,NA,17.333,NA,13.412,NA,NA
Earnings from Cont Ops Margin,274479,17.17,19.12,38.67,NA,NA,27.03,(16.84),23.70,13.04,NA,15.849,2.301,-9.414,NA,NA,NA,NA,17.466,NM,NA,NA,-8.491,-1.408,12.269,NA,12.759,21.733,21.296,NA,8.012,-2.447,NA,NA,14.229,27.795,NA,NA,NA,39.257,NA,NA,3.105,11.457,18.36,18.315,15.637,11.096,14.799,NA,-137.054,21.464,6.427,NA,NA,31.635,NA,NA,6.373,7.415,3.725,NA,NA,12.005,12.383,-3.692,106.191,5.135,NA,NA,NA,NA,29.487,19.045,15.514,28.836,14.669,2.659,-4.901,NA,16.661,6.033,0.037,150.508,NA,6.883,NA,32.532,NA,41.502,-1.915,11.028,42.874,51.046,41.483,2.014,11.263,NA,22.706,NA,10.855,NA,26.245,10.819,NA,3.482,19.337,5.328,NA,8.46,-9.208,21.01,NA,21.044,NA,18.299,NM,1.254,3.436,-155.803,-4.703,-64.529,-7.576,2.662,-0.024,20.916,NA,23.658,NA,11.388,24.596,-3.296,28.513,10.056,32.058,0.511,10.579,NA,NA,3.385,7.713,NA,14.279,NA,NA,NA,NA,NA,NA,1.8,21.13,NA,18.33,NA,13.412,NA,NA
EBIT Margin,274481,23.34,28.54,53.14,NA,NA,NA,56.39,33.78,19.03,NA,21.286,3.384,3.623,NA,NA,NA,NA,33.771,NM,NA,NA,13.202,3.286,18.619,NA,14.802,28.154,NA,NA,15.726,1.786,NA,NA,14.395,43.278,NA,NA,NA,NA,NA,NA,29.027,16.321,27.377,27.505,22.208,19.039,22.41,NA,-18.443,19.133,19.982,NA,NA,37.768,NA,NA,6.28,11.795,6.379,NA,NA,18.569,19.278,23.336,-9.141,6.352,NA,NA,NA,NA,57.051,NA,20.911,41.237,28.113,4.411,-3.192,NA,14.758,9.265,0.896,82.671,NA,9.567,NA,43.82,NA,32.635,3.564,20.878,53.516,66.241,NA,8.622,13.672,NA,34.437,NA,14.169,NA,36.668,13.55,NA,12.106,26.369,8.538,NA,12.136,-6.3,24.83,NA,34.259,NA,NA,2690.023,0.129,6.503,-137.873,18.921,-87.953,-1.603,6.226,2.534,32.923,NA,32.047,NA,16.876,NA,1.195,NA,14.689,NA,2.055,13.926,NA,NA,4.615,11.648,NA,25.28,NA,NA,NA,NA,NA,NA,2.375,39.457,NA,NA,NA,27.773,NA,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
