SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Levered Free Cash Flow,272625,"1,828,375","(40,900)","(50,525)",NA,NA,NA,"2,401,750","(700,250)","84,122.75",NA,"85,087.50","1,424.25","1,216,500.00",NA,NA,NA,NA,"297,281.25","2,989,750.00",NA,NA,"32,568.50",NA,"18,875.00",NA,"-17,150.00","788,500.00",NA,NA,"782,637.50","-19,609.88",NA,NA,"611,500.00","249,125.00",NA,NA,NA,NA,NA,NA,"7,259,500.00","271,544.50",NA,"-91,500.00","-5,125.00","-40,919.38","-73,750.00",NA,"56,232.75","171,437.50","-1,526,750.00",NA,NA,"-3,340.88",NA,NA,"-1,142,125.00","453,475.00","25,780.25",NA,NA,"722,798.75","566,464.00","94,536.63","172,196.13","1,504,000.00",NA,NA,NA,NA,"-173,875.00",NA,"-211,625.00","121,300.00","767,000.00","366,625.00",NA,NA,"47,651.75","-470,750.00","989,750.00","18,913.13",NA,"234,394.50",NA,"1,713,075.00",NA,"-389,125.00","46,957.50","670,125.00","273,141.13","37,758.38",NA,NA,"458,875.00",NA,"-28,625.00",NA,"-670,375.00",NA,"3,559,500.00","341,125.00",NA,"-1,648,000.00","-627,125.00","6,917.00",NA,"187,887.50","-112,725.00","-80,837.50",NA,"478,000.00",NA,NA,"-987,711.50","148,375.00","40,125.00","-127,515.88","1,017,125.00","-599,750.00","-170,467.50","-95,082.88","717,212.50","-345,297.38",NA,"-229,375.00",NA,"-7,646,000.00",NA,"961,125.00",NA,"-67,425.00",NA,"126,000.00","162,689.50",NA,NA,"60,625.00","-5,423,562.50",NA,"5,558,250.00",NA,NA,NA,NA,NA,NA,"-22,213.38","-288,000.00",NA,NA,NA,"42,625.00",NA,"-2,802.55"
Cash from Ops. to Curr. Liab. (x),274482,1.27,0.76,0.83,NA,NA,NA,1.12,0.73,0.66,NA,0.35,0.09,2.24,NA,NA,NA,NA,2.32,0.10,NA,NA,1.85,NA,0.46,NA,0.04,0.49,NA,NA,1.14,0.55,NA,0.08,0.82,2.25,NA,NA,NA,0.08,NA,NA,0.15,0.96,NA,0.59,0.60,0.54,0.72,NA,0.23,0.48,0.00,NA,NA,1.44,NA,NA,0.19,0.40,0.04,NA,NA,0.68,0.80,2.20,0.48,0.29,NA,NA,NA,NA,1.51,0.11,0.67,2.18,0.41,0.88,0.31,NA,4.21,0.05,1.00,NM,NA,0.72,NA,1.29,NA,1.33,0.51,0.81,0.92,2.97,0.10,NA,0.68,NA,1.61,NA,0.67,NA,0.84,1.16,NA,0.04,0.63,0.83,NA,0.73,NM,0.04,NA,0.91,NA,NM,NM,0.15,0.25,NM,0.11,NM,0.08,0.61,0.32,NM,NA,0.43,NA,0.07,NA,NM,0.11,0.65,0.11,0.17,1.09,NA,NA,1.25,NM,NA,0.94,NA,NA,NA,NA,NA,NA,0.95,0.47,NA,NA,NA,1.87,NA,5.04
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profitability (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Assets,274473,11.32,1.82,3.46,NA,NA,1.50,14.49,1.93,1.634,NA,2.23,4.76,19.658,NA,NA,NA,NA,2.098,-1.295,NA,NA,3.707,NA,2.13,NA,1.908,12.335,0.77,NA,5.765,2.824,NA,NA,4.644,7.787,NA,NA,NA,2.694,NA,NA,1.107,7.315,NA,3.028,2.897,1.85,1.947,NA,1.12,4.92,1.299,NA,NA,2.982,NA,NA,-2.132,4.219,5.952,NA,NA,1.736,5.72,1.63,0.505,6.318,NA,NA,NA,NA,4.369,2.381,0.428,6.786,4.286,7.576,NA,NA,23.288,7.383,9.378,4.828,NA,8.128,NA,9.72,NA,0.166,3.444,13.914,13.999,4.238,0.836,NA,4.215,NA,6.612,NA,2.291,NA,10.297,8.607,NA,1.731,3.65,9.63,NA,13.954,4.863,1.182,NA,8.477,NA,1.276,-6.258,0.81,5.632,-10.512,2.229,-8.548,3.914,4.305,-0.257,0.076,NA,2.865,NA,5.998,0.672,-9.408,0.938,2.253,1.57,3.64,8.265,NA,NA,2.538,0.607,NA,6.294,NA,NA,NA,NA,NA,NA,0.75,3.368,NA,0.68,NA,8.097,NA,-0.012
Return on Capital,274474,16.13,2.46,4.37,NA,NA,NA,20.98,3.02,1.688,NA,3.18,10.443,26.307,NA,NA,NA,NA,2.196,-11.176,NA,NA,4.189,NA,3.236,NA,2.49,29.687,NA,NA,7.109,5.038,NA,NA,6.476,10.282,NA,NA,NA,NA,NA,NA,1.693,10.149,NA,3.989,4.506,2.594,2.692,NA,1.147,6.214,2.23,NA,NA,3.157,NA,NA,-2.915,5.193,9.16,NA,NA,2.04,7.573,1.701,0.565,41.073,NA,NA,NA,NA,5.473,NA,0.6,8.19,5.557,9.964,NA,NA,25.179,11.592,14.822,4.908,NA,12.326,NA,11.617,NA,0.227,4.878,28.634,18.675,4.37,NA,NA,6.058,NA,8.93,NA,3.717,NA,14.251,11.298,NA,2.676,5.25,11.356,NA,23.131,7.01,1.905,NA,10.395,NA,NA,-7.07,1.239,7.302,-12.133,3.964,-13.798,6.022,6.528,-0.372,0.204,NA,4.026,NA,20.593,NA,-30.628,NA,3.643,NA,5.568,11.658,NA,NA,6.468,2.989,NA,9.064,NA,NA,NA,NA,NA,NA,0.863,5.062,NA,NA,NA,9.162,NA,-0.012
Return on Equity,274475,45.22,5.52,9.93,NA,NA,19.06,246.57,5.24,2.806,NA,5.212,18.983,56.202,NA,NA,NA,NA,1.309,-22.647,NA,NA,8.716,NA,6.501,NA,17.746,40.869,8.764,NA,10.183,7.648,NA,NA,7.664,23.532,NA,NA,NA,30.242,NA,NA,11.957,21.966,NA,7.91,9.22,4.202,5.218,NA,-3.019,10.05,4.973,NA,NA,17.746,NA,NA,-34.902,60.098,-3.482,NA,NA,2.666,14.667,3.503,-0.854,-126.815,NA,NA,NA,NA,17.863,13.022,1.514,14.496,7.265,19.62,NA,NA,50.724,92.099,21.875,21.581,NA,23.267,NA,-67.605,NA,5.554,-25.064,-257.923,-150.602,9.822,31.409,NA,13.281,NA,18.054,NA,12.544,NA,90.325,23.49,NA,4.15,4.868,27.882,NA,76.001,14.162,1.74,NA,15.663,NA,7.48,-63.99,1.194,17.045,69.276,10.861,-38.959,14.537,15.093,-152.071,4.693,NA,8.496,NA,31.593,6.603,227.865,10.39,2.438,18.786,14.75,26.63,NA,NA,14.344,4.977,NA,27.793,NA,NA,NA,NA,NA,NA,0.961,9.31,NA,7.161,NA,13.536,NA,1.126
Return on Common Equity,274476,45.42,5.52,9.93,NA,NA,19.06,257.21,5.28,2.246,NA,5.212,19.134,56.038,NA,NA,NA,NA,0.893,-23.037,NA,NA,8.716,NA,5.84,NA,17.746,40.869,9.021,NA,10.288,7.629,NA,NA,8.519,23.553,NA,NA,NA,33.431,NA,NA,13.255,21.966,NA,7.91,9.22,4.202,5.218,NA,-3.94,9.761,4.387,NA,NA,17.727,NA,NA,-34.951,59.345,-3.674,NA,NA,2.653,14.842,3.503,-0.716,-126.815,NA,NA,NA,NA,17.863,12.985,1.514,15.569,7.266,19.62,NA,NA,50.724,91.738,21.875,21.581,NA,23.352,NA,-67.605,NA,5.554,-25.064,-250.837,-150.602,9.886,31.576,NA,13.368,NA,18.054,NA,12.544,NA,94.751,23.939,NA,4.129,4.87,27.882,NA,76.023,14.162,1.74,NA,15.663,NA,6.082,-63.99,0.831,16.875,69.276,11.512,-38.959,14.537,15.646,-155.211,4.693,NA,8.496,NA,33.53,6.868,223.512,11.291,2.438,20.98,14.751,26.63,NA,NA,14.344,4.977,NA,27.615,NA,NA,NA,NA,NA,NA,0.314,9.31,NA,6.739,NA,13.536,NA,1.126
Gross Profit Margin,274477,50.11,55.58,89.87,NA,NA,NA,62.63,47.01,55.448,NA,35.912,10.796,56.767,NA,NA,NA,NA,60.052,NM,NA,NA,70.286,NA,34.956,NA,18.763,50.371,NA,NA,28.067,30.33,NA,3.865,38,55.965,NA,NA,NA,91.365,NA,NA,51.775,36.988,NA,48.97,48.143,34.956,61.413,NA,81.997,57.001,25.672,NA,NA,72.835,NA,NA,3.374,58.14,49.161,NA,NA,54.222,48.07,69.469,49.946,17.558,NA,NA,NA,NA,93.478,74.94,52.798,53.447,56.841,35.597,13.396,NA,27.293,32.058,38.603,100,NA,19.218,NA,52.32,NA,37.134,24.388,50.638,82.884,96.926,100,NA,33.023,NA,50.291,NA,20.466,NA,81.138,26.286,NA,31.382,42.394,18.42,NA,26.096,46.009,27.518,NA,75.933,NA,100,NM,13.655,10.844,-140.801,54.364,-22.702,51.658,27.981,17.658,52.137,NA,47.759,NA,37.247,NA,-23.327,96.959,36.732,87.535,25.058,35.721,NA,NA,14.205,15.676,NA,57.275,NA,NA,NA,NA,NA,NA,30.559,54.045,NA,NA,NA,32.525,NA,NA
Net Income Margin,274478,16.37,12.13,37.12,NA,NA,32.61,38.06,9.04,15.29,NA,8.388,2.792,-4.079,NA,NA,NA,NA,1.965,NM,NA,NA,4.718,NA,9.737,NA,6.147,38.938,22.31,NA,6.125,7.194,NA,-7.521,7.522,26.903,NA,NA,NA,34.845,NA,NA,19.369,10.228,NA,13.858,15.571,6.316,13.859,NA,-21.922,6.652,4.424,NA,NA,73.235,NA,NA,-7.755,91.75,-0.749,NA,NA,9.462,6.106,15.211,-3.11,4.378,NA,NA,NA,NA,31.677,16.965,3.406,23.897,13.714,3.879,-14.573,NA,15.203,3.182,3.964,126.801,NA,6.911,NA,25.917,NA,20.033,-11.031,18.126,35.211,46.349,35.922,NA,4.723,NA,26.079,NA,3.231,NA,29.85,12.052,NA,5.539,7.341,4.896,NA,9.147,22.748,2.374,NA,22.006,NA,24.164,NM,0.822,3.831,NM,15.868,-45.107,21.242,11.328,-6.975,11.707,NA,15.345,NA,23.937,19.592,-55.018,27.179,2.484,39.361,1.132,8.585,NA,NA,2.07,3.168,NA,13.225,NA,NA,NA,NA,NA,NA,0.268,18.876,NA,16.495,NA,14.154,NA,NA
Earnings from Cont Ops Margin,274479,16.38,12.13,37.12,NA,NA,32.61,38.02,9.12,15.29,NA,8.388,2.803,-4.079,NA,NA,NA,NA,4.132,NM,NA,NA,4.718,NA,6.621,NA,5.895,38.938,22.393,NA,6.122,7.194,NA,-2.194,7.522,26.903,NA,NA,NA,34.845,NA,NA,23.147,10.228,NA,13.858,15.571,6.316,13.859,NA,-21.922,6.938,5.361,NA,NA,73.255,NA,NA,-7.763,94.468,-0.712,NA,NA,9.575,6.164,15.211,-3.739,4.378,NA,NA,NA,NA,31.677,16.929,3.406,23.983,13.714,3.879,-14.573,NA,15.203,3.182,3.964,126.801,NA,6.899,NA,25.917,NA,20.033,-11.031,18.17,35.211,46.378,35.922,NA,4.723,NA,26.079,NA,3.231,NA,29.85,11.948,NA,5.539,7.341,4.896,NA,9.147,22.748,2.374,NA,22.006,NA,29.569,NM,1.309,3.896,NM,15.868,-45.107,21.242,11.491,-6.975,11.707,NA,15.345,NA,20.708,19.723,-55.142,27.179,2.484,39.361,1.104,8.585,NA,NA,2.07,3.168,NA,13.6,NA,NA,NA,NA,NA,NA,0.828,18.876,NA,17.568,NA,14.154,NA,NA
EBIT Margin,274481,24.47,22.17,49.27,NA,NA,NA,53.93,19.03,21.158,NA,17.533,3.666,17.336,NA,NA,NA,NA,29.459,NM,NA,NA,10.39,NA,13.729,NA,8.16,49.369,NA,NA,15.609,10.991,NA,-0.383,16.925,43.681,NA,NA,NA,NA,NA,NA,12.61,14.905,NA,23.689,23.143,13.18,20.924,NA,33.456,16.595,8.233,NA,NA,38.58,NA,NA,-6.253,21.179,6.764,NA,NA,15.961,14.29,23.598,8.596,5.708,NA,NA,NA,NA,58.075,NA,3.406,39.789,27.235,6.718,-13.72,NA,18.627,7.3,9.56,83.841,NA,10.359,NA,37.802,NA,2.443,6.312,26.001,52.443,66.217,NA,NA,9.223,NA,39.137,NA,4.005,NA,41.853,16.883,NA,14.048,24.735,8.298,NA,12.091,32.782,8.381,NA,35.432,NA,NA,NM,3.204,6.883,NM,19.486,-59.613,29.657,16.168,-0.25,1.444,NA,21.552,NA,27.221,NA,-38.532,NA,11.503,NA,2.284,11.14,NA,NA,2.822,3.985,NA,22.259,NA,NA,NA,NA,NA,NA,2.382,32.697,NA,NA,NA,25.642,NA,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
