SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Ops. to Curr. Liab. (x),274482,0.80,1.07,1.38,NA,NA,NA,1.49,1.57,1.74,NA,1.32,NM,NM,NA,NA,NA,NA,0.65,0.02,NA,NA,2.02,0.35,0.52,NA,1.04,0.82,NA,NA,0.55,NM,0.98,0.00,0.56,1.80,NA,NA,NA,NA,NA,NA,0.80,0.77,0.75,1.16,1.18,0.88,1.20,NA,4.02,1.13,0.94,NA,NA,0.87,NA,NA,0.25,NA,NM,0.24,NA,0.37,0.79,NA,0.43,0.24,NA,NA,NA,NA,1.22,0.02,0.22,NA,0.34,NM,0.26,NA,NM,0.27,NM,3.90,NA,0.11,NA,2.26,NA,1.57,0.51,0.56,1.21,0.99,0.06,0.05,0.58,NA,1.44,NA,0.49,NA,0.80,1.38,NA,0.79,0.83,0.09,NA,0.25,NM,1.88,NA,2.40,NA,NM,0.51,0.35,0.43,1.66,0.95,0.10,0.36,NA,0.34,9.95,NA,1.12,NA,0.18,NA,0.04,0.01,0.96,0.01,0.23,0.95,NA,NA,0.13,NM,NA,0.76,NA,NA,NA,NA,NA,NA,0.56,1.48,NA,NA,NA,0.64,NA,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profitability (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Assets,274473,10.50,3.90,4.39,NA,NA,0.84,24.50,4.70,2.129,NA,2.626,2.172,10.974,NA,NA,NA,NA,1.002,0.631,NA,NA,3.934,1.017,2.782,NA,4.888,8.979,0.576,NA,4.768,-0.121,4.977,0.098,5.088,7.296,NA,NA,NA,NA,NA,NA,3.565,7.304,3.032,5.042,3.772,4.076,2.588,NA,4.592,6.488,3.309,NA,NA,3.698,NA,NA,1.339,2.648,-5.124,5.103,NA,3.312,15.945,NA,4.171,5.321,NA,NA,NA,NA,4.346,1.42,3.92,NA,4.565,1.676,3.076,NA,1.397,14.44,-0.317,5.77,NA,6.697,NA,13.814,NA,2.864,5.918,11.346,20.798,4.098,-0.691,3.631,2.786,NA,6.395,NA,6.977,NA,7.135,8.66,NA,2.523,2.529,5.323,NA,2.932,-1.102,3.507,NA,3.405,NA,2.001,10.826,4.15,7.601,12.588,5.168,0.307,1.09,0.918,7.103,1.302,NA,5.433,NA,8.923,1.238,-7.778,2.041,2.981,0.912,4.466,10.536,NA,NA,3.374,0.422,NA,5.245,NA,NA,NA,NA,NA,NA,0.631,3.758,NA,1.109,NA,0.739,NA,NA
Return on Capital,274474,22.06,5.02,5.39,NA,NA,NA,36.97,6.75,2.211,NA,3.73,5.627,15.03,NA,NA,NA,NA,1.049,9.977,NA,NA,4.407,1.469,3.759,NA,5.824,22.654,NA,NA,5.825,-0.208,11.821,1.406,7.239,9.712,NA,NA,NA,NA,NA,NA,4.933,9.14,4.097,6.395,5.6,5.363,3.326,NA,4.787,7.696,4.812,NA,NA,3.932,NA,NA,1.906,3.156,-8.23,8.779,NA,4.002,23.052,NA,4.846,20.4,NA,NA,NA,NA,5.449,NA,5.229,NA,5.678,2.14,5.994,NA,1.471,24.484,-0.517,5.975,NA,10.837,NA,15.542,NA,3.884,8.052,17.68,29.844,4.226,NA,5.876,3.756,NA,8.671,NA,10.278,NA,9.204,11.424,NA,3.795,3.612,6.241,NA,5.096,-1.462,4.782,NA,4.114,NA,NA,14.107,6.483,10.112,16.002,8.166,0.663,1.53,1.273,11.371,3.048,NA,6.947,NA,31.156,NA,-23.782,NA,3.85,NA,6.819,14.691,NA,NA,10.934,1.763,NA,7.218,NA,NA,NA,NA,NA,NA,0.79,5.243,NA,NA,NA,0.826,NA,NA
Return on Equity,274475,74.54,12.03,10.65,NA,NA,10.73,(327.47),20.23,6.713,NA,5.391,6.784,-24.466,NA,NA,NA,NA,-6.027,31.629,NA,NA,6.376,4.914,10.628,NA,14.632,30.215,7.086,NA,6.603,-2.87,25.998,3.986,15.966,22.088,NA,NA,NA,NA,NA,NA,13.138,16.064,11.114,13.538,11.588,10.839,5.461,NA,11.402,12.529,12.56,NA,NA,9.826,NA,NA,21.172,5.538,-139.269,18.401,NA,8.069,265.984,NA,12.658,-280.386,NA,NA,NA,NA,16.74,9.29,9.369,NA,10.527,2.305,72.39,NA,3.81,-49.886,2.651,17.003,NA,21.505,NA,-370.18,NA,11.387,12.639,104.251,-92.895,8.673,-13.752,-5.999,3.117,NA,19.006,NA,27.973,NA,74.572,-41.07,NA,9.892,9.415,12.218,NA,-5.36,-3.239,15.602,NA,5.46,NA,10.623,64.291,12.284,26.197,-322.51,16.952,2.738,0.647,0.414,80.724,8.957,NA,15.227,NA,58.166,13.111,369.833,19.086,4.993,13.156,19.428,14.821,NA,NA,125.346,1.428,NA,19.196,NA,NA,NA,NA,NA,NA,-11.924,9.156,NA,12.261,NA,3.375,NA,NA
Return on Common Equity,274476,74.82,12.03,10.73,NA,NA,11.86,(321.11),20.40,6.708,NA,5.391,6.859,-24.452,NA,NA,NA,NA,-12.611,30.11,NA,NA,6.376,4.914,10.628,NA,14.755,30.215,7.039,NA,6.603,-2.872,26.678,4.457,15.186,22.097,NA,NA,NA,NA,NA,NA,15.04,16.064,11.194,13.538,11.588,10.839,5.461,NA,10.396,12.762,12.56,NA,NA,9.694,NA,NA,21.175,5.543,-121.332,18.107,NA,7.916,288.123,NA,12.898,-280.386,NA,NA,NA,NA,16.74,8.638,9.369,NA,10.527,2.305,79.666,NA,3.81,-49.768,2.651,17.003,NA,21.211,NA,-370.18,NA,11.387,12.639,104.68,-92.895,8.866,-13.752,-9.329,3.117,NA,19.006,NA,27.973,NA,77.07,-41.414,NA,9.93,9.415,12.218,NA,-5.414,-3.239,15.602,NA,5.46,NA,11.187,65.417,12.09,26.197,-397.586,18.13,2.738,0.647,0.704,81.504,8.957,NA,15.227,NA,62.573,13.793,375.46,21.353,4.993,14.098,19.293,14.821,NA,NA,125.346,1.428,NA,19.029,NA,NA,NA,NA,NA,NA,-13.07,10.16,NA,12.985,NA,3.375,NA,NA
Gross Profit Margin,274477,41.81,66.00,91.06,NA,NA,NA,72.56,54.00,56.174,NA,35.076,10.831,43.478,NA,NA,NA,NA,52.12,74.447,NA,NA,68.254,41.021,51.66,NA,29.912,39.05,NA,NA,25.002,27.354,22.709,13.718,37.073,46.892,NA,NA,NA,NA,NA,NA,50.21,40.324,51.288,47.844,45.766,45.424,53.756,NA,92.18,57.072,42.371,NA,NA,74.598,NA,NA,8.531,63.207,49.01,38.674,NA,72.272,61.369,NA,68.153,20.464,NA,NA,NA,NA,92.07,83.731,46.528,NA,54.343,42.399,20.62,NA,21.711,33.694,41.587,100,NA,13.556,NA,57.997,NA,51.155,27.368,51.712,83.297,79.022,100,25.146,34.109,NA,47.792,NA,21.366,NA,70.311,29.024,NA,39.488,34.311,22.648,NA,21.49,13.728,32.132,NA,67.356,NA,100,52.539,20.375,11.994,50.526,50.279,21.24,44.308,44.003,18.272,53.133,NA,53.637,NA,37.282,NA,-10.206,97.571,38.961,83.072,22.852,34.385,NA,NA,16.379,22.469,NA,60.539,NA,NA,NA,NA,NA,NA,32.197,49.26,NA,NA,NA,11.881,NA,NA
Net Income Margin,274478,12.80,26.93,32.06,NA,NA,20.12,45.23,24.62,27.967,NA,7.68,1.416,6.584,NA,NA,NA,NA,-18.169,26.493,NA,NA,4.218,12.191,14.738,NA,5.578,30.113,18.915,NA,5.107,-6.248,14.155,2.778,10.488,19.348,NA,NA,NA,NA,NA,NA,22.222,14.534,16.635,18.405,16.835,17.51,11.487,NA,35.964,10.37,13.05,NA,NA,35.919,NA,NA,4.842,5.355,-14.755,8.672,NA,31.64,16.807,NA,30.625,5.477,NA,NA,NA,NA,29.295,12.335,13.773,NA,15.374,0.593,5.743,NA,4.968,8.404,0.571,88.443,NA,4.05,NA,32.184,NA,29.929,6.147,18.677,41.01,36.546,1228.571,-2.778,1.163,NA,22.913,NA,10.554,NA,20.778,-18.405,NA,14.608,12.163,3.618,NA,-0.849,-18.107,18.719,NA,15.159,NA,23.493,30.648,8.533,5.364,-90.104,16.707,0.777,1.742,85.348,2.046,14.365,NA,23.887,NA,21.71,28.4,-22.935,38.435,6.057,27.605,1.837,4.729,NA,NA,2.798,1.175,NA,14.636,NA,NA,NA,NA,NA,NA,-14.097,20.175,NA,26.928,NA,4.659,NA,NA
Earnings from Cont Ops Margin,274479,12.91,26.93,36.83,NA,NA,20.12,45.23,24.65,27.967,NA,7.68,1.417,6.584,NA,NA,NA,NA,-15.675,26.604,NA,NA,4.218,12.191,14.738,NA,5.739,30.113,19.112,NA,5.107,-6.248,14.14,2.643,11.463,19.348,NA,NA,NA,NA,NA,NA,22.708,14.596,17.022,18.405,16.835,17.51,11.487,NA,35.964,10.454,13.05,NA,NA,37.05,NA,NA,4.844,11.391,-14.818,9.022,NA,23.574,16.858,NA,30.597,5.477,NA,NA,NA,NA,29.295,11.844,13.773,NA,15.374,0.593,5.743,NA,4.968,8.404,0.571,88.443,NA,4.197,NA,32.184,NA,29.929,6.147,18.744,41.01,36.119,NM,-2.485,1.163,NA,22.913,NA,10.554,NA,20.778,-18.443,NA,14.608,12.163,3.618,NA,-0.843,-18.107,18.719,NA,15.159,NA,24.263,30.726,8.924,5.364,-88.221,16.707,0.777,1.742,1.317,2.046,14.365,NA,23.887,NA,21.698,28.636,-22.944,38.435,6.057,27.605,1.834,4.729,NA,NA,2.798,1.175,NA,14.949,NA,NA,NA,NA,NA,NA,-13.073,20.84,NA,27.025,NA,4.659,NA,NA
EBIT Margin,274481,24.37,41.17,53.93,NA,NA,NA,62.83,34.00,24.485,NA,16.866,2.748,13.54,NA,NA,NA,NA,14.319,34.015,NA,NA,9.255,10.214,24.95,NA,21.23,38.272,NA,NA,14.02,-1.111,16.53,3.068,14.561,35.071,NA,NA,NA,NA,NA,NA,34.504,18.69,27.125,27.26,24.597,26.151,20.029,NA,55.086,19.95,22.177,NA,NA,44.628,NA,NA,3.146,15.539,-5.331,14.213,NA,31.84,24.584,NA,44.876,6.008,NA,NA,NA,NA,55.286,NA,19.907,NA,23.107,2.642,3.339,NA,5.668,12.841,-0.428,87.239,NA,6.356,NA,46.906,NA,28.863,10.62,26.554,56.425,49.101,NA,8.48,7.032,NA,36.578,NA,13.221,NA,31.295,18.07,NA,22.112,17.274,6.795,NA,3.369,-21.893,19.758,NA,20.93,NA,NA,33.139,12.399,8.097,33.133,32.23,0.504,13.362,13.056,3.745,16.816,NA,32.573,NA,24.439,NA,-20.4,NA,14.946,NA,3.024,13.613,NA,NA,3.951,3.158,NA,23.932,NA,NA,NA,NA,NA,NA,3.747,33.827,NA,NA,NA,2.854,NA,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
