SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Levered Free Cash Flow,272625,"1,250,750","(12,813)","232,738",NA,NA,NA,"4,887,250","(598,750)","82,887.00",NA,"20,675.00","412,968.13","824,250.00",NA,NA,NA,NA,"237,410.88","20,410,625.00",NA,NA,"31,566.25","-229,125.00","-1,875,625.00",NA,"-16,450.00","21,375.00",NA,NA,"338,612.50","31,975.25","1,818,125.00","1,603,375.00","464,375.00","374,000.00",NA,NA,NA,NA,NA,NA,"-2,620,625.00","688,725.25","-119,625.00","-591,250.00","131,375.00","14,968.75","96,375.00",NA,"87,310.88","199,537.50","-363,375.00",NA,NA,"257,136.63",NA,NA,"-1,104,500.00","410,600.00","64,765.38","1,060,500.00",NA,"192,502.00","232,250.00",NA,"2,204.63","1,409,625.00",NA,NA,NA,NA,"-41,250.00",NA,"-68,250.00",NA,"690,125.00","647,625.00","379,625.00",NA,"80,479.38","148,625.00","447,375.00","65,947.63",NA,"385,199.88",NA,"-265,500.00",NA,"-327,625.00","125,462.75","949,625.00","345,619.25","49,577.38",NA,"-40,500.00","151,625.00",NA,"147,500.00",NA,"2,375,125.00",NA,"1,764,250.00",NA,NA,"-147,875.00","-474,750.00","55,783.13",NA,"201,125.00","-108,187.50","-377,262.50",NA,"-128,250.00",NA,NA,"812,750.00","476,125.00","12,250.00","-166,121.75","-406,750.00","111,750.00","-64,815.00","-62,550.00","1,354,116.00",NA,NA,"-159,375.00",NA,"3,606,875.00",NA,"-2,607,125.00",NA,"-196,937.50",NA,"1,246,375.00","181,012.50",NA,NA,"64,125.00","283,437.50",NA,"6,956,250.00",NA,NA,NA,NA,NA,NA,NA,"-1,650,500.00",NA,NA,NA,"92,750.00",NA,"-2,720.68"
Cash from Ops. to Curr. Liab. (x),274482,0.65,0.65,0.97,NA,NA,NA,1.52,0.96,0.81,NA,0.41,0.10,2.87,NA,NA,NA,NA,0.72,NM,NA,NA,1.03,0.67,0.88,NA,0.72,0.53,NA,NA,0.60,0.75,NM,0.21,0.51,1.70,NA,NA,NA,0.07,NA,NA,0.28,NM,0.70,0.39,1.09,1.00,0.87,NA,0.91,0.72,0.59,NA,NA,0.65,NA,NA,0.11,0.90,0.37,0.38,NA,0.57,0.74,NA,1.23,0.23,NA,NA,NA,NA,1.83,0.18,2.11,NA,0.42,1.21,0.13,NA,1.83,0.29,1.01,5.04,NA,0.63,NA,2.73,NA,3.02,0.60,0.85,1.09,2.98,0.01,NM,0.25,NA,1.07,NA,0.73,NA,0.77,NA,NA,0.50,0.60,1.16,NA,0.36,0.46,0.55,NA,2.27,NA,NM,0.60,0.12,0.22,NM,0.74,0.16,0.83,0.44,0.70,NM,NA,0.74,NA,0.09,NA,NM,NM,0.22,0.22,0.48,0.98,NA,NA,0.09,1.70,NA,0.64,NA,NA,NA,NA,NA,NA,NA,0.46,NA,NA,NA,0.89,NA,NM
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profitability (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Assets,274473,6.55,2.52,3.17,NA,NA,NA,45.72,1.89,2.03,NA,3.11,3.166,32.505,NA,NA,NA,NA,2.308,2.539,NA,NA,4.434,4.206,2.752,NA,3.945,3.346,0.483,NA,4.792,2.49,4.312,1.399,3.336,7.31,NA,NA,NA,3.451,NA,NA,2.156,6.88,2.884,3.68,2.403,3.949,3.605,NA,4.056,5.833,2.546,NA,NA,3.552,NA,NA,1.642,3.09,6.373,6.759,NA,2.587,4.034,NA,6.583,7.221,NA,NA,NA,NA,4.125,1.371,3.098,NA,4.088,5.072,0.162,NA,3.064,9.897,11.671,6.087,NA,3.983,NA,12.932,NA,0.164,6.176,14.376,18.285,4.685,0.182,1.424,2.656,NA,5.86,NA,8.628,NA,8.545,NA,NA,2.105,1.921,3.222,NA,3.375,2.816,1.665,NA,7.685,NA,2.644,4.269,3.502,4.101,2.181,2.543,1.902,4.138,3.229,11.505,NA,NA,2.574,NA,5.68,1.097,-6.206,1.556,0.861,0.966,6.589,6.166,NA,NA,0.764,1.974,NA,5.122,NA,NA,NA,NA,NA,NA,NA,2.531,NA,1.093,NA,2.289,NA,-0.016
Return on Capital,274474,14.63,3.29,4.01,NA,NA,NA,71.29,2.72,2.121,NA,4.47,7.293,46.203,NA,NA,NA,NA,2.416,42.491,NA,NA,5.059,6.023,3.841,NA,4.73,8.342,NA,NA,5.847,4.357,10.262,18.632,4.798,9.841,NA,NA,NA,NA,NA,NA,3.035,8.75,3.923,4.733,3.649,5.29,4.69,NA,4.215,6.876,3.715,NA,NA,3.761,NA,NA,2.296,3.723,10.559,12.14,NA,3.086,5.53,NA,7.692,29.642,NA,NA,NA,NA,5.192,NA,4.169,NA,5.145,6.481,0.325,NA,3.286,16.634,19.36,6.33,NA,6.319,NA,14.928,NA,0.22,8.691,25.306,26.201,4.836,NA,2.478,3.686,NA,7.981,NA,12.663,NA,12.011,NA,NA,3.192,2.764,3.68,NA,5.263,3.78,2.344,NA,9.4,NA,NA,5.52,5.417,5.426,2.623,4.036,3.442,5.803,4.662,18.976,NA,NA,3.363,NA,21.836,NA,-21.188,NA,1.146,NA,10.798,8.445,NA,NA,2.572,8.438,NA,7.155,NA,NA,NA,NA,NA,NA,NA,3.651,NA,NA,NA,2.535,NA,-0.016
Return on Equity,274475,67.82,6.44,8.15,NA,NA,NA,(433.68),6.87,7.404,NA,8.269,6.733,-123.52,NA,NA,NA,NA,-12.004,50.65,NA,NA,13.653,12.469,9.358,NA,26.075,11.68,5.514,NA,-25.583,3.156,25.573,66.408,12.069,23.047,NA,NA,NA,29.479,NA,NA,1.172,15.073,9.686,7.686,7.861,10.193,8.74,NA,-1.417,13.919,9.667,NA,NA,10.29,NA,NA,16.422,7.446,-29.974,34.397,NA,8.409,-8.498,NA,23.516,-266.961,NA,NA,NA,NA,14.879,8.603,6.718,NA,-2.341,19.466,-14.907,NA,10.088,-27.022,-12.52,25.388,NA,11.65,NA,-179.719,NA,6.662,9.852,160,-144.537,13.002,3.599,-3.528,-7.699,NA,20.875,NA,33.664,NA,163.102,NA,NA,8.893,6.251,5.158,NA,3.273,8.921,4.026,NA,12.982,NA,14.933,29.841,9.998,8.635,-40.877,8.791,10.057,12.166,9.478,121.654,NA,NA,6.28,NA,35.825,10.999,112.418,15.399,-0.034,13.476,25.939,22.557,NA,NA,-92.929,12.73,NA,20.637,NA,NA,NA,NA,NA,NA,NA,4.257,NA,11.501,NA,3.298,NA,5.458
Return on Common Equity,274476,68.65,6.44,8.15,NA,NA,NA,(424.96),6.92,7.418,NA,8.269,6.769,-123.454,NA,NA,NA,NA,-22.398,49.294,NA,NA,13.653,12.469,9.358,NA,25.644,11.68,5.347,NA,-25.793,3.158,26.371,69.278,11.382,23.056,NA,NA,NA,31.2,NA,NA,1.875,15.073,9.791,7.686,7.861,10.193,8.74,NA,-2.443,14.342,9.667,NA,NA,11.09,NA,NA,16.368,7.451,-19.315,34.409,NA,8.145,-11.224,NA,24.15,-266.961,NA,NA,NA,NA,14.879,7.975,6.718,NA,-2.341,19.466,-16.334,NA,10.088,-26.969,-12.52,25.388,NA,10.45,NA,-179.719,NA,6.662,9.852,161.373,-144.537,13.32,3.599,-5.755,-7.699,NA,20.846,NA,33.664,NA,175.556,NA,NA,8.914,6.252,5.158,NA,3.222,8.921,4.026,NA,12.982,NA,16.277,30.23,9.776,8.635,-50.232,8.912,10.057,12.166,9.758,123.606,NA,NA,6.28,NA,39.648,12.114,114.265,17.795,-0.034,14.45,25.587,22.557,NA,NA,-92.929,12.73,NA,20.474,NA,NA,NA,NA,NA,NA,NA,5.473,NA,11.812,NA,3.298,NA,5.458
Gross Profit Margin,274477,37.82,61.05,90.66,NA,NA,NA,138.35,45.57,57.547,NA,40.004,11.868,45.913,NA,NA,NA,NA,59.832,50.556,NA,NA,64.134,40.388,43.943,NA,28.789,20.804,NA,NA,27.699,27.142,24.117,44.296,34.019,47.386,NA,NA,NA,94.152,NA,NA,44,39.216,56.494,57.865,47.278,45.281,69.399,NA,91.25,56.672,43.648,NA,NA,72.911,NA,NA,8.255,64.83,56.13,42.771,NA,73.112,57.925,NA,33.714,21.352,NA,NA,NA,NA,93.317,81.471,32.638,NA,55.946,35.191,18.909,NA,23.038,32.4,38.46,100,NA,12.827,NA,57.592,NA,48.119,28.457,51.677,82.305,84.14,100,23.009,34.582,NA,45.007,NA,18.08,NA,72.534,NA,NA,33.087,37.134,22.128,NA,21.555,38.387,35.286,NA,74.34,NA,100,47.101,19.586,11.054,36.655,91.413,22.381,45.836,46.201,18.671,52.418,NA,52.405,NA,30.795,NA,-10.117,97.542,27.357,82.283,25.658,31.794,NA,NA,12.758,33.606,NA,56.52,NA,NA,NA,NA,NA,NA,NA,48.018,NA,NA,NA,17.799,NA,NA
Net Income Margin,274478,12.11,15.82,32.18,NA,NA,NA,59.52,11.06,32.954,NA,11.729,1.362,19.883,NA,NA,NA,NA,-30.499,24.059,NA,NA,9.59,17.196,10.964,NA,11.487,15.957,16.892,NA,-19.522,3.376,15.831,34.881,8.855,20.712,NA,NA,NA,36.295,NA,NA,3.941,74.408,17.371,17.033,15.473,17.653,21.494,NA,-4.837,12.259,11.826,NA,NA,43.068,NA,NA,3.783,19.463,-2.208,13.555,NA,29.339,-3.114,NA,15.893,6.446,NA,NA,NA,NA,27.475,11.866,15.939,NA,-3.538,3.123,-1.169,NA,9.126,5.483,-1.528,124.062,NA,2.196,NA,31.559,NA,23.995,4.865,20.292,41.091,50.425,11.65,-1.622,-2.771,NA,24.239,NA,11.829,NA,22.006,NA,NA,11.28,9.939,1.721,NA,0.595,18.632,7.031,NA,28.666,NA,23.195,14.681,6.854,2.245,-38.442,11.962,3.766,17.493,16.717,2.977,15.419,NA,14.433,NA,11.681,23.928,-25.358,34.528,-0.04,30.411,1.986,8.355,NA,NA,-1.823,10.774,NA,14.027,NA,NA,NA,NA,NA,NA,NA,12.628,NA,26.339,NA,4.742,NA,NA
Earnings from Cont Ops Margin,274479,12.11,15.82,32.18,NA,NA,NA,59.52,11.11,32.954,NA,11.729,1.372,19.883,NA,NA,NA,NA,-28.424,24.095,NA,NA,9.59,17.196,10.964,NA,11.583,15.957,17.094,NA,-19.519,3.376,15.793,35.701,9.712,20.712,NA,NA,NA,36.295,NA,NA,2.471,12.352,17.717,17.033,15.473,17.653,21.494,NA,-4.837,12.216,11.826,NA,NA,39.86,NA,NA,3.798,18.009,-3.269,13.875,NA,25.357,-2.406,NA,16.503,6.446,NA,NA,NA,NA,27.475,11.18,15.939,NA,-3.538,3.123,-1.169,NA,9.126,5.483,-1.528,124.062,NA,2.489,NA,31.559,NA,23.995,4.865,20.325,41.091,49.894,11.65,-1.622,-2.771,NA,24.239,NA,11.829,NA,22.006,NA,NA,11.28,9.939,1.721,NA,0.606,18.632,7.031,NA,28.666,NA,23.334,14.84,7.215,2.245,-38.442,11.962,3.766,17.493,15.701,2.977,15.419,NA,14.433,NA,11.45,23.969,-25.331,34.528,-0.04,30.411,1.994,8.355,NA,NA,-1.823,10.774,NA,14.333,NA,NA,NA,NA,NA,NA,NA,10.462,NA,27.293,NA,4.742,NA,NA
EBIT Margin,274481,17.60,30.36,47.01,NA,NA,NA,124.19,17.79,24.392,NA,20.482,3.712,23.901,NA,NA,NA,NA,28.912,88.06,NA,NA,10.963,23.898,21.088,NA,18.263,19.385,NA,NA,14.109,11.184,16.778,35.476,10.683,35.462,NA,NA,NA,NA,NA,NA,25.647,17.414,30.763,33.578,21.633,27.168,33.333,NA,52.842,19.811,19.905,NA,NA,42.137,NA,NA,3.9,19.855,5.869,17.014,NA,25.933,9.94,NA,24.966,8.011,NA,NA,NA,NA,55.693,NA,22.96,NA,21.327,5.02,0.182,NA,8.34,8.972,9.576,88.558,NA,4.152,NA,45.085,NA,2.335,10.972,27.2,53.389,55.45,NA,3.835,6.208,NA,33.697,NA,15.768,NA,33.261,NA,NA,16.845,16.341,4.679,NA,4.227,22.256,13.359,NA,38.71,NA,NA,16.835,10.614,5.181,11.74,21.758,3.766,27.854,27.966,5.556,29.803,NA,22.68,NA,15.51,NA,-23.947,NA,4.512,NA,3.61,8.383,NA,NA,0.951,15.387,NA,21.989,NA,NA,NA,NA,NA,NA,NA,27.626,NA,NA,NA,8.899,NA,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
