SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Levered Free Cash Flow,272625,"2,534,125","(340,463)","(66,425)",NA,NA,NA,"(3,017,000)","(336,000)","254,844.88",NA,-562.50,"270,929.63","-110,250.00",NA,NA,NA,NA,"346,030.25","954,250.00",NA,NA,"26,781.00","-45,750.00","253,500.00",NA,NA,"443,250.00",NA,NA,"190,150.00","-1,643.75","988,250.00","101,250.00","523,375.00","419,875.00",NA,NA,NA,NA,NA,NA,"929,250.00","195,389.88",NA,"104,250.00","-6,375.00","-209,769.00","-269,375.00",NA,"53,710.63","107,062.50","-417,750.00",NA,NA,"59,993.38",NA,NA,"1,303,125.00",NA,"59,356.13","-87,500.00",NA,NA,"15,500.00",NA,"85,861.13","277,375.00",NA,NA,NA,NA,"-90,500.00",NA,"-172,875.00",NA,"376,625.00","239,250.00","476,875.00",NA,"-77,159.63","2,923,750.00","-172,500.00","-53,821.50",NA,"260,936.88",NA,"1,037,375.00",NA,"-7,000.00","-69,335.38","34,125.00","224,631.25","47,837.63",NA,"65,625.00","78,375.00",NA,"372,000.00",NA,"1,203,375.00",NA,"-14,125.00","-135,000.00",NA,"-1,865,625.00","-389,125.00","113,796.25",NA,"69,187.50","-48,350.00","-3,212.50",NA,"4,500.00",NA,NA,"-968,125.00","3,619,375.00","-41,000.00","109,303.50","-1,437,750.00","-868,625.00","173,268.88",NA,"318,718.00","-78,425.75",NA,"-94,625.00",NA,"1,629,875.00",NA,"-4,260,250.00",NA,"-26,612.50",NA,"637,375.00","183,162.50",NA,NA,"31,000.00","176,787.50",NA,"3,795,375.00",NA,NA,NA,NA,NA,NA,"-702,741.00","-1,235,875.00",NA,NA,NA,"282,125.00",NA,"-2,681.64"
Cash from Ops. to Curr. Liab. (x),274482,0.29,1.06,0.96,NA,NA,NA,NM,0.68,1.88,NA,0.49,0.11,0.11,NA,NA,NA,NA,0.51,0.07,NA,NA,1.21,1.45,0.68,NA,NA,0.61,NA,NA,0.43,1.45,NM,NM,0.46,1.62,NA,NA,NA,0.09,NA,NA,0.30,0.38,NA,1.17,0.63,0.98,0.41,NA,1.41,0.60,0.71,NA,NA,2.40,NA,NA,0.21,NA,0.55,NM,NA,NA,0.41,NA,NM,0.09,NA,NA,NA,NA,1.55,0.00,0.39,NA,0.35,0.50,0.04,NA,NM,0.88,0.16,NM,NA,0.39,NA,1.73,NA,1.64,NM,0.16,1.02,1.65,0.20,0.20,0.04,NA,1.13,NA,0.44,NA,0.02,0.72,NA,0.18,0.28,1.47,NA,0.30,0.57,0.64,NA,2.98,NA,0.15,0.64,0.22,0.50,1.33,0.24,NM,2.35,NA,0.37,NM,NA,1.11,NA,0.14,NA,NM,NM,0.54,0.03,0.36,0.87,NA,NA,0.06,1.63,NA,0.62,NA,NA,NA,NA,NA,NA,0.57,0.74,NA,NA,NA,1.74,NA,0.05
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profitability (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Assets,274473,2.59,3.55,3.96,NA,NA,0.45,22.11,2.61,1.907,NA,2.088,3.069,8.903,NA,NA,NA,NA,2.476,0.068,NA,NA,2.102,1.87,2.839,NA,NA,2.918,0.539,NA,5.549,2.17,5.304,0.211,3.02,8.582,NA,NA,NA,4.013,NA,NA,2.154,7.158,2.42,4.442,2.926,2.807,2.73,NA,3.931,5.782,2.201,NA,NA,3.319,NA,NA,1.804,NA,-4.996,5.565,NA,2.58,8.87,NA,2.264,7.157,NA,NA,NA,NA,4.394,0.998,2.646,NA,4.114,2.762,-0.509,NA,4.754,21.484,1.929,5.993,NA,3.38,NA,14.108,NA,0.794,6.867,12.823,17.619,4.938,0.249,0.51,3.913,NA,6.542,NA,6.582,NA,6.869,10.034,NA,2.461,1.065,7.014,NA,5.307,0.675,1.603,NA,8.017,NA,2.268,7.677,2.824,5.718,15.059,2.798,2.78,1.58,NA,7.685,0.194,NA,3.974,NA,1.266,1.084,-1.733,1.16,2.384,0.726,4.96,12.544,NA,NA,5.214,2.19,NA,4.905,NA,NA,NA,NA,NA,NA,1.14,3.142,NA,1.007,NA,3.695,NA,NA
Return on Capital,274474,5.68,4.59,4.97,NA,NA,NA,37.27,3.75,1.992,NA,2.958,6.697,12.458,NA,NA,NA,NA,2.586,1.198,NA,NA,2.476,2.688,3.93,NA,NA,7.359,NA,NA,6.786,3.773,12.851,3.055,4.246,11.498,NA,NA,NA,NA,NA,NA,3.141,9.451,3.264,5.636,4.408,3.764,3.532,NA,4.065,6.822,3.189,NA,NA,3.506,NA,NA,2.543,NA,-7.543,10.208,NA,3.203,11.957,NA,2.593,27.309,NA,NA,NA,NA,5.497,NA,3.555,NA,5.195,3.467,-1.01,NA,5.136,37.493,3.146,6.218,NA,5.091,NA,16.219,NA,1.066,9.782,22.674,24.247,5.091,NA,0.803,5.413,NA,8.97,NA,9.692,NA,10.065,13.057,NA,3.713,1.54,8.042,NA,8.292,0.933,2.271,NA,9.929,NA,NA,10.172,4.308,7.846,19.747,4.396,5.112,2.186,NA,12.608,0.47,NA,5.111,NA,5.096,NA,-6.78,NA,3.248,NA,8.042,16.983,NA,NA,16.116,9.772,NA,6.742,NA,NA,NA,NA,NA,NA,1.492,4.59,NA,NA,NA,4.094,NA,NA
Return on Equity,274475,108.51,10.38,10.69,NA,NA,6.37,(378.88),8.95,5.632,NA,4.204,7.571,-18.316,NA,NA,NA,NA,5.406,3.213,NA,NA,9.306,3.067,8.962,NA,NA,9.814,6.267,NA,12.699,5.997,27.5,11.274,4.34,30.544,NA,NA,NA,39.639,NA,NA,6.841,18.758,7.342,11.9,8.398,6.811,5.876,NA,7.386,13.845,6.864,NA,NA,7.876,NA,NA,16.954,NA,-75.122,22.318,NA,5.46,50.3,NA,6.265,-189.984,NA,NA,NA,NA,17.296,6.242,4.962,NA,8.345,6.224,-46.329,NA,12.354,-72.631,-2.1,16.124,NA,6.455,NA,-167.505,NA,8.864,13.872,262.924,-154.084,11.047,5.223,-167.832,5.848,NA,23.108,NA,26.364,NA,277.379,19.042,NA,7.421,-2.744,17.759,NA,20.239,0.745,5.566,NA,13.383,NA,13.012,59.65,1.14,55.898,-31.452,10.803,14.21,3.378,NA,72.209,9.185,NA,10.672,NA,7.492,11.431,32.893,12.338,5.745,10.196,-6.665,36.208,NA,NA,197.531,15.064,NA,19.463,NA,NA,NA,NA,NA,NA,-54.68,8.626,NA,10.884,NA,6.886,NA,5.172
Return on Common Equity,274476,109.68,10.38,10.69,NA,NA,6.68,(373.33),8.98,5.596,NA,4.204,7.6,-18.308,NA,NA,NA,NA,7.258,0.864,NA,NA,9.306,3.067,8.962,NA,NA,9.814,6.209,NA,12.799,6.001,28.54,12.936,3.814,30.556,NA,NA,NA,42.34,NA,NA,6.822,18.758,7.41,11.9,8.398,6.811,5.876,NA,6.413,14.164,6.864,NA,NA,7.4,NA,NA,16.946,NA,-74.1,22.513,NA,5.389,51.379,NA,6.41,-189.984,NA,NA,NA,NA,17.296,5.93,4.962,NA,8.345,6.224,-50.422,NA,12.354,-72.44,-2.1,16.124,NA,5.046,NA,-167.505,NA,8.864,13.872,267.876,-154.084,11.307,5.223,631.932,5.848,NA,23.076,NA,26.364,NA,321.103,19.138,NA,7.431,-2.744,17.759,NA,20.234,0.745,5.566,NA,13.383,NA,14.256,61.224,0.743,55.898,-31.453,11.196,14.21,3.378,NA,73.292,9.185,NA,10.672,NA,7.246,12.573,32.905,14.25,5.745,10.741,-6.651,36.208,NA,NA,197.531,15.064,NA,19.287,NA,NA,NA,NA,NA,NA,-55.15,8.626,NA,11.522,NA,6.886,NA,5.172
Gross Profit Margin,274477,42.94,68.59,90.53,NA,NA,NA,69.64,53.45,56.366,NA,34.619,12.28,39.897,NA,NA,NA,NA,60.709,9.653,NA,NA,67.236,46.539,52.178,NA,NA,17.02,NA,NA,26.389,38.111,28.091,24.572,33.528,50.527,NA,NA,NA,95.604,NA,NA,47.705,38.883,49.442,49.825,48.594,42.838,54.934,NA,91.607,55.897,40.291,NA,NA,73.955,NA,NA,9.54,NA,52.637,41.372,NA,74.406,67.025,NA,62.136,23.617,NA,NA,NA,NA,93.333,81.511,58.348,NA,55.38,42.439,15.983,NA,25.238,33.655,39.848,100,NA,14.206,NA,57.288,NA,48.63,28.676,50.951,81.904,83.932,100,20.083,34.727,NA,47.405,NA,21.443,NA,71.1,33.24,NA,37.855,32.774,22.751,NA,22.625,36.479,29.337,NA,73.146,NA,100,49.586,18.153,12.108,43.898,42.368,25.102,27.051,NA,18.219,54.087,NA,54.167,NA,16.679,NA,7.287,96.333,42.045,82.697,21.794,33.58,NA,NA,19.168,35.319,NA,61.974,NA,NA,NA,NA,NA,NA,37.467,51.005,NA,NA,NA,20.835,NA,NA
Net Income Margin,274478,18.31,23.80,36.97,NA,NA,12.73,72.07,15.89,25.628,NA,6.405,1.577,6.35,NA,NA,NA,NA,10.767,2.361,NA,NA,6.362,6.922,11.969,NA,NA,12.264,18.267,NA,8.921,9.099,14.868,10.088,3.199,26.02,NA,NA,NA,40.089,NA,NA,16.15,14.461,12.549,18.007,14.726,13.646,12.664,NA,26.237,11.458,8.357,NA,NA,29.943,NA,NA,3.83,NA,-14.918,8.845,NA,19.013,13.915,NA,7.441,4.742,NA,NA,NA,NA,31.111,9.77,10.233,NA,13.131,1.489,-3.486,NA,9.722,10.711,-0.417,77.703,NA,1.148,NA,31.156,NA,32.055,6.45,16.857,37.68,41.377,15.451,-10.111,2.213,NA,24.212,NA,9.199,NA,19.342,11.414,NA,9.439,-4.634,4.71,NA,3.458,2.529,7.912,NA,27.214,NA,25.568,20.779,0.563,13.845,9.719,13.228,4.99,5.41,NA,2.152,17.027,NA,20.238,NA,2.106,25.408,-8.532,28.401,8.256,24.444,-0.532,10.734,NA,NA,4.894,12.046,NA,14.005,NA,NA,NA,NA,NA,NA,-62.61,18.802,NA,25.24,NA,8.922,NA,NA
Earnings from Cont Ops Margin,274479,19.35,23.80,36.97,NA,NA,12.73,72.07,16.01,25.628,NA,6.405,1.59,6.35,NA,NA,NA,NA,12.88,2.361,NA,NA,6.362,6.922,11.969,NA,NA,12.264,18.528,NA,8.921,9.099,14.776,9.425,3.753,26.02,NA,NA,NA,40.089,NA,NA,13.368,12.653,12.981,18.007,14.726,13.646,12.664,NA,26.237,11.548,8.357,NA,NA,31.989,NA,NA,3.834,NA,-14.94,8.989,NA,15.98,13.915,NA,16.71,4.742,NA,NA,NA,NA,31.111,9.474,10.233,NA,13.131,1.489,-3.486,NA,9.722,10.711,-0.417,77.703,NA,1.478,NA,31.156,NA,32.055,6.45,16.933,37.68,41.021,15.451,-12.465,2.213,NA,24.212,NA,9.199,NA,19.342,10.292,NA,9.439,-4.634,4.71,NA,3.468,2.529,7.912,NA,27.214,NA,25.889,20.876,0.887,13.845,9.719,13.228,4.99,5.41,NA,2.152,17.027,NA,20.238,NA,2.208,25.451,-8.532,28.401,8.256,24.444,-0.529,10.734,NA,NA,4.894,12.046,NA,14.337,NA,NA,NA,NA,NA,NA,-62.49,18.802,NA,25.235,NA,8.922,NA,NA
EBIT Margin,274481,8.17,38.55,52.19,NA,NA,NA,59.37,26.91,23.474,NA,14.678,3.595,12.059,NA,NA,NA,NA,29.658,4.514,NA,NA,5.32,17.084,24.199,NA,NA,15.723,NA,NA,15.389,13.768,20.018,8.955,10.181,39.449,NA,NA,NA,NA,NA,NA,25.014,17.101,24.317,27.739,23.963,20.638,22.368,NA,51.86,19.727,17.105,NA,NA,41.867,NA,NA,4.158,NA,-6.444,14.734,NA,26.838,23.289,NA,31.208,8.195,NA,NA,NA,NA,57.778,NA,17.774,NA,21.953,4.185,-0.54,NA,11.402,15.571,2.424,88.125,NA,3.978,NA,46.656,NA,11.781,11.85,26.027,54.43,57.441,NA,1.385,9.297,NA,36.399,NA,12.302,NA,28.769,21.105,NA,21.199,9.94,8.33,NA,6.025,9.241,10.636,NA,38.157,NA,NA,26.959,9.203,7.455,24.301,21.693,5.412,11.606,NA,3.826,2.463,NA,28.571,NA,3.443,NA,-5.698,NA,15.746,NA,2.942,14.233,NA,NA,6.525,16.868,NA,22.713,NA,NA,NA,NA,NA,NA,6.507,30.627,NA,NA,NA,12.79,NA,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
