SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Levered Free Cash Flow,272625,"267,875","-219,537.50","-392,050",NA,NA,NA,"2,875,250","-574,375","146,594.88",NA,"150,575.00","-207,363.13","-132,625.00",NA,NA,NA,NA,"205,982.63","708,875.00",NA,NA,"31,096.38","1,062,250.00","1,108,125.00",NA,"16,700.00","-59,375.00",NA,NA,"-85,062.50","48,516.25","1,260,125.00","4,393,250.00","215,875.00","851,375.00",NA,NA,NA,NA,NA,NA,"-1,112,875.00","-16,598.50","-1,750,875.00","-307,250.00","161,375.00","40,044.25","-54,625.00",NA,"117,905.38","-444,262.50","-982,125.00",NA,NA,"70,894.63",NA,NA,"-3,941,500.00","215,237.50","-104,075.25",NA,NA,"642,310.38","264,100.00","37,592.00","48,265.88","1,290,125.00",NA,NA,NA,NA,"-104,250.00",NA,"41,500.00","63,025.00","191,750.00","191,750.00","692,625.00",NA,"-156,594.75","3,338,375.00","-171,500.00","42,383.50",NA,"56,392.75",NA,"1,804,725.00",NA,"-480,500.00","135,831.50","227,875.00","154,771.00","-17,063.00",NA,"81,375.00","-167,375.00",NA,"520,500.00",NA,"-93,500.00",NA,"3,583,125.00","36,500.00",NA,"-911,500.00","-52,875.00","-89,448.88",NA,"-148,250.00","31,825.00","-51,550.00",NA,"50,750.00",NA,NA,"-1,582,965.88","900,750.00","204,625.00","-73,571.63","-201,375.00","55,125.00","-38,197.75","-10,398.63","26,413.00","-54,317.25",NA,"-300,875.00",NA,"465,125.00",NA,"-2,612,125.00",NA,"-35,800.00",NA,"961,625.00","-141,461.88",NA,NA,"188,625.00","612,912.50",NA,"-5,508,875.00",NA,NA,NA,NA,NA,NA,"-259,777.63","-531,750.00",NA,NA,NA,"596,500.00",NA,"-12,262.43"
Cash from Ops. to Curr. Liab. (x),274482,0.44,0.31,0.73,NA,NA,NA,1.13,0.49,1.69,NA,1.31,NM,0.37,NA,NA,NA,NA,1.58,NM,NA,NA,1.27,0.97,0.50,NA,1.25,0.22,NA,NA,0.18,0.90,0.84,0.00,0.42,2.02,NA,NA,NA,0.09,NA,NA,0.43,0.04,0.47,0.52,1.13,2.12,0.69,NA,4.82,NM,0.83,NA,NA,1.14,NA,NA,NM,0.34,NM,NA,NA,0.52,0.26,1.17,NM,0.22,NA,NA,NA,NA,0.55,NM,1.31,1.21,0.41,0.38,0.15,NA,NM,0.79,0.36,NM,NA,0.28,NA,2.02,NA,1.40,0.74,0.16,0.84,2.56,NM,0.05,NM,NA,1.26,NA,NM,NA,0.94,0.32,NA,0.42,1.41,NM,NA,NM,1.09,0.05,NA,1.38,NA,1.30,NM,0.05,0.54,NM,0.46,0.43,0.67,0.28,0.06,0.86,NA,0.34,NA,0.03,NA,NM,0.02,0.08,NM,0.59,NM,NA,NA,0.48,1.79,NA,0.59,NA,NA,NA,NA,NA,NA,0.35,0.63,NA,NA,NA,3.89,NA,0.00
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profitability (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Assets,274473,9.19,2.636,4.416,NA,NA,1.43,18.067,2.62,1.634,NA,3.552,6.586,7.618,NA,NA,NA,NA,2.927,2.019,NA,NA,2.851,6.123,3.306,NA,4.76,-2.742,0.738,NA,4.345,7.468,2.302,2.478,4.916,7.866,NA,NA,NA,4.532,NA,NA,2.941,7.355,2.239,3.079,2.299,3.924,1.046,NA,3.518,7.409,2.084,NA,NA,2.765,NA,NA,1.772,3.243,-2.172,NA,NA,2.353,3.068,1.771,0.332,9.558,NA,NA,NA,NA,4.284,2.259,1.277,7.292,3.309,4.546,-1.838,NA,9.907,16.567,3.395,4.611,NA,-0.756,NA,11.329,NA,1.037,3.805,6.313,14.232,3.564,1.285,2.012,4.004,NA,7.167,NA,7.534,NA,6.83,10.23,NA,1.796,2.017,14.386,NA,4.923,8.019,0.775,NA,10.121,NA,7.112,-6.589,2.432,6.068,-8.816,2.462,-1.026,5.045,3.235,7.854,2.539,NA,3.469,NA,2.279,0.666,-0.743,0.832,2.8,1.032,4.668,7.484,NA,NA,16.428,1.254,NA,5.527,NA,NA,NA,NA,NA,NA,-0.316,2.926,NA,0.806,NA,19.155,NA,NA
Return on Capital,274474,12.931,3.496,5.57,NA,NA,NA,27.395,3.964,1.686,NA,5.069,15.314,11.51,NA,NA,NA,NA,3.062,20.982,NA,NA,3.279,9.283,4.878,NA,6.221,-6.263,NA,NA,5.398,13.701,5.76,22.639,7.292,10.544,NA,NA,NA,NA,NA,NA,4.161,10.301,3.165,4.039,3.561,5.455,1.436,NA,3.626,8.954,3.548,NA,NA,2.978,NA,NA,2.442,3.936,-3.423,7.37,NA,2.798,4.158,1.845,0.378,56.226,NA,NA,NA,NA,5.35,NA,1.754,8.882,4.372,5.852,-3.37,NA,10.564,29.07,5.654,4.734,NA,-1.126,NA,13.74,NA,1.41,5.536,12.622,19.112,3.657,NA,3.093,5.918,NA,9.744,NA,11.497,NA,10.1,13.856,NA,2.748,2.872,17.258,NA,7.846,11.02,1.112,NA,12.255,NA,NA,-7.966,3.622,7.939,-11.014,3.958,-1.664,7.204,4.307,12.639,5.91,NA,4.696,NA,6.925,NA,-2.338,NA,4.345,NA,7.518,11.016,NA,NA,39.91,5.908,NA,7.642,NA,NA,NA,NA,NA,NA,-0.367,4.354,NA,NA,NA,21.277,NA,NA
Return on Equity,274475,34.607,7.671,11.439,NA,NA,16.141,-465.597,10.241,4.044,NA,10.234,27.187,-60.971,NA,NA,NA,NA,9.226,43.65,NA,NA,4.372,63.664,21.935,NA,53.922,-8.445,8.628,NA,10.92,21.46,3.837,54.994,19.162,25.742,NA,NA,NA,36.75,NA,NA,9.537,21.236,6.524,8.162,-6.423,11.752,6.84,NA,6.452,23.917,6.602,NA,NA,6.542,NA,NA,-26.628,6.921,-19.086,9.517,NA,3.896,8.128,2.248,0.238,-218.401,NA,NA,NA,NA,16.94,12.25,2.76,15.938,9.27,1.086,-33.832,NA,22.333,986.61,15.761,14.242,NA,-5.531,NA,-83.415,NA,9.716,13.104,-667.912,-175.262,2.194,37.514,-8.684,22.413,NA,20.751,NA,29.146,NA,407.632,28.23,NA,8.202,5.211,57.503,NA,25.259,24.364,1.011,NA,17.749,NA,39.84,-102.894,6.057,20.898,47.647,3.505,-10.676,17.402,11.482,91.78,11.356,NA,9.64,NA,10.774,7.154,32.994,10.747,8.596,13.887,6.092,24.489,NA,NA,74.112,8.726,NA,22.383,NA,NA,NA,NA,NA,NA,-0.991,8.834,NA,8.43,NA,29.366,NA,1.889
Return on Common Equity,274476,34.668,7.671,11.439,NA,NA,18.033,-464.646,10.335,3.91,NA,10.234,27.393,-60.869,NA,NA,NA,NA,16.136,43.044,NA,NA,4.372,63.664,23.299,NA,53.922,-8.445,8.856,NA,11.007,21.47,3.795,57.826,18.796,25.763,NA,NA,NA,38.691,NA,NA,10.378,21.236,7.121,8.162,-6.423,11.752,6.84,NA,5.543,23.918,6.634,NA,NA,6.538,NA,NA,-26.608,6.924,-19.33,9.342,NA,3.855,8.063,2.248,0.234,-218.401,NA,NA,NA,NA,16.94,12.373,2.76,17.076,9.27,1.086,-34.449,NA,22.333,982.784,15.761,14.242,NA,-5.543,NA,-83.415,NA,9.716,13.104,-600,-175.262,2.25,37.631,-11.477,22.413,NA,20.751,NA,29.146,NA,531.674,28.158,NA,8.238,5.212,57.503,NA,25.302,24.364,1.011,NA,17.749,NA,47.252,-102.894,6.063,20.776,47.647,3.304,-10.676,17.402,11.942,93.736,11.356,NA,9.64,NA,11.41,7.44,32.082,12.213,8.596,14.998,5.907,24.489,NA,NA,74.112,8.726,NA,22.132,NA,NA,NA,NA,NA,NA,-1.174,8.834,NA,8.558,NA,29.366,NA,1.889
Gross Profit Margin,274477,45.339,64.387,92.807,NA,NA,NA,68.749,42.889,53.483,NA,41.64,13.307,50.476,NA,NA,NA,NA,63.498,46.295,NA,NA,68.991,27.948,35.831,NA,25.597,-25.78,NA,NA,25.38,28.69,14.953,65.776,34.864,47.876,NA,NA,NA,95.433,NA,NA,46.343,36.23,45.143,45.461,37.835,34.498,35.423,NA,91.109,59.404,39.328,NA,NA,71.779,NA,NA,11.86,57.537,49.039,38.637,NA,55.61,51.707,67.378,50.329,19.879,NA,NA,NA,NA,92.603,78.897,47.119,52.043,53.736,42.552,13.699,NA,29.428,33.29,40.617,100,NA,11.312,NA,53.835,NA,38.806,26.638,45.455,81.646,95.859,100,23.044,31.198,NA,48.645,NA,21.291,NA,78.382,26.641,NA,28.079,42.791,22.005,NA,20.319,38.343,21.852,NA,75.362,NA,100,-8.498,20.081,11.555,-32.214,36.809,18.236,38.399,24.929,18.058,59.149,12.473,48.77,NA,21.385,NA,6.097,96.912,33.655,86.518,22.643,32.217,NA,NA,26.683,27.894,NA,57.233,NA,NA,NA,NA,NA,NA,30.824,49.377,NA,NA,NA,47.076,NA,NA
Net Income Margin,274478,14.713,16.703,38.811,NA,NA,29.977,40.652,14,19.661,NA,13.248,4.02,18.844,NA,NA,NA,NA,21.473,78.817,NA,NA,2.743,36.054,19.218,NA,11.563,-21.839,22.749,NA,8.872,11.605,1.896,47.348,15.788,25.168,NA,NA,NA,45.049,NA,NA,16.616,11.022,12.224,12.62,-9.611,13.561,12.069,NA,26.913,16.271,11.207,NA,NA,29.568,NA,NA,-9.021,11.994,-5.724,8.957,NA,11.35,5.262,9.222,1.009,6.378,NA,NA,NA,NA,29.041,19.465,5.556,24.081,19.006,0.36,-5.168,NA,14.41,9.504,2.117,82.125,NA,-1.79,NA,19.493,NA,23.98,6.389,14.112,40.794,11.727,46.875,-1.822,9.548,NA,24.117,NA,10.856,NA,25.257,12.958,NA,9.141,10.023,8.395,NA,3.899,22.709,1.496,NA,31.884,NA,39.066,-110.188,6.897,4.313,-89.551,4.368,-5.922,16.525,7.589,2.297,22.233,-61.05,17.077,NA,5.35,19.699,-8.713,30.066,8.579,31.838,0.339,7.453,NA,NA,11.987,8.065,NA,13.65,NA,NA,NA,NA,NA,NA,2.973,16.474,NA,20.459,NA,24.775,NA,NA
Earnings from Cont Ops Margin,274479,14.758,16.703,38.811,NA,NA,29.977,40.652,14.056,19.661,NA,13.248,4.033,6.19,NA,NA,NA,NA,23.802,78.916,NA,NA,2.743,36.054,19.218,NA,11.563,-21.839,22.85,NA,8.883,11.605,1.985,48.403,16.386,25.168,NA,NA,NA,45.049,NA,NA,16.172,11.022,11.91,12.62,-9.611,13.561,12.069,NA,26.913,16.344,9.029,NA,NA,29.582,NA,NA,-9.047,11.994,-5.68,9.256,NA,11.577,5.408,9.222,1.033,6.378,NA,NA,NA,NA,29.041,19.374,5.556,24.158,19.006,0.36,-5.168,NA,14.41,9.504,2.117,82.125,NA,-1.789,NA,19.493,NA,23.98,6.389,14.165,40.794,11.513,46.875,-1.822,9.548,NA,24.117,NA,10.856,NA,25.257,13.086,NA,9.141,10.023,8.395,NA,4.133,22.709,1.496,NA,31.884,NA,39.387,-110.188,7.165,4.366,-89.552,4.368,-5.922,16.525,7.673,2.297,22.233,-61.05,17.077,NA,5.269,19.495,-8.877,30.066,8.579,31.838,0.346,7.453,NA,NA,11.987,8.065,NA,14.04,NA,NA,NA,NA,NA,NA,-1.095,16.474,NA,21.161,NA,24.775,NA,NA
EBIT Margin,274481,19.345,30.334,55.669,NA,NA,NA,59.805,20.944,20.561,NA,22.01,5.669,22.925,NA,NA,NA,NA,34.428,101.392,NA,NA,7.484,17.63,17.445,NA,15.737,-27.75,NA,NA,14.653,17.218,7.816,56.534,16.141,37.328,NA,NA,NA,NA,NA,NA,27.553,14.986,21.766,20.812,16.058,19.919,7.053,NA,52.16,24.384,17.665,NA,NA,37.792,NA,NA,5.244,15.423,-3.045,11.766,NA,19.8,10.317,23.982,6.024,8.703,NA,NA,NA,NA,54.247,NA,8.848,39.052,21.897,7.023,-2.212,NA,17.947,13.287,4.995,86.78,NA,-1.1,NA,41.886,NA,10.149,7.166,15.909,51.843,56.146,NA,5.038,9.548,NA,38.285,NA,14.471,NA,35.67,17.732,NA,12.832,16.577,12.052,NA,5.589,30.723,5.392,NA,45.471,NA,NA,-81.116,9.926,7.455,-83.193,18.531,-3.217,24.511,13.28,4.154,31.445,-24.508,24.747,NA,7.263,NA,-2.916,NA,12.335,NA,2.203,9.933,NA,NA,17.57,11.494,NA,24.125,NA,NA,NA,NA,NA,NA,-1.255,26.119,NA,NA,NA,42.802,NA,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
