SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Levered Free Cash Flow,272625,"1,628,375","(53,163)","(220,013)",NA,NA,NA,"2,264,125","(409,750)","145,684.75",NA,"-26,625.00","16,525.00",NA,NA,NA,NA,NA,"195,451.13","-401,750.00",NA,NA,"25,663.00","-1,174,750.00","-2,159,375.00",NA,"-2,562.50","144,000.00",NA,NA,"385,437.50","-7,936.88",NA,NA,"202,125.00","767,000.00",NA,NA,NA,NA,NA,NA,"-2,962,375.00","235,080.13","99,500.00","182,500.00","89,500.00","-15,381.00","-52,625.00",NA,"100,104.13","288,375.00","605,750.00",NA,NA,"106,574.88",NA,NA,"7,437,375.00","225,150.00","-24,472.25",NA,NA,"843,072.50","666,975.00","81,028.13","-64,639.25","1,124,875.00",NA,NA,NA,NA,"-48,500.00",NA,"-76,500.00","185,575.00","564,375.00","499,125.00","449,875.00",NA,"-83,523.75","-1,468,500.00","273,750.00","30,196.00",NA,"65,035.13",NA,"2,900,050.00",NA,"-164,750.00","45,906.38","255,750.00","253,862.00","29,443.13",NA,"458,625.00","343,125.00",NA,"725,750.00",NA,"1,041,750.00",NA,"3,202,250.00","366,500.00",NA,"-52,500.00","41,750.00","35,686.13",NA,"-184,512.50","-87,762.50","-88,287.50",NA,"106,875.00",NA,NA,"-409,884.88","298,875.00","167,125.00","216,260.50","-46,250.00","-1,532,125.00","-89,035.25","-172,082.00","413,421.75","79,668.75",NA,"-113,500.00",NA,"695,625.00",NA,"-344,625.00",NA,"34,962.50",NA,"-350,375.00","72,821.63",NA,NA,"90,500.00","709,850.00",NA,"4,025,875.00",NA,NA,NA,NA,NA,NA,"-55,074.00","-151,125.00",NA,NA,NA,"1,154,125.00",NA,"6,745.16"
Cash from Ops. to Curr. Liab. (x),274482,0.78,1.12,1.27,NA,NA,NA,1.51,1.28,1.80,NA,1.21,0.05,NA,NA,NA,NA,NA,1.54,0.15,NA,NA,1.52,0.50,0.50,NA,0.64,0.71,NA,NA,0.64,0.03,NA,0.06,0.83,2.50,NA,NA,NA,0.08,NA,NA,0.39,0.70,0.86,0.94,1.49,0.59,0.50,NA,3.77,0.85,0.76,NA,NA,1.74,NA,NA,0.32,0.37,NM,NA,NA,0.73,0.18,1.70,0.14,0.16,NA,NA,NA,NA,1.99,0.14,0.83,1.01,0.47,0.65,NM,NA,NM,NM,0.15,NM,NA,0.35,NA,2.06,NA,2.05,0.46,0.44,0.85,3.15,0.26,0.72,0.45,NA,2.02,NA,0.53,NA,0.73,1.11,NA,0.20,1.03,0.67,NA,NM,NM,1.78,NA,1.00,NA,0.11,NM,0.23,0.65,2.72,0.49,NM,0.26,0.15,0.31,2.01,NA,0.80,NA,0.06,NA,NM,0.01,0.54,NM,0.13,0.66,NA,NA,0.45,3.34,NA,1.04,NA,NA,NA,NA,NA,NA,1.40,0.82,NA,NA,NA,1.73,NA,5.04
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profitability (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Assets,274473,9.67,3.22,4.26,NA,NA,1.58,18.54,4.14,1.706,NA,2.523,5.902,9.89,NA,NA,NA,NA,2.774,0.521,NA,NA,2.99,0.806,1.901,NA,5.854,1.653,0.796,NA,5.328,-0.88,NA,NA,4.881,8.69,NA,NA,NA,3.976,NA,NA,2.43,8.911,2.841,4.898,4.426,2.424,2.208,NA,3.281,6.688,1.53,NA,NA,2.922,NA,NA,1.969,3.432,9.988,NA,NA,2.589,9.047,1.671,0.265,10.724,NA,NA,NA,NA,4.32,2.8,3.48,6.887,4.266,0.701,-4.41,NA,16.486,10.595,-1.439,5.053,NA,5.932,NA,13.323,NA,3.06,4.123,10.819,14.379,3.844,0.837,3.657,5.044,NA,7.51,NA,8.344,NA,8.651,10.271,NA,1.596,3.65,10.176,NA,8.419,-0.624,4.296,NA,11.545,NA,1.732,-7.58,2.838,4.948,23.012,4.199,-0.392,-0.411,0.845,2.758,2.069,NA,4.15,NA,0.597,0.804,1.142,1.032,2.712,1.52,4.468,10.704,NA,NA,8.682,1.65,NA,6.658,NA,NA,NA,NA,NA,NA,1.041,2.987,NA,1.108,NA,8.518,NA,-0.012
Return on Capital,274474,13.90,4.29,5.30,NA,NA,NA,26.63,6.27,1.768,NA,3.611,13.399,13.427,NA,NA,NA,NA,2.9,5.236,NA,NA,3.364,1.183,2.778,NA,7.462,3.861,NA,NA,6.596,-1.61,NA,NA,7.194,11.554,NA,NA,NA,NA,NA,NA,3.547,12.655,4.038,6.461,6.898,3.354,3.014,NA,3.385,8.326,2.648,NA,NA,3.122,NA,NA,2.7,4.164,16.068,NA,NA,3.122,12.17,1.742,0.303,89.742,NA,NA,NA,NA,5.387,NA,4.847,9.011,5.568,0.889,-7.594,NA,17.89,17.857,-2.422,5.173,NA,8.87,NA,16.096,NA,4.191,5.862,20.835,18.274,3.948,NA,5.568,7.373,NA,10.225,NA,13.852,NA,12.453,13.808,NA,2.495,5.218,12.281,NA,14.355,-0.881,6.364,NA,14.077,NA,NA,-8.722,4.261,6.471,28.126,6.838,-0.64,-0.6,1.224,3.986,4.899,NA,5.671,NA,2.243,NA,3.549,NA,4.158,NA,7.017,15.953,NA,NA,19.766,8.061,NA,9.126,NA,NA,NA,NA,NA,NA,1.202,4.48,NA,NA,NA,9.772,NA,-0.012
Return on Equity,274475,39.58,11.77,11.16,NA,NA,16.36,"(1,049.18)",17.66,3.042,NA,7.585,22.217,-45.213,NA,NA,NA,NA,7.224,9.542,NA,NA,2.686,1.153,6.766,NA,74.855,5.164,9.234,NA,13.415,-7.205,NA,NA,12.54,29.106,NA,NA,NA,33.018,NA,NA,8.884,27.723,10.128,14.777,14.402,6.713,5.667,NA,4.85,23.432,5.317,NA,NA,8.484,NA,NA,20.389,6.587,29.968,NA,NA,4.593,34.015,2.773,0.228,-121.391,NA,NA,NA,NA,17.449,15.604,8.744,14.995,8.699,-0.992,-53.457,NA,30.676,65.678,-15.94,20.42,NA,20.268,NA,-149.78,NA,15.772,10.68,-416.216,-209.778,7.945,25.413,3.595,18.84,NA,21.358,NA,37.646,NA,220.062,24.652,NA,-16.299,13.644,34.387,NA,40.137,-2.333,16.602,NA,21.536,NA,10.673,-79.409,8.086,16.216,-77.673,-5.237,17.895,-4.504,-1.21,24.592,10.013,NA,12.881,NA,3.002,8.396,3.434,10.626,8.365,20.35,25.488,31.24,NA,NA,39.665,11.913,NA,34.135,NA,NA,NA,NA,NA,NA,1.334,14.497,NA,11.254,NA,18.566,NA,0.761
Return on Common Equity,274476,39.68,11.77,11.16,NA,NA,18.11,"(1,095.08)",17.86,2.838,NA,7.585,22.432,-45.109,NA,NA,NA,NA,11.82,8.984,NA,NA,2.686,1.153,6.681,NA,74.855,5.164,9.488,NA,13.526,-7.218,NA,NA,12.312,29.125,NA,NA,NA,34.701,NA,NA,9.416,27.723,11.78,14.777,14.402,6.713,5.667,NA,3.948,23.475,5.225,NA,NA,8.476,NA,NA,20.568,6.59,29.614,NA,NA,4.492,34.51,2.773,0.441,-121.391,NA,NA,NA,NA,17.449,15.839,8.744,16.253,8.716,-0.992,-53.999,NA,30.676,65.393,-15.94,20.42,NA,20.054,NA,-149.78,NA,15.772,10.68,-395.491,-209.778,7.988,25.516,2.738,18.903,NA,21.33,NA,37.646,NA,238.853,24.979,NA,-16.512,13.646,34.387,NA,40.13,-2.333,16.602,NA,21.536,NA,11.079,-79.409,7.864,16.348,-77.672,-6.424,17.895,-4.504,-1.608,25.206,10.013,NA,12.881,NA,2.882,8.832,2.802,11.842,8.365,22.32,25.138,31.24,NA,NA,39.665,11.913,NA,34.006,NA,NA,NA,NA,NA,NA,1.176,14.497,NA,11.232,NA,18.566,NA,0.761
Gross Profit Margin,274477,45.73,63.64,89.92,NA,NA,NA,66.41,55.84,52.134,NA,38.396,12.638,50.705,NA,NA,NA,NA,63.447,42.533,NA,NA,68.662,34.483,46.427,NA,26.896,12.493,NA,NA,27.368,22.615,41.353,45.843,36.542,53.463,NA,NA,NA,95.332,NA,NA,45.97,37.496,50.712,47.79,47.517,37.332,51.779,NA,90.075,60.013,38.947,NA,NA,72.415,NA,NA,12.045,57.317,52.767,41.045,NA,57.129,50.802,68.849,48.206,22.16,NA,NA,NA,NA,91.176,74.043,54.159,51.559,56.554,39.08,11.029,NA,27.041,32.722,38.614,100,NA,14.432,NA,55.334,NA,55.797,26.946,49.692,82.658,95.658,100,27.512,30.642,NA,51.157,NA,22.179,NA,81.011,27.248,NA,24.941,48.223,19.635,NA,24.108,24.22,33.981,NA,75.376,NA,100,-76.524,19.268,11.496,55.81,37.88,18.636,28.31,16.63,17.951,50.197,NA,48.327,NA,18.886,NA,15.139,96.849,33.907,88.565,22.952,33.897,NA,NA,20.557,31.912,NA,58.9,NA,NA,NA,NA,NA,NA,32.016,49.393,NA,NA,NA,32.239,NA,NA
Net Income Margin,274478,16.04,23.00,38.59,NA,NA,33.91,(49.21),24.57,14.283,NA,10.734,3.407,19.448,NA,NA,NA,NA,16.886,15.253,NA,NA,1.553,1.314,12.464,NA,15.623,8.571,26.328,NA,10.155,-12.091,13.777,25.72,10.263,29.405,NA,NA,NA,42.091,NA,NA,20.592,13.068,20.213,19.026,20.429,10.82,11.462,NA,23.074,16.796,24.738,NA,NA,35.847,NA,NA,5.134,11.706,6.388,11.94,NA,13.474,12.853,11.5,1.849,7.247,NA,NA,NA,NA,30.882,21.248,14.69,20.995,16.308,-0.302,-15.112,NA,13.378,3.102,-2.174,109.348,NA,4.62,NA,34.669,NA,38.613,5.107,14.57,32.852,42.052,35.163,0.631,6.817,NA,26.403,NA,12.19,NA,49.787,11.749,NA,-19.067,22.267,5.414,NA,6.406,-10.401,19.264,NA,33.642,NA,15.165,NM,8.592,3.3,19.642,-4.855,9.532,-10.766,-1.303,0.752,17.82,NA,19.946,NA,4.311,23.211,-0.713,33.392,7.2,40.036,2.123,9.86,NA,NA,6.707,11.065,NA,19.465,NA,NA,NA,NA,NA,NA,1.175,28.138,NA,25.315,NA,20.554,NA,NA
Earnings from Cont Ops Margin,274479,16.07,23.00,38.59,NA,NA,33.91,(49.18),24.62,14.283,NA,10.734,3.413,11.516,NA,NA,NA,NA,19.512,15.333,NA,NA,1.553,1.314,8.576,NA,15.623,8.571,26.47,NA,10.166,-12.091,14.367,28.473,10.622,29.405,NA,NA,NA,42.091,NA,NA,18.923,13.068,18.357,19.026,20.429,10.82,11.462,NA,23.074,16.894,9.397,NA,NA,35.864,NA,NA,5.106,11.729,6.491,12.009,NA,13.87,12.939,11.5,0.966,7.247,NA,NA,NA,NA,30.882,21.176,14.69,21.035,16.277,-0.302,-15.112,NA,13.378,3.102,-2.174,109.348,NA,4.677,NA,34.669,NA,38.613,5.107,14.618,32.852,42.1,35.163,0.684,6.817,NA,26.403,NA,12.19,NA,49.787,11.704,NA,-19.067,22.267,5.414,NA,6.551,-10.401,19.264,NA,33.642,NA,16.009,NM,9.085,3.3,19.642,-4.855,9.532,-10.766,-1.046,0.752,17.82,NA,19.946,NA,1.651,23.113,-0.864,33.392,7.2,40.036,2.126,9.86,NA,NA,6.707,11.065,NA,19.912,NA,NA,NA,NA,NA,NA,1.348,28.138,NA,26.714,NA,20.554,NA,NA
EBIT Margin,274481,20.89,34.42,53.61,NA,NA,NA,56.28,32.83,20.581,NA,17.189,4.753,25.617,NA,NA,NA,NA,34.074,21.107,NA,NA,7.712,5.583,16.009,NA,17.71,11.036,NA,NA,17.065,-6.278,33.069,35.012,16.072,42.315,NA,NA,NA,NA,NA,NA,30.258,17.249,27.176,27.354,28.555,17.018,18.182,NA,55.933,22.34,16.492,NA,NA,37.938,NA,NA,5.532,15.55,10.94,15.168,NA,21.377,18.675,23.55,4.56,9.831,NA,NA,NA,NA,57.059,NA,20.531,38.763,26.431,1.081,-4.455,NA,18.479,9.749,-2.533,83.376,NA,5.88,NA,44.953,NA,30.124,7.914,23.161,55.247,62.842,NA,9.1,10.549,NA,40.743,NA,16.17,NA,39.137,18.527,NA,11.894,26.023,8.798,NA,8.843,-11.293,21.807,NA,49.653,NA,NA,-220.165,11.121,6.436,33.468,22.841,-1.261,-4.903,3.69,2.077,23.452,NA,25.837,NA,2.548,NA,4.425,NA,11.929,NA,2.887,13.072,NA,NA,9.146,15.715,NA,28.425,NA,NA,NA,NA,NA,NA,3.781,27.682,NA,NA,NA,26.098,NA,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
