SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Levered Free Cash Flow,272625,"1,219,125","383,300","(142,800)",NA,NA,NA,"2,947,125","(486,250)","163,683.75",NA,"-151,400.00","150,339.25","316,750.00",NA,NA,NA,NA,"240,953.25","-2,121,000.00",NA,NA,"42,250.75","-532,125.00","-1,083,750.00",NA,"-110,500.00","-348,625.00",NA,NA,"343,625.00","-51,820.13","379,000.00","-3,937,625.00","-272,250.00","878,250.00",NA,NA,NA,NA,NA,NA,"207,500.00","185,333.63","-1,573,125.00","-638,375.00","-98,625.00","-53,131.38","-199,750.00",NA,"107,652.38","123,075.00","-284,125.00",NA,NA,"65,393.38",NA,NA,"-80,000.00","257,525.00","-31,342.13","505,125.00",NA,"254,534.13","236,000.00",NA,"-224,746.00","141,125.00",NA,NA,NA,NA,"-109,125.00",NA,"-148,000.00","114,900.00","716,875.00","-119,375.00",NA,NA,"-136,409.13","1,507,875.00","-29,875.00","21,994.00",NA,"141,659.25",NA,"1,625,475.00",NA,"-49,625.00","-38,040.50","201,375.00","120,620.63","56,416.88",NA,NA,"-142,625.00",NA,"863,125.00",NA,"1,334,250.00",NA,"2,992,125.00","426,250.00",NA,"-1,395,875.00","106,875.00","123,144.88",NA,"55,275.00","-107,275.00",NA,NA,"1,123,250.00",NA,NA,"-75,679.13","31,875.00","86,500.00","342,387.50","-559,000.00","-312,750.00","-167,119.25","-198,434.00","269,494.38","74,292.38",NA,"-221,875.00",NA,"2,165,000.00",NA,"3,025,125.00",NA,"-26,300.00",NA,"1,238,000.00","44,868.25",NA,NA,"142,625.00","644,325.00",NA,"2,159,125.00",NA,NA,NA,NA,NA,NA,"-68,755.75","-36,875.00",NA,NA,NA,"496,500.00",NA,"5,774.53"
Cash from Ops. to Curr. Liab. (x),274482,0.64,1.12,1.09,NA,NA,NA,1.52,0.92,1.59,NA,0.53,0.05,NM,NA,NA,NA,NA,1.91,NM,NA,NA,1.85,NM,0.30,NA,0.36,0.69,NA,NA,0.56,NM,NM,0.23,0.55,2.75,NA,NA,NA,0.07,NA,NA,0.43,0.37,0.27,0.17,0.55,NM,0.20,NA,5.06,0.70,0.41,NA,NA,1.35,NA,NA,0.17,0.51,NM,0.38,NA,0.24,0.19,NA,1.18,0.06,NA,NA,NA,NA,1.67,0.18,0.44,1.63,0.42,0.08,NA,NA,NM,0.44,NM,NM,NA,0.24,NA,2.79,NA,1.83,0.02,0.41,1.21,2.81,0.05,NA,NM,NA,2.02,NA,0.49,NA,0.74,0.92,NA,0.37,0.91,1.43,NA,0.31,NM,NA,NA,3.86,NA,0.48,NM,0.08,0.38,2.31,0.36,0.09,0.02,0.12,0.18,0.97,NA,0.39,NA,0.14,NA,0.14,0.07,0.09,0.08,0.40,0.44,NA,NA,NM,1.63,NA,0.79,NA,NA,NA,NA,NA,NA,0.81,0.50,NA,NA,NA,2.13,NA,5.11
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profitability (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Assets,274473,8.19,3.18,4.14,NA,NA,0.64,22.61,4.31,1.65,NA,2.406,6.238,12.452,NA,NA,NA,NA,2.914,0.61,NA,NA,4.734,0.602,2.584,NA,3.454,-4.905,0.59,NA,4.161,-0.251,-0.071,1.63,2.728,9.508,NA,NA,NA,3.427,NA,NA,2.753,8.8,2.933,4.645,3.102,3.351,3.09,NA,3.61,5.39,2.885,NA,NA,2.99,NA,NA,0.122,3.957,4.443,5.777,NA,3.066,5.779,NA,4.133,8.572,NA,NA,NA,NA,4.507,1.394,2.044,7.783,3.626,6.151,NA,NA,7.996,14.114,6.676,5.256,NA,3.76,NA,14.202,NA,2.339,5.14,12.469,16.151,4.132,0.561,4.567,3.433,NA,8.278,NA,7.206,NA,8.926,10.863,NA,2.054,3.931,7.832,NA,12.306,-0.928,NA,NA,8.726,NA,1.765,2.247,3.141,5.329,30.072,2.647,2.835,-0.101,0.956,6.683,2.564,NA,4.503,NA,-2.09,0.352,-3.822,1.33,-0.934,0.778,4.105,11.833,NA,NA,10.942,2.794,NA,5.382,NA,NA,NA,NA,NA,NA,-1.189,4.026,NA,0.758,NA,6.241,NA,-0.013
Return on Capital,274474,12.16,4.18,5.16,NA,NA,NA,33.77,6.45,1.723,NA,3.439,14.019,17.014,NA,NA,NA,NA,3.05,6.823,NA,NA,5.618,0.877,3.722,NA,4.199,-12.939,NA,NA,5.119,-0.437,-0.198,20.975,4.134,12.786,NA,NA,NA,NA,NA,NA,3.876,12.31,4.11,6.193,4.731,4.689,4.149,NA,3.721,6.337,4.268,NA,NA,3.241,NA,NA,0.174,4.849,6.622,8.65,NA,3.682,7.751,NA,4.756,37.131,NA,NA,NA,NA,5.633,NA,2.846,9.548,4.836,8.222,NA,NA,8.676,24.08,11.884,5.4,NA,5.571,NA,16.91,NA,3.169,7.439,24.242,21.447,4.246,NA,6.962,4.971,NA,11.348,NA,10.765,NA,13.844,14.74,NA,3.237,5.765,9.269,NA,19.672,-1.274,NA,NA,10.508,NA,NA,2.785,4.705,7.028,39.117,4.191,4.767,-0.144,1.276,11.084,7.017,NA,6.066,NA,-7.571,NA,-12.726,NA,-1.398,NA,6.652,17.014,NA,NA,24.578,13.679,NA,7.512,NA,NA,NA,NA,NA,NA,-1.381,5.974,NA,NA,NA,6.902,NA,-0.013
Return on Equity,274475,110.48,9.85,10.81,NA,NA,9.08,(27.01),17.82,3.497,NA,7.618,25.688,-49.458,NA,NA,NA,NA,21.08,20.576,NA,NA,-3.064,-0.545,8.075,NA,37.512,-16.653,7.052,NA,9.944,-4.779,-6.853,94.039,7.684,34.153,NA,NA,NA,28.891,NA,NA,8.806,27.306,10.872,14.363,9.674,10.221,8.862,NA,7.896,17.576,11.211,NA,NA,20.814,NA,NA,-8.618,8.061,6.408,11.482,NA,5.126,16.994,NA,12.314,-212.903,NA,NA,NA,NA,17.018,7.46,4.952,16.225,2.836,19.152,NA,NA,23.17,-866.248,31.069,11.515,NA,7.826,NA,-122.548,NA,11.542,14.09,-271.844,-82.36,9.995,14.237,16.384,1.968,NA,29.276,NA,26.527,NA,-103.822,40.461,NA,7.371,15.991,25.514,NA,72.89,-4.102,NA,NA,14.25,NA,8.733,3.994,7.761,17.354,-222.67,-1.053,10.052,-3.476,-1.274,93.038,14.468,NA,12.902,NA,-14.346,3.83,81.613,19.815,-5.307,10.28,20.694,39.886,NA,NA,38.048,22.23,NA,22.818,NA,NA,NA,NA,NA,NA,-4.553,13.67,NA,7.96,NA,11.453,NA,2.717
Return on Common Equity,274476,110.96,9.85,10.81,NA,NA,10.03,(26.65),18.01,3.512,NA,7.618,25.875,-49.424,NA,NA,NA,NA,32.64,19.394,NA,NA,-3.064,-0.545,8.203,NA,37.512,-16.653,7.075,NA,10.01,-4.789,-6.907,99.155,7.229,34.178,NA,NA,NA,30.072,NA,NA,9.095,27.306,11.574,14.363,9.674,10.221,8.862,NA,6.975,17.525,11.211,NA,NA,20.878,NA,NA,-7.667,8.066,5.92,11.496,NA,5.006,17.343,NA,12.57,-212.903,NA,NA,NA,NA,17.018,7.651,4.952,17.344,2.852,19.152,NA,NA,23.17,-863.05,31.069,11.515,NA,7.788,NA,-122.548,NA,11.542,14.09,-262.28,-82.36,10.218,14.237,18.472,1.968,NA,29.276,NA,26.527,NA,-98.696,40.958,NA,7.398,15.994,25.514,NA,72.94,-4.102,NA,NA,14.25,NA,8.682,3.994,7.89,17.461,-222.67,-1.759,10.052,-3.476,-1.433,95.442,14.468,NA,12.902,NA,-16.19,3.592,80.4,24.886,-5.307,10.916,20.344,39.886,NA,NA,38.048,22.23,NA,22.596,NA,NA,NA,NA,NA,NA,-5.02,13.67,NA,8.416,NA,11.453,NA,2.717
Gross Profit Margin,274477,45.14,63.35,89.56,NA,NA,NA,68.31,49.17,52.433,NA,35.955,12.809,49.911,NA,NA,NA,NA,62.786,1.964,NA,NA,69.469,30.655,45.875,NA,26.782,-38.156,NA,NA,23.928,23.184,6.065,49.9,30.447,50.039,NA,NA,NA,95.399,NA,NA,45.168,35.9,47.348,43.262,33.059,36.057,47.93,NA,90.913,56.401,46.605,NA,NA,74.4,NA,NA,8.646,58.063,50.34,38.746,NA,59.252,48.416,NA,37.496,19.689,NA,NA,NA,NA,92.077,68.151,50.604,49.898,52.568,42.978,12.226,NA,28.691,33.105,43.269,100,NA,13.807,NA,58.686,NA,52.787,27.422,50.147,82.445,96.909,100,25.304,29.529,NA,48.101,NA,20.265,NA,78.902,27.798,NA,34.427,46.789,21.262,NA,24.283,17.159,27.458,NA,73.609,NA,100,35.806,20.571,11.222,52.968,33.64,24.534,26.967,16.9,18.003,50.875,NA,45.504,NA,9.085,NA,-2.344,97.618,12.274,84.503,21.66,34.493,NA,NA,23.368,41.317,NA,57.358,NA,NA,NA,NA,NA,NA,28.953,47.026,NA,NA,NA,25.571,NA,NA
Net Income Margin,274478,44.77,18.39,36.49,NA,NA,16.47,4.14,20.33,15.746,NA,10.429,3.695,5.235,NA,NA,NA,NA,51.452,36.875,NA,NA,-1.787,-1.042,10.615,NA,14.879,-29.504,20.262,NA,7.496,-7.146,-3.107,40.033,5.963,28.524,NA,NA,NA,37.588,NA,NA,19.632,13.252,18.133,16.728,10.868,13.264,16.401,NA,31.386,13.317,13.953,NA,NA,90.728,NA,NA,-2.099,13.043,1.341,10.642,NA,12.709,7.709,NA,16.902,7.66,NA,NA,NA,NA,30.328,13.083,7.402,22.818,4.97,5.283,-16.045,NA,16.522,8.273,4.228,56.245,NA,1.945,NA,33.746,NA,26.132,6.522,11.757,38.633,45.175,29.006,3.499,0.844,NA,28.657,NA,10.2,NA,22.058,18.584,NA,9.084,25.015,5.289,NA,7.919,-14.091,17.576,NA,28.368,NA,18.467,1.101,8.182,3.741,39.504,-1.016,4.453,-7.304,-1.094,1.795,15.215,NA,18.531,NA,-4.989,9.004,-20.525,36.727,-3.886,26.78,1.516,10.784,NA,NA,6.205,17.245,NA,14.31,NA,NA,NA,NA,NA,NA,-1.058,19.861,NA,19.125,NA,13.62,NA,NA
Earnings from Cont Ops Margin,274479,44.82,18.39,36.49,NA,NA,16.52,4.14,20.38,15.746,NA,10.429,3.708,10.529,NA,NA,NA,NA,53.849,37.054,NA,NA,-1.787,-1.042,10.615,NA,14.879,-29.504,20.472,NA,7.513,-7.146,-3.19,42.13,6.479,28.524,NA,NA,NA,37.588,NA,NA,15.796,13.252,17.98,16.728,10.868,13.264,16.401,NA,31.386,13.413,13.953,NA,NA,90.79,NA,NA,-2.361,13.043,1.44,10.774,NA,13.134,7.65,NA,16.835,7.66,NA,NA,NA,NA,30.328,12.978,7.402,22.863,4.942,5.283,-16.045,NA,16.522,8.273,4.228,56.245,NA,1.958,NA,33.746,NA,26.132,6.522,11.799,38.633,44.862,29.006,3.499,0.844,NA,28.657,NA,10.2,NA,22.058,18.545,NA,9.084,25.015,5.289,NA,8.106,-14.091,17.576,NA,28.368,NA,19.386,1.101,8.23,3.741,39.505,-1.016,4.453,-7.304,-1.006,1.795,15.215,NA,18.531,NA,-5.103,9.004,-20.732,36.727,-3.886,26.78,1.522,10.784,NA,NA,6.205,17.245,NA,14.672,NA,NA,NA,NA,NA,NA,-4.869,19.861,NA,18.976,NA,13.62,NA,NA
EBIT Margin,274481,17.44,32.11,52.26,NA,NA,NA,59.07,28.97,20.181,NA,16.031,5.439,24.331,NA,NA,NA,NA,34.548,49.018,NA,NA,12.09,5.208,19.811,NA,16.758,-39.929,NA,NA,12.881,-1.534,-0.215,39.201,9.146,40.334,NA,NA,NA,NA,NA,NA,28.791,17.501,26.09,23.755,16.712,19.096,21.975,NA,51.682,19.521,22.126,NA,NA,40.856,NA,NA,0.307,17.376,5.293,13.265,NA,23.645,13.193,NA,24.579,9.264,NA,NA,NA,NA,58.743,NA,10.574,38.143,20.596,8.413,-2.217,NA,17.5,12.169,8.668,85.054,NA,4.452,NA,47.281,NA,20.47,9.151,24.484,55.376,55.193,NA,10.903,8.881,NA,38.947,NA,13.599,NA,36.602,18.268,NA,17.482,26.667,8.341,NA,10.809,-13.523,15.62,NA,40.791,NA,NA,10.123,11.757,6.639,34.468,15.373,6.768,-1.087,4.42,3.46,24.198,NA,25.987,NA,-6.14,NA,-13.08,NA,-3.232,NA,2.533,14.11,NA,NA,10.798,23.413,NA,23.428,NA,NA,NA,NA,NA,NA,-4.595,28.557,NA,NA,NA,19.288,NA,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
