SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Levered Free Cash Flow,272625,"1,163,250","(159,188)","(208,825)",NA,NA,NA,"(912,375)","(284,000)","183,987.75",NA,"19,050.00","227,657.88",NA,NA,NA,NA,NA,"562,958.38","1,118,125.00",NA,NA,"15,558.00","-1,472,750.00","-1,715,625.00",NA,"170,475.00","603,000.00",NA,NA,"7,700.00","3,201.88",NA,NA,"1,225,500.00","487,000.00",NA,NA,NA,NA,NA,NA,"-836,500.00","188,005.25","-956,250.00","-79,875.00","18,500.00",674.00,"-107,750.00",NA,"75,772.63","227,737.50",NA,NA,NA,"132,973.25",NA,NA,"-5,751,375.00","290,912.50","35,597.50",NA,NA,"524,326.25","-106,612.50","1,071.88","91,960.88","784,125.00",NA,NA,NA,NA,"-77,375.00",NA,"-55,250.00","843,875.00","509,875.00","276,375.00",NA,NA,"-62,770.88","6,123,250.00","452,375.00","11,261.88",NA,"-31,685.25",NA,"982,187.50",NA,"214,375.00","-3,917.88","290,250.00","159,509.13","17,386.00",NA,"252,875.00","23,250.00",NA,"555,375.00",NA,"1,041,875.00",NA,"922,000.00","343,250.00",NA,"-1,986,375.00","82,125.00","-20,294.25",NA,NA,"-33,287.50","-14,787.50",NA,"521,375.00",NA,NA,"-213,931.50","1,252,250.00","39,875.00","57,817.13","-1,860,125.00","1,868,875.00","-109,649.75","-158,239.25","-91,065.75","-8,220.13",NA,"-208,875.00",NA,"1,902,625.00",NA,"-1,355,625.00",NA,"-27,337.50",NA,"473,875.00","164,377.00",NA,NA,"93,500.00","-264,025.00",NA,"5,256,000.00",NA,NA,NA,NA,NA,NA,"-58,699.88","-613,625.00",NA,NA,NA,"714,250.00",NA,"-2,971.52"
Cash from Ops. to Curr. Liab. (x),274482,0.80,0.73,0.85,NA,NA,NA,NM,0.87,2.07,NA,0.20,0.12,NA,NA,NA,NA,NA,2.80,0.05,NA,NA,1.22,1.11,0.72,NA,2.49,0.65,NA,NA,0.31,0.91,NA,NA,0.67,2.39,NA,NA,NA,0.07,NA,NA,0.27,0.55,0.44,0.76,0.85,0.74,0.31,NA,2.78,0.87,NA,NA,NA,2.04,NA,NA,0.04,0.44,0.22,NA,NA,0.47,0.39,2.66,0.02,0.21,NA,NA,NA,NA,1.25,0.07,0.72,0.91,0.34,0.39,NA,NA,NM,1.37,0.13,NM,NA,0.23,NA,1.76,NA,3.20,0.21,0.49,0.95,3.08,0.14,0.21,0.11,NA,1.55,NA,0.48,NA,0.26,1.22,NA,0.01,1.07,0.35,NA,NA,0.59,0.89,NA,0.92,NA,NM,NM,0.15,0.30,0.34,NM,0.64,0.29,0.17,0.00,1.65,NA,0.66,NA,0.07,NA,NM,NM,0.30,0.11,0.32,0.90,NA,NA,NM,4.54,NA,1.07,NA,NA,NA,NA,NA,NA,1.13,0.53,NA,NA,NA,4.44,NA,0.00
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profitability (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Assets,274473,10.74,2.89,4.40,NA,NA,1.99,17.39,2.40,1.724,NA,2.299,5.214,NA,NA,NA,NA,NA,2.83,0.06,NA,NA,3.806,2.17,2.059,NA,12.73,7.63,1.067,NA,6.226,0.532,NA,NA,4.954,8.412,NA,NA,NA,6.041,NA,NA,2.019,9.388,1.973,4.078,3.065,1.922,1.906,NA,2.325,8.048,1.201,NA,NA,2.901,NA,NA,0.492,3.672,3.975,NA,NA,2.465,4.396,1.7,0.471,10.485,NA,NA,NA,NA,4.324,2.438,2.088,7.235,3.97,-0.177,NA,NA,18.98,20.272,-6.009,4.73,NA,4.305,NA,12.447,NA,1.169,5.111,9.65,14.618,3.738,0.879,3.66,5.438,NA,7.771,NA,8.442,NA,8.23,10.57,NA,2.113,2.756,11.733,NA,11.655,0.082,2.398,NA,10.254,NA,1.609,-7.223,2.748,4.806,-3.448,2.185,-1.092,1.086,1.552,2.605,3.322,NA,3.617,NA,3.787,0.881,2.622,0.889,1.74,1.632,4.667,15.39,NA,NA,10.112,1.389,NA,6.128,NA,NA,NA,NA,NA,NA,0.627,3.277,NA,1.381,NA,20.632,NA,NA
Return on Capital,274474,15.42,3.85,5.52,NA,NA,NA,25.21,3.63,1.782,NA,3.29,11.52,NA,NA,NA,NA,NA,2.971,0.615,NA,NA,4.271,3.171,3.004,NA,16.209,17.837,NA,NA,7.7,0.964,NA,NA,7.022,11.138,NA,NA,NA,NA,NA,NA,2.968,13.276,2.797,5.359,4.757,2.661,2.603,NA,2.393,10.121,2.052,NA,NA,3.08,NA,NA,0.676,4.447,6.164,NA,NA,2.95,5.68,1.77,0.528,89.592,NA,NA,NA,NA,5.384,NA,2.914,9.121,5.164,-0.22,NA,NA,20.987,33.788,-9.771,4.837,NA,6.509,NA,14.946,NA,1.602,7.273,18.895,18.689,3.844,NA,5.736,7.822,NA,10.574,NA,14.105,NA,11.458,14.002,NA,3.252,3.958,14.04,NA,20.166,0.118,3.558,NA,12.54,NA,NA,-8.122,4.137,6.176,-4.162,3.632,-1.794,1.596,2.282,3.716,7.757,NA,4.968,NA,14.004,NA,8.447,NA,2.708,NA,7.302,22.831,NA,NA,24.142,6.873,NA,8.373,NA,NA,NA,NA,NA,NA,0.722,4.901,NA,NA,NA,23.476,NA,NA
Return on Equity,274475,43.04,9.70,11.67,NA,NA,22.37,271.51,8.87,3.274,NA,5.908,18.485,NA,NA,NA,NA,NA,7.298,0.793,NA,NA,6.785,10.63,9.098,NA,166.744,24.456,12.197,NA,18.214,1.447,NA,NA,14.132,35.286,NA,NA,NA,53.638,NA,NA,3.991,29.314,5.629,11.153,8.327,4.554,3.856,NA,2.8,25.194,3.79,NA,NA,10.628,NA,NA,6.434,7.988,-0.748,NA,NA,3.975,-2.97,4.881,0.392,-148.961,NA,NA,NA,NA,17.288,13.871,4.352,-34.803,7.418,3.906,NA,NA,37.726,372.595,-68.671,24.193,NA,14.26,NA,-136.117,NA,9.206,14.744,-286.131,-155.804,10.06,27.161,-2.568,20.02,NA,22.624,NA,38.236,NA,104.158,29.348,NA,6.802,9.519,38.099,NA,56.868,-0.393,8.84,NA,19.578,NA,9.89,-63.19,5.958,14.835,29.032,7.815,14.823,1.9,3.514,19.248,11.068,NA,10.86,NA,20.879,9.009,-13.214,8.952,5.398,21.628,34.308,47.21,NA,NA,52.112,6.8,NA,32.201,NA,NA,NA,NA,NA,NA,0.615,11.086,NA,14.143,NA,41.687,NA,1.904
Return on Common Equity,274476,43.22,9.70,11.67,NA,NA,24.11,278.25,8.95,1.624,NA,5.908,18.653,NA,NA,NA,NA,NA,11.932,0.257,NA,NA,6.785,10.63,10.086,NA,166.744,24.456,12.854,NA,18.356,1.443,NA,NA,-12.297,35.308,NA,NA,NA,58.174,NA,NA,4.01,29.314,6.39,11.153,8.327,4.554,3.856,NA,1.894,25.386,3.13,NA,NA,10.619,NA,NA,6.552,7.238,-1.169,NA,NA,3.95,-3.175,4.881,0.528,-148.961,NA,NA,NA,NA,17.288,14.141,4.352,-37.746,7.418,3.906,NA,NA,37.726,371.014,-68.671,24.193,NA,14.225,NA,-136.117,NA,9.206,14.744,-274.473,-155.804,10.115,27.286,-4.622,20.148,NA,22.624,NA,38.236,NA,112.224,29.633,NA,6.808,9.521,38.099,NA,56.917,-0.393,8.84,NA,19.578,NA,9.735,-63.19,5.825,14.406,29.032,8.086,14.823,1.9,3.575,19.741,11.068,NA,10.86,NA,22.081,9.759,-13.517,9.655,5.398,23.583,33.75,47.21,NA,NA,52.112,6.8,NA,32.018,NA,NA,NA,NA,NA,NA,0.36,11.086,NA,13.583,NA,41.687,NA,1.904
Gross Profit Margin,274477,47.27,67.80,92.42,NA,NA,NA,66.48,49.15,54.739,NA,43.589,11.68,NA,NA,NA,NA,NA,64.535,37.493,NA,NA,69.361,36.477,44.546,NA,34.945,39.826,NA,NA,29.677,31.352,17.626,12.775,37.561,56.488,NA,NA,NA,95.79,NA,NA,49.704,38.245,49.566,48.755,46.531,37.604,51.754,NA,88.186,60.884,40.97,NA,NA,72.942,NA,NA,10.706,57.248,53.983,40.796,NA,56.195,57.102,69.593,48.443,21.667,NA,NA,NA,NA,91.228,70.829,52.415,52.595,56.592,36.924,12.292,NA,27.23,34.078,27.073,100,NA,14.645,NA,54.68,NA,50.361,27.147,48.453,82.471,97.038,100,27.609,32.632,NA,53.09,NA,22.325,NA,80.214,27.646,NA,30.681,46.379,20.048,NA,26.553,30.515,33.875,NA,74.478,NA,100,NM,20.309,11.338,19.882,38.959,17.166,38.649,19.655,18.154,51.081,NA,50,NA,28.8,NA,17.208,96.333,37.354,90.336,22.756,35.067,NA,NA,21.455,29.165,NA,57.78,NA,NA,NA,NA,NA,NA,30.123,56.806,NA,NA,NA,49.65,NA,NA
Net Income Margin,274478,17.03,20.03,40.66,NA,NA,39.61,38.28,14.68,16.519,NA,9.793,2.81,NA,NA,NA,NA,NA,17.749,1.851,NA,NA,3.836,10.125,14.409,NA,21.025,30.632,31.949,NA,12.65,2.408,-1.469,-8.218,12.825,39.231,NA,NA,NA,49.303,NA,NA,9.381,13.019,13.286,16.377,14.014,7.825,8.553,NA,14.933,17.42,9.975,NA,NA,45.29,NA,NA,2.097,13.708,-0.29,13.449,NA,12.332,-1.732,20.495,2.279,7.734,NA,NA,NA,NA,29.825,18.21,9.903,-50.5,14.268,1.38,-8.272,NA,14.925,10.358,-11.564,141.335,NA,3.844,NA,37.693,NA,30.447,6.612,14.866,33.205,53.368,36.204,-0.537,7.272,NA,29.26,NA,11.332,NA,24.918,13.31,NA,8.437,17.334,5.783,NA,8.229,-1.471,13.382,NA,29.524,NA,16.914,NM,6.499,2.891,-26.265,11.645,8.683,3.898,3.058,0.582,18.802,NA,18.502,NA,12.85,25.26,3.453,27.943,5.894,35.439,2.686,12.372,NA,NA,8.273,6.111,NA,17.178,NA,NA,NA,NA,NA,NA,0.354,23.779,NA,28.006,NA,32.697,NA,NA
Earnings from Cont Ops Margin,274479,17.04,20.03,40.66,NA,NA,39.57,38.30,14.75,16.519,NA,9.793,2.817,NA,NA,NA,NA,NA,20.17,1.851,NA,NA,3.836,10.125,11.481,NA,21.025,30.632,31.949,NA,12.67,2.408,0.313,-6.455,12.968,39.231,NA,NA,NA,49.303,NA,NA,8.855,13.019,12.122,16.377,14.014,7.825,8.553,NA,14.933,17.485,8.109,NA,NA,45.308,NA,NA,2.067,13.791,-0.186,13.61,NA,12.483,-1.656,20.495,1.702,7.734,NA,NA,NA,NA,29.825,18.163,9.903,-50.434,14.268,1.38,-8.272,NA,14.925,10.358,-11.564,141.335,NA,3.86,NA,37.693,NA,30.447,6.612,14.916,33.205,53.433,36.204,-0.537,7.272,NA,29.26,NA,11.332,NA,24.918,13.31,NA,8.437,17.334,5.783,NA,8.063,-1.471,13.382,NA,29.524,NA,18.168,NM,6.851,3.005,-26.265,11.645,8.683,3.898,3.223,0.582,18.802,NA,18.502,NA,11.347,25.383,3.336,27.943,5.894,35.439,2.689,12.372,NA,NA,8.273,6.111,NA,17.619,NA,NA,NA,NA,NA,NA,0.612,23.779,NA,31.27,NA,32.697,NA,NA
EBIT Margin,274481,22.92,32.97,56.17,NA,NA,NA,57.71,22.70,21.61,NA,18.508,4.021,NA,NA,NA,NA,NA,34.919,3.582,NA,NA,10.066,12.483,17.107,NA,28.46,38.562,NA,NA,18.566,3.692,-7.609,-2.902,16.967,44.849,NA,NA,NA,NA,NA,NA,25.872,17.467,22.543,26.34,23.537,14.855,17.105,NA,46.234,24.781,15.498,NA,NA,38.071,NA,NA,1.876,16.011,5.198,16.291,NA,20.626,13.493,24.145,8.187,9.152,NA,NA,NA,NA,56.14,NA,16.667,39.773,25.478,-0.323,-2.673,NA,18.629,14.493,-11.672,84.398,NA,5.019,NA,43.547,NA,15.729,9.401,21.106,54.909,63.753,NA,9.064,11.628,NA,42.587,NA,15.419,NA,37.551,18.446,NA,16.088,22.034,9.34,NA,10.947,1.225,16.313,NA,43.91,NA,NA,NM,11.058,6.519,-16.283,18.663,-4.017,11.164,6.788,2.039,35.701,NA,25.076,NA,15.72,NA,9.225,NA,9.664,NA,2.893,15.727,NA,NA,11,13,NA,25.222,NA,NA,NA,NA,NA,NA,2.288,33.487,NA,NA,NA,45.547,NA,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
