SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Ops. to Curr. Liab. (x),274482,NM,0.44,1.01,NA,NA,NA,0.12,1.12,1.90,NA,0.10,NM,NM,NA,NA,NA,NA,0.74,0.00,NA,NA,1.06,2.12,0.61,NA,1.24,0.54,NA,NA,0.43,1.02,0.95,NM,0.52,0.85,NA,NA,NA,NA,NA,NA,0.48,0.39,NA,0.74,1.03,0.68,0.58,NA,2.82,0.74,0.66,NA,NA,0.95,NA,NA,0.22,NA,0.14,0.04,NA,NA,0.23,NA,0.58,0.01,NA,NA,NA,NA,0.74,NM,0.35,NA,0.24,0.30,0.14,NA,NM,0.69,0.01,4.77,NA,0.01,NA,1.86,NA,3.51,0.17,0.25,0.92,0.73,0.10,NM,NM,NA,1.18,NA,0.26,NA,0.18,0.51,NA,0.29,0.66,1.30,NA,0.51,0.83,0.77,NA,2.23,NA,NM,0.66,0.03,0.43,0.75,0.51,0.15,0.96,NA,0.19,6.16,NA,0.38,NA,0.10,NA,0.01,0.03,NM,0.02,0.28,0.63,NA,NA,0.12,1.02,NA,0.59,NA,NA,NA,NA,NA,NA,0.27,0.47,NA,NA,NA,0.94,NA,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profitability (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Assets,274473,7.24,3.13,7.48,NA,NA,0.74,24.25,2.56,2.109,NA,2.334,2.286,8.998,NA,NA,NA,NA,2.473,0.126,NA,NA,3.548,2,2.325,NA,11.248,5.708,0.621,NA,5.89,3.193,4.462,-0.191,5.148,7.489,NA,NA,NA,NA,NA,NA,2.92,7.143,2.411,4.444,2.737,2.288,2.338,NA,4.254,6.537,2.126,NA,NA,3.612,NA,NA,0.466,NA,5.675,5.298,NA,2.916,9.974,NA,1.69,5.126,NA,NA,NA,NA,4.392,0.532,2.412,NA,4.155,2.916,2.675,NA,2.574,19.324,2.927,5.958,NA,4.342,NA,14.074,NA,1.041,5.654,11.979,19.661,4.826,0.11,1.983,4.016,NA,6.588,NA,6.796,NA,7.352,9.565,NA,2.408,1.235,6.92,NA,1.831,0.397,1.684,NA,5.325,NA,2.838,8.77,3.753,6.381,3.22,2.306,1.816,1.8,NA,7.578,1.64,NA,4.724,NA,4.172,1.239,-0.356,1.845,1.588,0.838,4.688,12.051,NA,NA,3.35,1.871,NA,5.26,NA,NA,NA,NA,NA,NA,0.146,3.225,NA,1.124,NA,2.424,NA,NA
Return on Capital,274474,15.33,4.04,9.34,NA,NA,NA,37.43,3.67,2.197,NA,3.327,5.774,12.318,NA,NA,NA,NA,2.593,2.044,NA,NA,3.961,2.854,3.132,NA,13.556,14.59,NA,NA,7.168,5.653,10.68,-2.683,7.349,10.063,NA,NA,NA,NA,NA,NA,4.047,8.94,3.251,5.672,4.108,3.029,3.012,NA,4.417,7.689,3.078,NA,NA,3.827,NA,NA,0.66,NA,8.72,9.32,NA,3.502,13.68,NA,1.941,19.466,NA,NA,NA,NA,5.494,NA,3.284,NA,5.173,3.653,5.244,NA,2.718,33.406,4.602,6.159,NA,6.932,NA,15.916,NA,1.406,7.654,19.973,28.089,4.967,NA,3.331,5.418,NA,8.922,NA,9.982,NA,9.816,12.438,NA,3.607,1.758,8.054,NA,3.029,0.525,2.328,NA,6.43,NA,NA,11.62,5.819,8.451,3.972,3.597,3.664,2.519,NA,12.37,3.705,NA,6.129,NA,15.49,NA,-1.058,NA,2.09,NA,7.594,16.763,NA,NA,11.241,7.683,NA,7.255,NA,NA,NA,NA,NA,NA,0.183,4.532,NA,NA,NA,2.707,NA,NA
Return on Equity,274475,65.36,9.37,33.15,NA,NA,9.79,(285.39),8.94,6.304,NA,7.224,12.06,-35.828,NA,NA,NA,NA,6.352,6.158,NA,NA,5.762,5.51,7.208,NA,80.697,19.558,7.549,NA,13.008,8.819,24.418,-20.55,17.642,27.012,NA,NA,NA,NA,NA,NA,10.559,15.372,7.767,12.086,8.27,4.813,4.578,NA,12.974,14.889,5.664,NA,NA,8.279,NA,NA,-0.258,NA,-6.506,20.649,NA,3.653,-466.03,NA,-1.471,-138.33,NA,NA,NA,NA,16.501,3.54,5.247,NA,8.852,6.908,-15.134,NA,6.153,-67.2,14.136,17.124,NA,12.079,NA,-290.054,NA,8.417,11.968,113.094,-131.68,9.977,2.173,0.351,6.838,NA,20.97,NA,30.839,NA,98.835,26.303,NA,6.742,3.911,11.359,NA,-26.148,1.627,8.805,NA,8.748,NA,15.454,55.536,10.816,19.149,-14.609,8.412,9.813,3.947,NA,76.154,8.968,NA,13.425,NA,36.459,13.021,73.946,17.186,1.736,11.957,14.924,37.171,NA,NA,174.118,11.914,NA,19.849,NA,NA,NA,NA,NA,NA,-9.65,8.572,NA,12.074,NA,3.631,NA,4.898
Return on Common Equity,274476,66.07,9.37,32.17,NA,NA,10.74,(280.34),8.97,6.287,NA,7.224,12.252,-35.807,NA,NA,NA,NA,9.248,4.399,NA,NA,5.762,5.51,7.208,NA,83.168,19.558,7.537,NA,13.008,8.825,25.275,-21.744,17.186,27.023,NA,NA,NA,NA,NA,NA,11.377,15.372,7.798,12.086,8.27,4.813,4.578,NA,11.97,15.175,5.664,NA,NA,7.853,NA,NA,-0.321,NA,-6.31,20.572,NA,3.704,-485.216,NA,-1.51,-138.33,NA,NA,NA,NA,16.501,3.433,5.247,NA,8.852,6.908,-16.691,NA,6.153,-67.031,14.136,17.124,NA,11.766,NA,-290.054,NA,8.417,11.968,113.716,-131.68,10.168,2.173,-1.392,6.838,NA,20.943,NA,30.839,NA,102.63,26.6,NA,6.746,3.911,11.359,NA,-26.307,1.627,8.805,NA,8.748,NA,17.064,56.512,10.698,19.149,-22.091,8.68,9.813,3.947,NA,76.948,8.968,NA,13.425,NA,39.532,14.564,84.077,19.053,1.736,12.692,14.854,37.171,NA,NA,174.118,11.914,NA,19.64,NA,NA,NA,NA,NA,NA,-11.045,8.924,NA,12.756,NA,3.631,NA,4.898
Gross Profit Margin,274477,42.53,63.48,94.31,NA,NA,NA,72.78,43.22,56.906,NA,38.16,11.196,41.022,NA,NA,NA,NA,60.103,-62.442,NA,NA,66.89,42.544,47.685,NA,41.963,27.802,NA,NA,26.5,44.648,22.16,8.27,36.044,48.041,NA,NA,NA,NA,NA,NA,50.394,40.418,50.839,49.549,49.939,37.101,52.446,NA,91.685,56.76,40.722,NA,NA,74.762,NA,NA,6.436,NA,57.503,39.625,NA,74.509,67.781,NA,63.007,20.719,NA,NA,NA,NA,93.243,79.6,51.182,NA,54.168,42.98,20.138,NA,23.093,33.473,42.347,100,NA,12.287,NA,57.899,NA,48.023,27.475,51.32,82.183,87.073,100,23.574,35.452,NA,48.392,NA,21.351,NA,70.944,31.598,NA,39.573,33.591,23.925,NA,20.368,31.31,30.756,NA,69.9,NA,100,51.388,20.277,11.551,37.559,40.203,23.164,39.749,NA,18.113,53.237,NA,53.039,NA,24.77,NA,10.704,96.992,39.498,82.499,22.561,33.417,NA,NA,16.557,32.263,NA,59.758,NA,NA,NA,NA,NA,NA,30.936,52.102,NA,NA,NA,17.251,NA,NA
Net Income Margin,274478,11.40,22.80,74.93,NA,NA,18.39,44.95,12.81,27.021,NA,11.281,2.477,9.961,NA,NA,NA,NA,11.772,9.884,NA,NA,3.921,11.765,10.185,NA,23.213,21.09,20.769,NA,8.904,14.407,13.752,-20.913,12.144,23.195,NA,NA,NA,NA,NA,NA,19.948,13.616,13.106,18.249,14.251,9.176,9.786,NA,42.901,12.446,7.205,NA,NA,29.84,NA,NA,-0.072,NA,-1.041,9.706,NA,12.349,-87.255,NA,-4.655,3.071,NA,NA,NA,NA,28.604,6.061,11.149,NA,13.14,1.768,-1.139,NA,6.522,10.103,2.943,85.109,NA,2.42,NA,32.924,NA,28.256,5.847,18.553,39.298,40.122,11.765,0,2.377,NA,24.695,NA,11.342,NA,22.413,13.214,NA,10.376,5.801,3.096,NA,-4.228,6.772,13.568,NA,22.968,NA,31.247,26.664,7.678,4.455,-10.71,10.503,2.94,8.497,NA,2.015,14.824,NA,22.408,NA,12.68,28.206,-2.686,36.336,2.705,26.22,1.374,10.38,NA,NA,3.033,9.984,NA,14.5,NA,NA,NA,NA,NA,NA,-12.26,19.727,NA,27.724,NA,4.618,NA,NA
Earnings from Cont Ops Margin,274479,11.43,22.80,83.11,NA,NA,18.39,44.95,12.90,27.021,NA,11.281,2.467,9.961,NA,NA,NA,NA,14.118,9.884,NA,NA,3.921,11.765,10.185,NA,23.288,21.09,20.841,NA,8.904,14.407,13.653,-21.166,12.947,23.195,NA,NA,NA,NA,NA,NA,21.339,13.668,13.426,18.249,14.251,9.176,9.786,NA,42.901,12.531,7.205,NA,NA,31.582,NA,NA,-0.058,NA,-0.953,9.986,NA,10.839,-87.143,NA,-4.629,3.071,NA,NA,NA,NA,28.604,5.592,11.149,NA,13.14,1.768,-1.139,NA,6.522,10.103,2.943,85.109,NA,2.543,NA,32.924,NA,28.256,5.847,18.626,39.298,39.799,11.765,0.15,2.377,NA,24.695,NA,11.342,NA,22.413,12.122,NA,10.376,5.801,3.096,NA,-4.218,6.772,13.568,NA,22.968,NA,31.878,26.774,7.993,4.455,-8.043,10.503,2.94,8.497,NA,2.015,14.824,NA,22.408,NA,12.619,28.444,-2.69,36.336,2.705,26.22,1.371,10.38,NA,NA,3.033,9.984,NA,14.842,NA,NA,NA,NA,NA,NA,-10.853,21.718,NA,27.865,NA,4.618,NA,NA
EBIT Margin,274481,17.78,37.03,68.06,NA,NA,NA,62.42,22.03,24.787,NA,16.6,2.753,11.992,NA,NA,NA,NA,29.212,13.953,NA,NA,8.53,17.1,21.193,NA,35.445,26.755,NA,NA,15.583,22.384,15.391,-9.569,14.966,36.094,NA,NA,NA,NA,NA,NA,32.493,17.99,24.227,27.268,21.315,16.755,18.502,NA,53.534,20.221,17.284,NA,NA,43.802,NA,NA,1.072,NA,7.161,14.62,NA,28.652,22.808,NA,25.376,6.029,NA,NA,NA,NA,56.081,NA,16.723,NA,21.571,4.448,2.915,NA,8.408,14.797,3.709,87.414,NA,4.408,NA,47.669,NA,13.488,10.307,26.727,54.545,57.371,NA,4.955,9.457,NA,37.267,NA,12.859,NA,30.614,20.022,NA,22.143,9.779,8.279,NA,2.117,5.805,12.588,NA,31.26,NA,NA,29.374,11.547,7.371,12.887,17.983,3.106,17.589,NA,3.851,20.981,NA,30.513,NA,11.591,NA,-0.976,NA,10.772,NA,2.849,13.688,NA,NA,4.098,13.953,NA,23.284,NA,NA,NA,NA,NA,NA,0.88,34.108,NA,NA,NA,8.493,NA,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
