SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Levered Free Cash Flow,272625,"-804,125","-260,575.00","-294,663",NA,NA,NA,"2,405,625","-983,375","151,650.38",NA,"102,337.50","358,949.25","-1,375.00",NA,NA,NA,NA,"172,832.13","-21,414,375.00",NA,NA,"30,435.00","-81,250.00","-62,875.00",NA,"99,875.00","-75,000.00",NA,NA,"62,112.50","43,484.63","-440,875.00","-1,700,625.00","-13,375.00","405,375.00",NA,NA,NA,NA,NA,NA,"-2,286,375.00","123,307.75","-1,555,000.00","-144,375.00","-16,000.00","-12,044.50","-86,875.00",NA,"69,896.25","94,612.50","-859,000.00",NA,NA,"132,797.50",NA,NA,"-926,125.00","115,112.50","-36,970.25","30,000.00",NA,"831,379.25","125,737.50",NA,"-1,297.13","-83,625.00",NA,NA,NA,NA,"-219,125.00",NA,"-53,875.00",NA,"-21,875.00","-4,000.00","356,750.00",NA,"-158,061.75","3,337,000.00","120,500.00","24,857.25",NA,"20,810.50",NA,"1,462,375.00",NA,"-455,500.00","-169,856.25","382,000.00","183,830.50","30,007.38",NA,"-3,125.00","-287,875.00",NA,"243,000.00",NA,"-1,576,125.00",NA,"5,070,875.00","-355,875.00",NA,"-595,000.00","-522,750.00","6,901.63",NA,"67,125.00","-61,825.00","6,350.00",NA,"-85,250.00",NA,NA,"1,067,750.00","666,875.00","119,625.00","-134,821.88","-142,500.00","457,500.00","40,363.63","97,193.13","-51,750.00",NA,NA,"-243,375.00",NA,"-1,274,625.00",NA,"-1,803,375.00",NA,"-5,175.00",NA,"812,250.00","-80,025.00",NA,NA,"68,250.00","-3,950.00",NA,"-427,500.00",NA,NA,NA,NA,NA,NA,"-131,129.63","-2,264,375.00",NA,NA,NA,"-15,000.00",NA,NA
Cash from Ops. to Curr. Liab. (x),274482,NM,0.44,0.81,NA,NA,NA,1.02,0.60,1.77,NA,0.72,0.11,0.25,NA,NA,NA,NA,0.56,0.03,NA,NA,1.06,1.65,0.37,NA,1.17,0.24,NA,NA,0.30,1.29,0.02,0.05,0.13,1.47,NA,NA,NA,0.07,NA,NA,0.54,0.29,0.52,0.56,1.00,0.76,0.50,NA,3.44,0.52,0.59,NA,NA,0.70,NA,NA,0.14,0.36,NM,0.10,NA,0.31,0.48,NA,NM,0.06,NA,NA,NA,NA,1.17,NM,0.75,NA,0.09,NM,NM,NA,NM,0.87,0.11,NM,NA,0.11,NA,2.42,NA,1.40,NM,0.41,0.82,0.47,0.06,NM,NM,NA,1.10,NA,NM,NA,0.93,NM,NA,0.68,0.69,0.40,NA,0.14,1.09,NM,NA,2.05,NA,0.25,0.63,0.10,0.34,NM,0.72,0.25,1.56,0.65,0.02,0.72,NA,0.45,NA,0.10,NA,NM,0.07,0.24,NM,0.57,NM,NA,NA,0.14,1.11,NA,0.51,NA,NA,NA,NA,NA,NA,0.56,0.72,NA,NA,NA,0.32,NA,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profitability (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Assets,274473,7.63,2.972,4.603,NA,NA,-0.467,19.531,2.747,2.06,NA,4,1.945,8.751,NA,NA,NA,NA,2.393,-0.352,NA,NA,1.516,6.214,3.643,NA,4.616,-0.779,0.667,NA,4.825,4.598,2.088,-0.142,4.09,6.096,NA,NA,NA,2.988,NA,NA,3.29,6.066,3.126,3.411,3.093,4.464,3.197,NA,4.042,4.992,3.567,NA,NA,3.373,NA,NA,0.298,2.42,3.157,5.294,NA,2.448,7.976,NA,0.924,5.879,NA,NA,NA,NA,4.399,0.813,1.85,NA,3.738,0.76,3.517,NA,0.064,15.219,2.248,5.819,NA,1.014,NA,11.904,NA,0.628,5.525,10.834,17.47,4.475,-0.015,-1.252,1.032,NA,5.618,NA,3.593,NA,7.12,7.145,NA,2.606,1.903,5.281,NA,-1.644,6.575,1.609,NA,5.553,NA,0.706,6.367,3.663,6.2,-8.524,2.514,-1.202,5.763,4.515,8.209,NA,NA,3.173,NA,1.841,1.141,0.813,1.62,2.04,1.101,7.214,6.456,NA,NA,7.094,1.188,NA,5.152,NA,NA,NA,NA,NA,NA,0.921,3.187,NA,0.99,NA,2.45,NA,NA
Return on Capital,274474,16.802,3.857,5.863,NA,NA,NA,30.56,3.936,2.141,NA,5.756,4.648,12.097,NA,NA,NA,NA,2.506,-5.695,NA,NA,1.704,8.822,4.961,NA,5.589,-1.955,NA,NA,5.868,8.208,4.948,-1.954,5.866,8.24,NA,NA,NA,NA,NA,NA,4.596,7.544,4.234,4.39,4.678,5.956,4.151,NA,4.196,5.893,5.176,NA,NA,3.571,NA,NA,0.416,2.923,5.09,9.637,NA,2.892,10.788,NA,1.063,23.883,NA,NA,NA,NA,5.521,NA,2.499,NA,4.673,0.948,6.963,NA,0.068,26.074,3.569,6.034,NA,1.614,NA,13.611,NA,0.846,7.642,19.114,25.388,4.608,NA,-2.165,1.418,NA,7.611,NA,5.262,NA,9.71,9.384,NA,3.913,2.717,6.044,NA,-2.613,8.76,2.254,NA,6.746,NA,NA,8.351,5.676,8.138,-10.377,3.934,-2.25,8.104,6.538,13.68,NA,NA,4.178,NA,6.978,NA,2.433,NA,2.741,NA,11.772,8.892,NA,NA,25.771,4.906,NA,7.208,NA,NA,NA,NA,NA,NA,1.174,4.538,NA,NA,NA,2.719,NA,NA
Return on Equity,274475,106.641,8.234,11.997,NA,NA,-6.398,-152.549,9.434,6.562,NA,11.342,5.401,-21.078,NA,NA,NA,NA,4.628,-20.604,NA,NA,-1.608,19.146,10.989,NA,28.046,-2.604,7.776,NA,21.707,15.154,3.821,-20.888,6.667,20.938,NA,NA,NA,23.942,NA,NA,9.411,13.582,10.899,8.434,9.044,11.533,7.26,NA,11.305,10.67,13.321,NA,NA,7.681,NA,NA,4.227,4.407,-54.684,26.032,NA,4.1,33.41,NA,1.522,-188.726,NA,NA,NA,NA,16.824,5.342,3.93,NA,8.494,-2.803,3.958,NA,0.783,-47.343,6.033,16.471,NA,1.659,NA,-206.096,NA,8.061,12.63,102.309,-121.607,9.56,-0.306,-7.179,-5.44,NA,20.821,NA,12.71,NA,114.258,20.31,NA,7.757,6.679,13.478,NA,-21.135,18.088,4.076,NA,9.172,NA,4.028,37.085,10.375,17.381,-40.322,28.7,-6.046,17.148,14.424,94.984,NA,NA,8.426,NA,10.981,11.449,3.426,15.602,3.616,15.341,31.848,13.989,NA,NA,515.151,6.822,NA,19.675,NA,NA,NA,NA,NA,NA,-1.708,8.296,NA,10.559,NA,3.428,NA,4.959
Return on Common Equity,274476,107.488,8.234,11.997,NA,NA,-8.617,-149.2,9.501,6.552,NA,11.342,5.457,-21.065,NA,NA,NA,NA,6.36,-23.063,NA,NA,-1.608,19.146,10.989,NA,28.209,-2.604,7.8,NA,21.792,15.142,3.595,-22.66,5.868,20.947,NA,NA,NA,24.591,NA,NA,10.029,13.582,11.039,8.434,9.044,11.533,7.26,NA,10.296,10.89,13.321,NA,NA,7.209,NA,NA,4.211,4.41,-48.605,25.588,NA,4.112,33.89,NA,1.514,-188.726,NA,NA,NA,NA,16.824,5.021,3.93,NA,8.494,-2.803,4.376,NA,0.783,-47.208,6.033,16.471,NA,1.367,NA,-206.096,NA,8.061,12.63,102.871,-121.607,9.771,-0.306,-11.173,-5.44,NA,20.793,NA,12.71,NA,120.041,20.484,NA,7.78,6.68,13.478,NA,-21.237,18.088,4.076,NA,9.172,NA,2.229,37.621,10.092,17.381,-45.354,31.195,-6.046,17.148,15.696,96.385,NA,NA,8.426,NA,11.464,12.295,13.582,18.072,3.616,16.779,31.29,13.989,NA,NA,515.151,6.822,NA,19.52,NA,NA,NA,NA,NA,NA,-2.618,8.64,NA,11.433,NA,3.428,NA,4.959
Gross Profit Margin,274477,41.585,63.576,93.474,NA,NA,NA,72.715,46.677,55.414,NA,39.714,11.359,43.786,NA,NA,NA,NA,60.241,42.773,NA,NA,65.312,34.787,39.932,NA,29.549,-3.157,NA,NA,26.334,24.121,12.655,10.19,35.168,43.032,NA,NA,NA,94.014,NA,NA,50.54,40.182,51.849,53.809,46.97,39.453,51.175,NA,91.199,54.459,42.374,NA,NA,73.242,NA,NA,6.788,64.193,61.293,42.118,NA,72.797,69.688,NA,61.749,21.031,NA,NA,NA,NA,93.409,80.645,51.237,NA,54.608,43.14,21.53,NA,21.206,33.187,41.08,100,NA,10.925,NA,56.028,NA,41.223,26.994,51.622,81.657,84.7,100,21.895,32.312,NA,44.404,NA,16.688,NA,70.647,28.656,NA,40.949,35.407,22.781,NA,17.145,43.32,34.442,NA,71.031,NA,100,48.037,20.27,11.532,-58.906,47.159,19.119,44.692,44.368,18.322,56.008,NA,53.313,NA,19.554,NA,12.397,97.267,37.049,84.054,22.41,34.111,NA,NA,20.487,29.907,NA,61.009,NA,NA,NA,NA,NA,NA,36.897,49.873,NA,NA,NA,19.002,NA,NA
Net Income Margin,274478,18.744,19.426,40.125,NA,NA,-14.151,23.833,14.335,28.025,NA,14.034,1.17,6.286,NA,NA,NA,NA,8.171,-11.294,NA,NA,-1.124,17.058,10.171,NA,11.975,-3.507,21.345,NA,16.702,9.476,1.738,-18.043,4.548,18.872,NA,NA,NA,36.714,NA,NA,16.315,12.369,16.717,16.205,14.685,15.532,13.055,NA,38.172,9.23,13.524,NA,NA,27.442,NA,NA,1.158,17.309,-7.534,11.807,NA,16.796,11.115,NA,5.284,4.184,NA,NA,NA,NA,28.864,9.029,8.657,NA,14.223,-0.798,0.294,NA,1.137,8.215,1.24,84.703,NA,0.348,NA,31.363,NA,22.485,6.336,17.009,38.697,38.083,-1.587,-2.778,-2.363,NA,25.058,NA,5.08,NA,22.011,-3.676,NA,11.616,10.011,3.811,NA,-4.288,26.25,6.98,NA,23.241,NA,11.058,18.255,7.559,4.169,-108.741,42.109,-2.318,19.05,15.256,2.392,16.493,NA,17.565,NA,3.617,25.555,-0.19,34.095,4.244,32.068,2.092,5.307,NA,NA,6.672,6.117,NA,14.571,NA,NA,NA,NA,NA,NA,-2.922,17.541,NA,25.467,NA,4.708,NA,NA
Earnings from Cont Ops Margin,274479,18.844,19.426,40.125,NA,NA,-14.151,23.833,14.385,28.025,NA,14.034,1.172,6.286,NA,NA,NA,NA,10.364,-11.209,NA,NA,-1.124,17.058,10.171,NA,11.975,-3.507,21.576,NA,16.705,9.476,1.9,-17.853,5.359,18.872,NA,NA,NA,36.714,NA,NA,17.468,12.821,17.02,16.205,14.685,15.532,13.055,NA,38.172,9.279,13.524,NA,NA,29.29,NA,NA,1.163,11.338,-7.651,12.309,NA,12.961,11.216,NA,5.437,4.184,NA,NA,NA,NA,28.864,8.591,8.657,NA,14.223,-0.798,0.294,NA,1.137,8.215,1.24,84.703,NA,0.433,NA,31.363,NA,22.485,6.336,17.089,38.697,37.695,-1.587,-3.431,-2.363,NA,25.058,NA,5.08,NA,22.011,10.079,NA,11.616,10.011,3.811,NA,-4.281,26.25,6.98,NA,23.241,NA,11.325,18.405,8.003,4.169,-108.741,42.109,-2.318,19.05,17.991,2.392,16.493,NA,17.565,NA,3.623,25.597,-0.159,34.095,4.244,32.068,2.112,5.307,NA,NA,6.672,6.117,NA,14.881,NA,NA,NA,NA,NA,NA,-1.925,19.204,NA,24.999,NA,4.708,NA,NA
EBIT Margin,274481,20.457,34.971,57.769,NA,NA,NA,61.319,24.603,23.93,NA,22.807,2.464,13.512,NA,NA,NA,NA,28.578,-14.033,NA,NA,3.72,22.707,22.021,NA,20.995,-4.482,NA,NA,14.541,12.393,6.467,-6.005,13.065,30.616,NA,NA,NA,NA,NA,NA,33.415,16.357,28.331,27.078,22.727,23.49,21.41,NA,52.291,16.352,23.086,NA,NA,40.084,NA,NA,0.836,16.645,3.923,14.779,NA,25.417,22.264,NA,17.158,6.865,NA,NA,NA,NA,55.455,NA,13.074,NA,22.036,1.271,3.905,NA,0.278,12.418,2.94,88.275,NA,1.271,NA,44.577,NA,6.805,10.066,24.881,50.55,53.844,NA,-3.595,2.937,NA,32.843,NA,7.425,NA,30.518,16.008,NA,23.383,15.215,6.535,NA,-2.317,34.077,12.944,NA,31.751,NA,NA,23.731,11.824,7.093,-154.349,22.935,-2.505,29.585,29.218,4.071,21.593,NA,25.886,NA,5.075,NA,2.611,NA,10.988,NA,3.254,9.447,NA,NA,8.791,9.561,NA,23.545,NA,NA,NA,NA,NA,NA,5.303,31.971,NA,NA,NA,9.189,NA,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
