SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Levered Free Cash Flow,272625,"440,250","-22,075.00","-361,963",NA,NA,NA,"2,657,250","-623,875","121,791.25",NA,"118,350.00","486,424.75","-55,500.00",NA,NA,NA,NA,"148,291.13","-18,454,875.00",NA,NA,"12,105.38","-1,110,000.00","-1,895,375.00",NA,"16,900.00","753,625.00",NA,NA,"178,162.50","1,575.75","151,500.00","420,875.00","-52,250.00","426,250.00",NA,NA,NA,NA,NA,NA,"2,711,125.00","337,336.63","-971,250.00","63,125.00","-180,625.00","55,294.00","-148,125.00",NA,"61,531.00","108,225.00","-975,875.00",NA,NA,"-131,156.38",NA,NA,"-1,418,875.00","119,737.50","13,865.88","318,000.00",NA,"437,855.88","130,212.50",NA,"366,834.75","155,000.00",NA,NA,NA,NA,"-120,375.00",NA,"-163,375.00",NA,"-261,125.00","-254,250.00","332,625.00",NA,"-83,996.00","1,451,625.00","60,250.00","72,085.38",NA,"127,931.00",NA,"1,283,250.00",NA,"-534,375.00",167.75,"317,625.00","193,737.75","32,860.13",NA,"16,625.00","-21,000.00",NA,"-868,375.00",NA,"-427,875.00",NA,"5,178,625.00","-247,625.00",NA,"-2,198,875.00","-31,625.00","-13,937.50",NA,"-152,062.50","43,725.00","-176,362.50",NA,"123,500.00",NA,NA,"936,250.00","493,125.00","406,000.00","-113,142.75","-496,125.00","-781,875.00","370,027.38","456,966.88","-143,093.00","-52,397.13",NA,"-100,750.00",NA,"2,020,250.00",NA,"-3,537,125.00",NA,"-153,437.50",NA,"1,945,500.00","-127,412.50",NA,NA,"74,250.00","685,212.50",NA,"-1,358,000.00",NA,NA,NA,NA,NA,NA,"-183,196.38","-1,333,375.00",NA,NA,NA,"43,500.00",NA,NA
Cash from Ops. to Curr. Liab. (x),274482,0.23,0.64,0.94,NA,NA,NA,1.05,0.56,1.51,NA,1.59,0.14,0.14,NA,NA,NA,NA,0.20,NM,NA,NA,1.22,1.39,0.63,NA,1.22,0.32,NA,NA,0.45,0.90,NM,0.08,0.09,1.41,NA,NA,NA,0.06,NA,NA,0.51,0.22,0.64,1.47,0.99,3.20,0.97,NA,3.72,0.51,0.50,NA,NA,1.50,NA,NA,0.05,0.59,0.01,0.19,NA,0.20,0.40,NA,NM,0.02,NA,NA,NA,NA,0.66,NM,0.27,NA,0.05,NM,NM,NA,NM,0.44,0.09,NM,NA,0.16,NA,1.96,NA,0.79,0.24,0.33,0.88,1.16,0.16,NM,0.04,NA,0.97,NA,NM,NA,1.10,0.04,NA,0.61,0.84,0.39,NA,NM,1.33,NM,NA,2.10,NA,NM,0.54,0.03,0.21,NM,0.62,NM,3.68,1.27,0.04,0.86,NA,0.88,NA,0.10,NA,NM,NM,0.14,NM,0.67,NM,NA,NA,0.14,1.33,NA,0.53,NA,NA,NA,NA,NA,NA,0.28,2.12,NA,NA,NA,0.53,NA,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profitability (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Assets,274473,5.967,2.653,4.379,NA,NA,0.294,18.529,2.721,1.872,NA,3.415,2.238,8.336,NA,NA,NA,NA,2.664,-0.624,NA,NA,2.752,5.995,3.835,NA,4.65,7.263,0.563,NA,5.727,6.412,3.947,0.479,2.29,7.938,NA,NA,NA,2.236,NA,NA,2.075,5.86,2.743,2.9,2.151,4.336,3.099,NA,3.448,4.58,2.694,NA,NA,3.012,NA,NA,1.104,3.472,-5.088,4.98,NA,2.137,5.14,NA,0.222,7.055,NA,NA,NA,NA,4.326,1.106,0.109,NA,3.663,1.686,-0.757,NA,1.409,18.912,3.542,6.334,NA,0.014,NA,12.393,NA,0.722,5.176,10.764,15.499,4.573,0.485,0.4,1.133,NA,5.55,NA,6.565,NA,6.348,9.042,NA,2.76,1.237,5.303,NA,1.759,7.575,1.1,NA,7.554,NA,2.81,5.332,2.858,6.608,-13.016,2.721,-2.71,5.056,3.414,9.264,2.157,NA,2.295,NA,3.765,0.972,0.125,1.132,1.793,0.99,7.919,6.212,NA,NA,7.962,2.168,NA,5.015,NA,NA,NA,NA,NA,NA,-0.275,2.952,NA,0.95,NA,2.83,NA,NA
Return on Capital,274474,12.938,3.42,5.517,NA,NA,NA,32.548,3.939,1.956,NA,4.762,4.864,11.82,NA,NA,NA,NA,2.79,-10.664,NA,NA,3.254,8.659,5.334,NA,5.674,18.227,NA,NA,6.97,11.317,9.446,6.674,3.196,10.712,NA,NA,NA,NA,NA,NA,3.078,7.644,3.698,3.682,3.219,5.91,4.063,NA,3.573,5.418,3.904,NA,NA,3.187,NA,NA,1.557,4.186,-7.671,9.349,NA,2.64,7.19,NA,0.256,27.021,NA,NA,NA,NA,5.418,NA,0.146,NA,4.655,2.12,-1.503,NA,1.534,34.094,5.818,6.582,NA,0.021,NA,14.372,NA,0.97,7.443,19.521,21.564,4.714,NA,0.629,1.579,NA,7.556,NA,9.799,NA,9.36,11.931,NA,4.178,1.804,6.049,NA,2.759,10.574,1.555,NA,9.432,NA,NA,7.004,4.313,8.952,-16.51,4.275,-5.029,6.998,4.621,15.776,5.499,NA,2.95,NA,15.031,NA,0.501,NA,2.501,NA,12.755,8.355,NA,NA,24.478,10.098,NA,6.947,NA,NA,NA,NA,NA,NA,-0.346,4.292,NA,NA,NA,3.124,NA,NA
Return on Equity,274475,57.953,6.59,11.296,NA,NA,4.181,-199.111,9.093,6.672,NA,10.121,5.708,-14.811,NA,NA,NA,NA,5.422,-42.382,NA,NA,0.644,17.739,14.238,NA,37.384,24.402,6.591,NA,14.408,20.295,30.67,26.442,7.683,28.633,NA,NA,NA,23.553,NA,NA,4.146,46.95,9.156,7.066,5.312,11.234,7.305,NA,10.208,10.732,10.159,NA,NA,10.587,NA,NA,12.453,7.974,-40.666,20.82,NA,4.274,22.334,NA,-2.693,-183.684,NA,NA,NA,NA,17.131,6.681,-0.762,NA,7.216,1.496,-40.271,NA,3.662,-62.422,15.026,17.166,NA,-5.094,NA,-161.761,NA,8.92,11.44,-23.824,-147.282,9.65,10.568,-104.99,-1.163,NA,1.674,NA,26.025,NA,440.3,21.141,NA,10.445,4.824,13.344,NA,1.114,22.756,11.123,NA,12.916,NA,16.033,28.482,11.283,23.086,81.266,1.995,-8.922,16.817,10.334,95.756,12.713,NA,5.183,NA,26.541,10.06,8.293,13.069,3.82,13.998,36.833,16.974,NA,NA,329.412,15.91,NA,19.932,NA,NA,NA,NA,NA,NA,-6.254,8.472,NA,9.992,NA,4.495,NA,5.236
Return on Common Equity,274476,58.306,6.59,11.296,NA,NA,4.05,-196.348,9.161,6.664,NA,10.121,5.813,-14.804,NA,NA,NA,NA,7.32,-45.436,NA,NA,0.644,17.739,14.238,NA,37.384,24.402,6.47,NA,14.514,20.287,31.663,30.092,7.34,28.644,NA,NA,NA,24.275,NA,NA,4.122,46.95,9.39,7.066,5.312,11.234,7.305,NA,9.249,10.985,10.159,NA,NA,10.564,NA,NA,12.442,7.978,-40.215,20.576,NA,4.249,22.516,NA,-2.754,-183.684,NA,NA,NA,NA,17.131,6.466,-0.762,NA,7.216,1.496,-43.301,NA,3.662,-62.256,15.026,17.166,NA,-6.123,NA,-161.761,NA,8.92,11.44,-25.06,-147.282,9.885,10.568,6666.666,-1.163,NA,1.643,NA,26.025,NA,562.3,21.395,NA,10.496,4.825,13.344,NA,1.087,22.756,11.123,NA,12.916,NA,17.979,29.164,11.366,23.154,81.266,1.386,-8.922,16.817,10.529,97.32,12.713,NA,5.183,NA,29.352,10.494,8.013,15.4,3.82,14.724,36.435,16.974,NA,NA,329.412,15.91,NA,19.712,NA,NA,NA,NA,NA,NA,-6.309,8.472,NA,10.5,NA,4.495,NA,5.236
Gross Profit Margin,274477,42.104,65.073,92.709,NA,NA,NA,69.536,49.713,54.987,NA,36.926,12.389,42.693,NA,NA,NA,NA,62.702,NM,NA,NA,67.783,37.103,42.863,NA,31.342,33.799,NA,NA,28.344,33.833,20.419,23.717,33.378,47.759,NA,NA,NA,93.879,NA,NA,46.779,37.75,48.546,46.1,40.58,43.438,52.065,NA,90.88,54.822,39.087,NA,NA,71.276,NA,NA,8.437,59.311,52.279,40.882,NA,72.79,65.245,NA,57.97,21.904,NA,NA,NA,NA,93.382,82.721,55.15,NA,55.94,42.677,17.744,NA,23.591,33.682,42.239,100,NA,11.433,NA,55.746,NA,40.925,27.216,50.021,81.1,84.014,100,20.563,30.974,NA,42.177,NA,21.05,NA,71.011,31.482,NA,40.607,32.881,21.945,NA,20.031,45.88,29.448,NA,73.42,NA,100,48.23,18.446,11.588,-65.632,43.43,15.516,27.739,18.987,18.593,53.348,NA,49.818,NA,23.088,NA,11.805,97.025,33.036,85.844,22.329,34.385,NA,NA,21.994,35.687,NA,60.971,NA,NA,NA,NA,NA,NA,30.121,49.98,NA,NA,NA,19.766,NA,NA
Net Income Margin,274478,15.426,17.088,37.531,NA,NA,8.497,45.135,14.966,30.243,NA,12.489,1.207,5.802,NA,NA,NA,NA,10.593,NM,NA,NA,0.435,17.46,13.359,NA,13.606,25.724,18.074,NA,11.009,14.374,14.332,15.167,7.025,23.907,NA,NA,NA,31.956,NA,NA,11.096,33.562,14.835,12.465,8.827,17.683,13.864,NA,38.33,8.989,10.889,NA,NA,42.936,NA,NA,3.114,13.604,-9.532,8.043,NA,17.082,7.685,NA,-33.176,4.717,NA,NA,NA,NA,30.147,9.425,-1.717,NA,13.091,0.392,-3.363,NA,4.363,10.113,2.996,81.415,NA,-1.533,NA,31.269,NA,27.877,5.58,-1.632,37.642,37.889,26.545,-5.634,-0.544,NA,1.764,NA,9.316,NA,19.433,14.824,NA,13.325,7.817,3.759,NA,0.216,26.462,18.566,NA,25.359,NA,31.863,9.657,8.853,4.832,-131.346,2.608,-3.65,12.9,5.55,2.564,20.389,NA,11.496,NA,7.982,22.778,-2.07,28.734,4.191,29.737,2.13,6.478,NA,NA,7.199,12.349,NA,13.953,NA,NA,NA,NA,NA,NA,-9.875,18.521,NA,23.182,NA,6.347,NA,NA
Earnings from Cont Ops Margin,274479,11.802,17.088,37.531,NA,NA,8.497,45.135,15.023,30.243,NA,12.489,1.2,5.802,NA,NA,NA,NA,12.596,NM,NA,NA,0.435,17.46,13.359,NA,13.606,25.724,18.272,NA,11.016,14.374,14.332,14.286,7.563,23.907,NA,NA,NA,31.956,NA,NA,7.847,31.963,15.044,12.465,8.827,17.683,13.864,NA,38.33,9.076,10.889,NA,NA,43.072,NA,NA,3.118,13.604,-9.539,8.344,NA,13.627,7.804,NA,-13.061,4.717,NA,NA,NA,NA,30.147,9.451,-1.717,NA,13.091,0.392,-3.363,NA,4.363,10.113,2.996,81.415,NA,-1.283,NA,31.269,NA,27.877,5.58,-1.591,37.642,37.534,26.545,-10,-0.544,NA,1.764,NA,9.316,NA,19.433,13.733,NA,13.325,7.817,3.759,NA,0.222,26.462,18.566,NA,25.359,NA,32.25,9.764,9.029,4.832,-131.346,2.608,-3.65,12.9,5.539,2.564,20.389,NA,11.496,NA,7.851,22.822,-2.143,28.734,4.191,29.737,2.13,6.478,NA,NA,7.199,12.349,NA,14.317,NA,NA,NA,NA,NA,NA,-9.862,18.521,NA,23.202,NA,6.347,NA,NA
EBIT Margin,274481,20.994,32.268,55.572,NA,NA,NA,58.957,25.631,22.498,NA,19.661,2.714,12.966,NA,NA,NA,NA,31.644,NM,NA,NA,7.073,24.405,23.397,NA,22.068,32.913,NA,NA,17.521,19.481,13.163,12.662,8.639,36.62,NA,NA,NA,NA,NA,NA,24.119,14.521,25.433,21.448,16.864,24.931,22.419,NA,48.039,16.172,18.286,NA,NA,38.268,NA,NA,2.826,15.684,-7.463,13.849,NA,23.848,17.298,NA,5.459,7.797,NA,NA,NA,NA,55.882,NA,0.858,NA,22.059,2.744,-0.811,NA,4.998,15.17,4.62,88.585,NA,0.019,NA,44.059,NA,9.134,9.419,24.027,50.133,55.615,NA,1.127,3.327,NA,30.959,NA,12.227,NA,27.632,20.178,NA,23.801,10.788,6.357,NA,2.218,36.274,8.432,NA,35.56,NA,NA,20.118,9.536,7.495,-115.406,22.072,-6.21,17.9,10.263,4.353,25.421,NA,19.891,NA,10.296,NA,0.41,NA,9.318,NA,3.5,9.232,NA,NA,9.652,17.036,NA,23.125,NA,NA,NA,NA,NA,NA,-1.81,28.244,NA,NA,NA,10.635,NA,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
