SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Levered Free Cash Flow,272625,"613,625","74,913","(589,525)",NA,NA,NA,"2,937,250","(502,125)","34,929.50",NA,"-79,625.00","591,962.88","-106,250.00",NA,NA,NA,NA,"-37,760.63","-5,605,500.00",NA,NA,"24,361.00","2,000.00","-1,095,875.00",NA,"-9,487.50","-898,000.00",NA,NA,"60,287.50","40,826.25",NA,NA,"-357,750.00","704,625.00",NA,NA,NA,NA,NA,NA,"-1,329,500.00","89,929.38","-2,096,000.00","-101,500.00","-583,875.00","-31,003.50","-132,500.00",NA,"39,723.75","-95,450.00","-628,750.00",NA,NA,"156,528.38",NA,NA,"-2,354,000.00","119,950.00","-15,265.38",NA,NA,"497,240.38","582,085.00","45,735.13","-19,560.38","1,214,875.00",NA,NA,NA,NA,"-60,000.00",NA,"-52,125.00","160,175.00","357,250.00","-208,125.00",NA,NA,"60,183.13","1,889,000.00","-602,375.00","32,770.63",NA,"153,992.13",NA,"619,425.00",NA,"-618,125.00","-22,917.38","224,500.00","35,516.13","91,947.38",NA,"-29,000.00","37,125.00",NA,"497,125.00",NA,"-1,093,625.00",NA,"4,621,375.00","-97,250.00",NA,"-403,750.00","96,500.00","4,058.88",NA,"-99,487.50","18,837.50","-46,962.50",NA,"1,506,000.00","-959,875.00",NA,"-992,950.00","14,541,000.00","151,750.00","-247,545.13","-1,395,250.00","-302,125.00","128,168.00","121,279.50","-50,196.75","11,927.63",NA,"-200,125.00",NA,"-1,405,875.00",NA,"-4,102,875.00",NA,"-18,437.50",NA,"1,493,875.00","-53,495.63",NA,NA,"109,500.00","196,012.50",NA,"-226,625.00",NA,NA,NA,NA,NA,NA,"-179,582.38","-45,625.00",NA,NA,NA,"553,750.00",NA,"-11,757.88"
Cash from Ops. to Curr. Liab. (x),274482,0.53,0.47,0.70,NA,NA,NA,1.12,0.49,2.09,NA,0.39,0.24,NM,NA,NA,NA,NA,1.28,0.02,NA,NA,1.18,1.04,0.66,NA,0.51,0.22,NA,NA,0.34,1.47,NA,NA,0.31,2.13,NA,NA,NA,0.08,NA,NA,0.63,0.15,0.41,0.68,0.80,1.24,0.53,NA,2.79,0.11,0.37,NA,NA,1.37,NA,NA,NM,0.36,NM,NA,NA,0.58,0.67,1.66,NM,0.22,NA,NA,NA,NA,0.77,NM,0.78,2.41,0.24,0.20,NA,NA,3.84,0.48,NM,5.83,NA,0.65,NA,1.55,NA,0.79,0.23,0.32,0.57,3.18,0.20,0.10,0.03,NA,1.71,NA,NM,NA,1.27,NM,NA,0.68,1.28,0.22,NA,NM,0.97,NM,NA,1.42,NM,0.73,0.09,0.08,0.71,NM,0.26,NM,1.48,1.11,0.11,1.64,NA,0.76,NA,0.10,NA,NM,0.12,0.00,NM,0.67,NM,NA,NA,NM,0.72,NA,0.86,NA,NA,NA,NA,NA,NA,0.38,2.00,0.51,NA,NA,0.19,NA,0.00
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profitability (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Assets,274473,9.44,2.17,4.04,NA,NA,(0.70),13.63,2.27,1.648,NA,3.444,2.24,4.008,NA,NA,NA,NA,3.225,6.978,NA,NA,0.125,5.942,2.902,NA,0.538,-16.022,0.488,NA,4.16,7.449,NA,NA,1.004,7.705,NA,NA,NA,-0.215,NA,NA,2.9,6.652,2.181,2.737,2.95,3.554,2.669,NA,2.588,4.375,2.459,NA,NA,2.912,NA,NA,-0.878,2.045,-16.791,NA,NA,1.786,3.28,1.486,-3.61,9.006,NA,NA,NA,NA,4.412,0.885,-0.501,7.538,2.496,3.1,NA,NA,8.05,9.115,2.062,4.722,NA,2.24,NA,8.932,NA,1.235,6.273,5.876,12.806,4.363,-0.45,2.211,1.15,NA,6.469,NA,7.332,NA,6.823,2.949,NA,2.126,2.969,6.561,NA,0.299,6.992,0.236,NA,9.553,7.323,-18.619,-1.555,2.813,5.616,-8.954,1.33,-1.042,5.631,4.408,9.671,2.224,NA,2.964,NA,2.808,0.906,-0.717,0.956,2.648,0.466,5.337,9.658,NA,NA,10.883,0.936,NA,6.872,NA,NA,NA,NA,NA,NA,-0.493,3.764,NA,0.157,NA,3.493,NA,NA
Return on Capital,274474,13.21,3.01,5.19,NA,NA,NA,19.54,3.61,1.693,NA,4.915,4.607,5.626,NA,NA,NA,NA,3.38,50.819,NA,NA,0.136,9.656,4.37,NA,0.671,-39.568,NA,NA,5.086,13.302,NA,NA,1.357,10.284,NA,NA,NA,NA,NA,NA,4.28,9.211,3.094,3.677,4.432,5.039,3.721,NA,2.672,5.689,4.133,NA,NA,3.083,NA,NA,-1.182,2.562,-24.454,NA,NA,2.08,4.145,1.543,-4.016,70.324,NA,NA,NA,NA,5.513,NA,-0.741,9.11,3.213,4.073,NA,NA,8.648,15.669,3.285,4.825,NA,3.262,NA,10.637,NA,1.706,8.93,11.798,16.878,4.508,NA,3.463,1.58,NA,8.773,NA,12.013,NA,9.488,3.785,NA,5.655,4.327,7.688,NA,0.442,10.366,0.397,NA,11.658,13.814,NA,-1.9,4.378,7.109,-10.644,2.444,-1.875,8.838,6.742,15.837,6.811,NA,4.267,NA,10.356,NA,-3.986,NA,4.456,NA,8.434,14.27,NA,NA,27.959,4.691,NA,10.094,NA,NA,NA,NA,NA,NA,-0.572,5.719,NA,NA,NA,3.884,NA,NA
Return on Equity,274475,51.54,6.38,11.32,NA,NA,(9.14),95.15,7.21,2.492,NA,10.974,4.183,-18.151,NA,NA,NA,NA,29.675,108.169,NA,NA,-423.079,19.729,-54.954,NA,-19.1,-54.775,5.268,NA,9.308,20.139,NA,NA,-3.037,25.936,NA,NA,NA,-2.267,NA,NA,-5.606,23.452,7.414,7.009,8.563,11.208,6.998,NA,4.987,18.81,4.347,NA,NA,9.206,NA,NA,-25.337,2.992,-74.282,NA,NA,2.168,-9.388,2.131,-14.082,-191.864,NA,NA,NA,NA,16.51,4.646,-1.912,12.814,2.719,4.522,NA,NA,20.102,121.628,8.527,-47.745,NA,8.286,NA,-50.59,NA,7.338,15.05,-98.202,-274.913,16.254,-15.712,6.566,-120.731,NA,10.137,NA,38.834,NA,41.312,-89.398,NA,32.443,8.257,17.071,NA,-2.047,21.955,-3.011,NA,19.886,24.768,-102.318,-48.831,4.558,15.074,608,5.553,-3.977,16.235,11.181,72.232,15.852,NA,8.17,NA,13.346,9.26,29.037,13.246,9.761,5.232,37.294,31.65,NA,NA,72.222,6.515,NA,27.55,NA,NA,NA,NA,NA,NA,-2.002,-8.132,NA,1.652,NA,7.38,NA,1.944
Return on Common Equity,274476,51.78,6.38,11.32,NA,NA,(9.14),97.14,7.24,1.834,NA,10.974,4.21,-18.069,NA,NA,NA,NA,57.216,108.356,NA,NA,-423.079,19.729,-73.052,NA,-19.122,-54.775,5.13,NA,9.379,20.155,NA,NA,-4.682,25.97,NA,NA,NA,-3.059,NA,NA,-7.11,23.452,8.114,7.009,8.563,11.208,6.998,NA,4.185,18.835,7.196,NA,NA,9.172,NA,NA,-25.374,2.05,-74.539,NA,NA,2.082,-9.74,2.131,-14.862,-191.864,NA,NA,NA,NA,16.51,4.747,-1.912,13.714,2.719,4.522,NA,NA,20.102,121.279,8.527,-47.745,NA,8.346,NA,-50.59,NA,7.338,15.05,-95.631,-274.913,16.31,-15.788,6.391,-121.563,NA,10.11,NA,38.834,NA,42.508,-90.367,NA,33.795,8.259,17.071,NA,-2.048,21.955,-3.011,NA,19.886,24.77,-114.603,-51.598,4.316,14.93,608.003,5.582,-3.977,16.235,11.483,73.229,15.852,NA,8.17,NA,13.944,9.965,27.48,14.273,9.761,5.572,37.116,31.65,NA,NA,72.222,6.515,NA,27.341,NA,NA,NA,NA,NA,NA,-2.37,-8.132,NA,0.738,NA,7.38,NA,1.944
Gross Profit Margin,274477,49.12,67.40,90.85,NA,NA,NA,64.71,45.16,53.742,NA,44.235,11.414,35.527,NA,NA,NA,NA,63.974,75.331,NA,NA,72.38,32.047,37.84,NA,11.981,1555.556,NA,NA,27.795,37.338,NA,NA,30.197,53.66,NA,NA,NA,89.454,NA,NA,49.619,37.066,48.176,44.167,45.087,41.76,50.402,NA,91.284,56.77,30.593,NA,NA,73.638,NA,NA,3.097,55.23,35.924,NA,NA,50.942,54.079,69.386,-2.351,19.647,NA,NA,NA,NA,91.615,68.532,49.206,53.164,55.607,40.91,10.701,NA,23.572,31.458,40.046,100,NA,13.434,NA,49.675,NA,45.481,27.987,47.915,82.099,96.239,100,26.414,32.715,NA,48.267,NA,19.977,NA,78.77,19.3,NA,35.114,44.362,18.58,NA,21.938,47.971,19.643,NA,75.339,26.797,100,26.746,24.542,11.146,-110.223,35.719,19.887,47.515,30.18,19.234,52.637,NA,48.995,NA,30.509,NA,6.352,97.134,34.852,82.693,22.195,37.598,NA,NA,20.897,25.179,NA,61.101,NA,NA,NA,NA,NA,NA,28.411,53.316,54.929,NA,NA,20.023,NA,NA
Net Income Margin,274478,16.20,11.24,39.93,NA,NA,(42.14),30.76,10.62,13.06,NA,15.386,0.776,1.521,NA,NA,NA,NA,75.803,55.182,NA,NA,NM,6.627,-55.33,NA,-9.253,1238.384,17.675,NA,7.27,15.514,NA,NA,-4.015,26.97,NA,NA,NA,-5.643,NA,NA,-6.856,10.645,15.767,11.111,14.306,14.611,13.052,NA,24.708,12.204,6.654,NA,NA,37.601,NA,NA,-5.807,3.781,-21.904,NA,NA,7.542,-6.304,9.779,-71.434,4.638,NA,NA,NA,NA,28.571,8.385,-4.497,20.746,5.97,1.517,-11.025,NA,9.421,5.896,2.396,NM,NA,2.558,NA,23.479,NA,21.866,6.627,11.903,35.54,73.847,-81.538,1.53,-67.815,NA,14.514,NA,10.07,NA,23.183,-57.277,NA,10.474,14.594,3.596,NA,-0.379,27.16,-3.465,NA,26.225,10.998,107.365,-71.06,-0.731,3.406,NM,8.957,-2.22,16.626,8.674,2.965,21.822,NA,14.077,NA,5.565,24.879,-3.714,30.378,6.923,15.539,2.072,9.133,NA,NA,8.683,5.608,NA,13.148,NA,NA,NA,NA,NA,NA,-2.135,-14.508,10.776,6.465,NA,8.681,NA,NA
Earnings from Cont Ops Margin,274479,16.22,11.24,39.93,NA,NA,(42.14),30.72,10.76,13.06,NA,15.386,0.78,1.521,NA,NA,NA,NA,78.4,55.204,NA,NA,NM,12.957,-48.593,NA,-8.936,NM,17.759,NA,7.291,15.514,NA,NA,-4.015,26.97,NA,NA,NA,-5.643,NA,NA,-11.884,10.645,14.96,11.111,14.306,14.611,13.052,NA,24.708,12.402,4.299,NA,NA,37.646,NA,NA,-5.807,4.945,-21.868,NA,NA,7.912,-6.141,9.779,-71.404,4.638,NA,NA,NA,NA,28.571,8.208,-4.497,20.815,5.97,1.517,-11.025,NA,9.421,5.896,2.396,NM,NA,2.546,NA,23.479,NA,21.866,6.627,11.964,35.54,73.895,-81.538,1.597,-67.815,NA,14.514,NA,10.07,NA,23.183,-57.214,NA,10.474,14.594,3.596,NA,-0.379,27.16,-3.465,NA,26.225,11.026,108.455,-70.694,4.331,3.467,NM,8.957,-2.22,16.626,8.729,2.965,21.822,NA,14.077,NA,8.484,24.422,-3.791,30.378,6.923,15.539,2.048,9.133,NA,NA,8.683,5.608,NA,13.562,NA,NA,NA,NA,NA,NA,-1.813,-14.508,11.601,5.414,NA,8.681,NA,NA
EBIT Margin,274481,21.25,21.67,54.98,NA,NA,NA,55.03,19.20,20.998,NA,23.499,2.232,5.82,NA,NA,NA,NA,36.563,70.099,NA,NA,0.555,19.585,18.459,NA,2.452,1578.788,NA,NA,15.51,22.839,NA,NA,4.768,41.611,NA,NA,NA,NA,NA,NA,30.625,14.151,23.382,20.741,23.121,22.623,20.08,NA,47.667,14.187,14.039,NA,NA,38.029,NA,NA,-2.675,12.688,-26.965,NA,NA,16.578,11.442,21.489,-72.279,8.024,NA,NA,NA,NA,55.59,NA,-4.233,40.29,18.791,4.086,-8.872,NA,11.985,7.987,2.942,87.241,NA,3.128,NA,37.167,NA,15.743,10.741,15.166,49.879,65.584,NA,5.456,3.606,NA,37.143,NA,14.339,NA,31.818,7.058,NA,16.86,23.383,6.666,NA,0.386,37.327,1.514,NA,40.615,13.957,NA,-9.755,13.829,6.378,-165.964,12.374,-2.598,30.39,17.143,4.667,27.023,NA,21.938,NA,13.44,NA,-2.348,NA,11.775,NA,2.362,12.137,NA,NA,11.45,8.631,NA,25.489,NA,NA,NA,NA,NA,NA,-1.502,32.176,17.499,NA,NA,13.6,NA,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
