SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Levered Free Cash Flow,272625,"1,185,250","-210,437.50","-322,338",NA,NA,NA,"2,450,500","-1,000,750","101,415.13",NA,"-95,087.50","-23,829.38","-440,750.00",NA,NA,NA,NA,"-127,129.75","1,371,000.00",NA,NA,"43,189.25","-219,250.00","-779,500.00",NA,"-121,375.00","561,000.00",NA,NA,"-7,000.00","43,481.00",NA,NA,"242,125.00","799,625.00",NA,NA,NA,NA,NA,NA,"-732,625.00","153,068.75","-1,175,125.00","-94,625.00","97,625.00","-8,224.13","-122,500.00",NA,"58,742.13","-53,525.00","571,375.00",NA,NA,"-6,679.63",NA,NA,"2,757,125.00","103,187.50","-62,742.25",NA,NA,"760,641.88","388,425.00","-10,714.25","81,834.25","1,384,625.00",NA,NA,NA,NA,"-104,875.00",NA,"76,500.00","145,012.50","377,750.00","65,125.00",NA,NA,"134,880.38","3,914,125.00","313,500.00","56,826.13",NA,"192,714.50",NA,"1,315,587.50",NA,"-807,250.00","32,595.50","321,000.00","123,873.38","57,377.88",NA,"53,750.00","-68,750.00",NA,"749,500.00",NA,"2,216,750.00",NA,"4,903,750.00","-7,375.00",NA,"-1,012,875.00","-151,000.00","13,384.75",NA,"-23,450.00","85,162.50","-44,475.00",NA,"480,000.00",NA,NA,"-1,342,779.25","2,284,125.00","323,500.00","-80,250.38","-1,469,625.00","132,125.00","-212,699.00","-180,210.00","855,828.25","-21,041.00",NA,"-133,000.00",NA,"10,441,875.00",NA,"-2,584,875.00",NA,"-22,712.50",NA,"3,439,125.00","69,232.50",NA,NA,"114,125.00","-158,350.00",NA,"-41,077,000.00",NA,NA,NA,NA,NA,NA,"-113,666.75","-28,375.00",NA,NA,NA,"509,250.00",NA,"-12,600.30"
Cash from Ops. to Curr. Liab. (x),274482,0.81,0.39,0.73,NA,NA,NA,1.22,NM,2.11,NA,1.40,NM,NM,NA,NA,NA,NA,1.19,NM,NA,NA,2.05,NM,NM,NA,NM,0.44,NA,NA,0.37,1.82,NA,NA,0.82,2.74,NA,NA,NA,0.07,NA,NA,0.49,0.40,0.48,0.60,1.47,0.59,0.38,NA,3.84,0.25,NM,NA,NA,1.35,NA,NA,0.19,0.23,NM,NA,NA,0.58,0.86,1.43,NM,0.15,NA,NA,NA,NA,1.05,NM,0.31,1.87,0.30,0.06,NA,NA,5.45,0.97,NM,NM,NA,0.63,NA,1.86,NA,NM,0.46,0.48,0.61,3.07,0.12,0.20,NM,NA,1.81,NA,NM,NA,1.27,0.56,NA,0.42,0.84,0.67,NA,0.12,2.86,NM,NA,0.93,NA,NM,NM,0.08,1.01,NM,0.02,0.32,NM,NM,0.52,NM,NA,0.80,NA,0.07,NA,NM,NM,0.15,NM,1.16,0.46,NA,NA,NM,NM,NA,1.00,NA,NA,NA,NA,NA,NA,1.11,1.05,NA,NA,NA,2.99,NA,0.00
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profitability (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Assets,274473,11.754,2.061,4.582,NA,NA,1.749,14.414,2.7,1.557,NA,3.318,4.517,-5.648,NA,NA,NA,NA,2.563,-0.744,NA,NA,3.918,8.304,3.272,NA,4.275,6.991,1.395,NA,5.838,7.398,NA,NA,4.35,7.001,NA,NA,NA,5.62,NA,NA,3.271,8.693,2.225,2.457,3.184,3.829,3.099,NA,1.684,7.95,1.644,NA,NA,2.78,NA,NA,2.917,3.257,-0.837,NA,NA,2.074,3.506,1.682,-0.685,10.718,NA,NA,NA,NA,4.281,4.237,-1.629,6.75,3.523,-7.642,NA,NA,16.877,11.67,-8.188,4.713,NA,4.666,NA,10.132,NA,0.565,4.635,8.263,14.512,3.871,1.717,3.827,3.53,NA,6.851,NA,7.038,NA,7.398,7.825,NA,1.76,2.281,9.542,NA,10.015,6.417,0.53,NA,9.888,NA,3.522,-6.059,2.285,4.987,-8.506,1.603,-9.046,5.65,4.81,4.794,-0.224,NA,3.01,NA,6.194,0.798,1.039,1.067,3.254,2.219,7.782,10.857,NA,NA,11.408,0.869,NA,6.305,NA,NA,NA,NA,NA,NA,-0.271,2.842,NA,0.959,NA,14.359,NA,NA
Return on Capital,274474,16.936,2.761,5.798,NA,NA,NA,21.281,4.131,1.605,NA,4.744,9.864,-7.475,NA,NA,NA,NA,2.693,-7.214,NA,NA,4.372,12.802,4.892,NA,5.584,16.455,NA,NA,7.236,13.239,NA,18.707,5.994,9.232,NA,NA,NA,NA,NA,NA,4.851,12.086,3.167,3.22,4.944,5.343,4.272,NA,1.728,10.003,2.808,NA,NA,2.944,NA,NA,4.035,3.923,-1.283,NA,NA,2.453,4.58,1.757,-0.767,79.854,NA,NA,NA,NA,5.342,NA,-2.255,8.191,4.577,-9.666,-12.81,NA,18.559,18.54,-12.986,4.808,NA,7.084,NA,12.226,NA,0.772,6.61,17.005,19.178,3.986,NA,6.339,5.072,NA,9.247,NA,11.653,NA,10.227,10.262,NA,2.715,3.268,11.326,NA,17.054,9.188,0.813,NA,12.092,NA,NA,-6.775,3.444,6.408,-9.924,2.774,-14.758,8.505,7.164,6.795,-0.52,NA,4.187,NA,21.604,NA,3.391,NA,5.258,NA,12.01,15.754,NA,NA,30.721,4.322,NA,8.801,NA,NA,NA,NA,NA,NA,-0.312,4.248,NA,NA,NA,16.338,NA,NA
Return on Equity,274475,48.641,5.71,12.509,NA,NA,21.713,189.466,10.241,3.02,NA,11.128,15.997,70.862,NA,NA,NA,NA,6.593,-14.061,NA,NA,6.153,33.604,13.127,NA,50.729,22.62,15.816,NA,16.337,22.056,NA,32.245,17.744,21.5,NA,NA,NA,55.317,NA,NA,14.654,27.047,7.616,6.145,9.257,12.104,9.144,NA,0.512,24.716,6.071,NA,NA,12.887,NA,NA,40.281,4.967,-22.938,NA,NA,2.921,15.812,2.788,-7.336,-156.397,NA,NA,NA,NA,17.275,23.872,4.186,13.702,5.428,-42.266,-40.073,NA,33.816,290.022,-315.715,15.017,NA,12.917,NA,-81.655,NA,6.406,11.889,-192.345,-170.256,9.174,57.098,9.195,9.174,NA,18.292,NA,83.207,NA,78.785,21.244,NA,2.769,7.302,32.917,NA,48.272,19.832,-0.614,NA,18.922,NA,21.813,-50.486,4.418,10.441,61.043,6.769,5.164,20.612,16.337,68.67,8.822,NA,8.567,NA,33.763,8.146,12.496,10.633,11.686,27.764,54.164,38.798,NA,NA,64.127,5.708,NA,30.308,NA,NA,NA,NA,NA,NA,-1.644,10.188,NA,10.03,NA,30.168,NA,1.915
Return on Common Equity,274476,48.792,5.71,12.509,NA,NA,21.713,197.636,10.306,2.492,NA,11.128,16.111,70.714,NA,NA,NA,NA,9.559,-14.77,NA,NA,6.153,33.604,16.275,NA,50.729,22.62,16.754,NA,16.452,22.067,NA,33.476,20.884,21.514,NA,NA,NA,59.103,NA,NA,16.052,27.047,8.362,6.145,9.257,12.104,9.144,NA,-0.403,24.864,6.192,NA,NA,12.884,NA,NA,40.448,4.202,-23.087,NA,NA,2.912,15.983,2.788,-7.223,-156.397,NA,NA,NA,NA,17.275,24.197,4.186,14.761,5.428,-42.266,-40.55,NA,33.816,289.154,-315.715,15.017,NA,12.851,NA,-81.655,NA,6.406,11.889,-185.199,-170.256,9.224,57.409,9.701,9.234,NA,18.264,NA,83.207,NA,83.506,21.458,NA,2.75,7.304,32.917,NA,48.278,19.832,-0.614,NA,18.922,NA,24.091,-50.486,4.292,10.242,61.043,6.907,5.164,20.612,17.221,70.576,8.822,NA,8.567,NA,36.07,8.394,11.81,11.891,11.686,30.967,53.324,38.798,NA,NA,64.127,5.708,NA,30.171,NA,NA,NA,NA,NA,NA,-2.417,10.188,NA,10.276,NA,30.168,NA,1.915
Gross Profit Margin,274477,50.412,61.203,93.169,NA,NA,NA,66.393,48.463,52.895,NA,42.521,11.091,23.277,NA,NA,NA,NA,63.234,-22.222,NA,NA,70.912,31.348,35.925,NA,23.743,36.057,NA,NA,30.244,34.41,-0.935,64.293,35.137,51.831,NA,NA,NA,96.551,NA,NA,48.811,38.838,49.252,45.413,46.98,42.099,54.699,NA,86.111,60.157,41.17,NA,NA,71.389,NA,NA,14.663,56.536,50.294,40.796,NA,53.505,55.481,68.901,32.198,21.245,NA,NA,NA,NA,93.452,82.003,25.476,52.238,55.548,34.102,9.495,NA,27.022,33.103,30.083,100,NA,14.733,NA,52.068,NA,27.273,27.727,48.618,82.07,97.364,100,27.073,32.168,NA,50.474,NA,19.002,NA,79.93,23.185,NA,31.552,45.008,18.993,NA,25.254,43.171,24.215,NA,75.502,NA,100,NM,17.796,10.415,NM,37.792,-26.511,49.772,32.462,18.848,44.34,NA,49.082,NA,37.29,NA,12.992,96.882,38.542,90.824,24.297,36.087,NA,NA,23.113,23.604,NA,58.858,NA,NA,NA,NA,NA,NA,27.318,49.945,NA,NA,NA,42.937,NA,NA
Net Income Margin,274478,18.348,12.658,41.952,NA,NA,37.654,29.18,15.575,15.651,NA,14.994,2.46,-17.956,NA,NA,NA,NA,16.24,-62.5,NA,NA,3.443,13.918,14.252,NA,11.132,27.84,37.538,NA,12.281,15.195,-14.265,42.435,18.207,25.098,NA,NA,NA,50.411,NA,NA,26.047,12.462,16.13,10.627,15.034,15.722,17.105,NA,3.066,16.62,-6.239,NA,NA,54.71,NA,NA,9.004,8.752,-6.732,13.449,NA,9.883,10.423,11.67,-34.943,6.826,NA,NA,NA,NA,29.762,23.679,9.286,21.671,11.199,-22.282,-10.354,NA,14.117,6.795,-113.755,91.305,NA,3.698,NA,29.996,NA,13.496,5.533,13.762,41.139,44.123,49.072,1.943,3.89,NA,25.502,NA,23.971,NA,24.031,10.966,NA,3.753,13.607,5.587,NA,7.559,25.412,-0.912,NA,26.897,NA,26.526,NM,4.937,2.049,NM,10.938,5.653,22.745,13.24,1.842,20.267,NA,15.359,NA,-11.091,23.152,-3.529,31.474,10.59,38.461,2.917,12.747,NA,NA,9.528,4.98,NA,15.958,NA,NA,NA,NA,NA,NA,-2.335,20.437,NA,23.677,NA,27.175,NA,NA
Earnings from Cont Ops Margin,274479,18.382,12.658,41.952,NA,NA,37.654,29.119,15.709,15.651,NA,14.994,2.471,-17.956,NA,NA,NA,NA,18.571,-62.286,NA,NA,3.443,13.918,10.993,NA,11.132,27.84,37.704,NA,12.311,15.195,-13.833,43.729,18.207,25.098,NA,NA,NA,50.411,NA,NA,25.323,12.462,15.301,10.627,15.034,15.722,17.105,NA,3.066,16.727,11.334,NA,NA,54.725,NA,NA,9.004,8.871,-6.704,13.61,NA,9.97,10.54,11.67,-35.764,6.826,NA,NA,NA,NA,29.762,23.618,9.286,21.728,11.199,-22.282,-10.354,NA,14.117,6.795,-113.755,91.305,NA,3.724,NA,29.996,NA,13.496,5.533,13.818,41.139,44.187,49.072,2.008,3.89,NA,25.502,NA,23.971,NA,24.031,10.966,NA,3.753,13.607,5.587,NA,7.503,25.412,-0.912,NA,26.897,NA,27.379,NM,5.331,2.106,NM,10.938,5.653,22.745,13.415,1.842,20.267,NA,15.359,NA,19.324,23.277,-3.687,31.474,10.59,38.461,2.917,12.747,NA,NA,9.528,4.98,NA,16.363,NA,NA,NA,NA,NA,NA,-1.607,20.437,NA,23.953,NA,27.175,NA,NA
EBIT Margin,274481,25.105,25.233,57.688,NA,NA,NA,56.824,23.396,19.214,NA,21.86,3.58,-13.362,NA,NA,NA,NA,32.315,-77.885,NA,NA,10.794,19.436,17.825,NA,14.431,35.07,NA,NA,19.474,20.897,-20.022,55.822,16.109,39.566,NA,NA,NA,NA,NA,NA,32.558,17.148,23.577,18.801,24.027,23.521,23.496,NA,39.443,25.276,18.415,NA,NA,36.498,NA,NA,8.504,15.693,-1.304,16.291,NA,18.445,13.213,23.647,-13.158,9.51,NA,NA,NA,NA,55.655,NA,-12.619,38.569,24.328,-19.152,-6.791,NA,17.459,10.119,-20.68,85.279,NA,5.659,NA,41.016,NA,4.873,8.935,19.853,53.169,60.951,NA,8.484,8.96,NA,39.409,NA,13.203,NA,36.17,15.561,NA,14.61,18.921,8.052,NA,10.327,32.685,3.85,NA,41.016,NA,NA,NM,9.671,6.09,NM,15.137,-61.793,31.975,19.184,3.694,-3.303,NA,22.371,NA,25.452,NA,4.127,NA,15.22,NA,3.454,14.249,NA,NA,13.019,7.917,NA,25.402,NA,NA,NA,NA,NA,NA,-1.002,27.158,NA,NA,NA,38.029,NA,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
