SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Ops. to Curr. Liab. (x),274482,0.66,NA,0.51,NA,NA,NA,1.43,0.98,1.74,NA,0.19,0.04,3.10,NA,NA,NA,NA,1.10,NM,NA,NA,1.31,0.27,0.50,NA,0.52,0.41,NA,NA,0.32,0.37,0.42,0.26,0.75,1.77,NA,NA,NA,NA,NA,NA,0.38,0.86,0.70,1.15,0.33,1.00,1.04,NA,0.52,0.81,0.48,NA,NA,0.91,NA,NA,0.14,0.65,0.20,0.46,NA,0.28,0.86,NA,0.95,0.22,NA,NA,NA,NA,0.83,NA,1.41,NA,0.34,0.76,0.54,NA,4.88,0.19,1.16,NM,NA,0.46,NA,2.47,NA,1.56,0.86,0.83,1.10,1.28,0.14,0.23,0.26,NA,1.13,NA,1.12,NA,0.75,0.89,NA,0.51,NM,1.50,NA,0.32,0.10,0.69,NA,2.46,NA,NM,0.54,0.28,0.33,NM,0.74,0.11,0.42,0.35,0.48,NM,NA,0.67,NA,0.17,NA,0.05,NM,0.67,NM,0.35,1.37,NA,NA,0.09,1.89,NA,0.59,NA,NA,NA,NA,NA,NA,0.71,0.31,NA,NA,NA,NM,NA,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profitability (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Assets,274473,5.05,NA,3.19,NA,NA,0.67,42.32,2.19,2.157,NA,2.905,3.028,34.395,NA,NA,NA,NA,4.074,0.417,NA,NA,5.094,4.24,2.937,NA,4.19,5.228,0.381,NA,4.572,0.222,2.639,0.603,5.731,6.6,NA,NA,NA,NA,NA,NA,1.983,7.126,2.711,3.601,2.768,3.894,3.144,NA,4.244,5.925,2.542,NA,NA,4.907,NA,NA,-2.601,4.781,4.503,6.134,NA,2.659,13.496,NA,1.077,6.671,NA,NA,NA,NA,4.273,1.187,2.522,NA,4.624,3.53,4.76,NA,1.2,9.892,8.888,5.742,NA,5.408,NA,13.149,NA,0.643,6.424,12.307,20.742,4.728,-0.041,1.072,3,NA,5.16,NA,9.615,NA,7.833,3.094,NA,2.41,1.274,4.612,NA,1.074,3.595,1.536,NA,3.415,NA,0.723,5.726,3.932,6.32,-0.955,5.042,3.303,4.272,3.927,11.031,1.342,NA,2.54,NA,10.478,1.267,-1.195,2.057,2.733,1.021,4.89,4.519,NA,NA,0.484,1.065,NA,4.817,NA,NA,NA,NA,NA,NA,0.251,2.894,NA,1.03,NA,-2.644,NA,NA
Return on Capital,274474,10.65,NA,3.95,NA,NA,NA,65.33,3.16,2.228,NA,4.1,8.276,47.201,NA,NA,NA,NA,4.26,6.212,NA,NA,5.754,6.212,3.983,NA,4.991,12.89,NA,NA,5.577,0.386,6.214,8.506,8.14,8.799,NA,NA,NA,NA,NA,NA,2.746,8.805,3.673,4.532,4.062,5.153,4.066,NA,4.429,7.066,3.724,NA,NA,5.234,NA,NA,-3.712,5.739,7.63,10.66,NA,3.142,19.304,NA,1.271,26.678,NA,NA,NA,NA,5.359,NA,3.328,NA,5.738,4.48,9.288,NA,1.259,16.763,14.54,5.963,NA,8.78,NA,14.801,NA,0.874,8.919,19.205,31.027,4.883,NA,1.702,4.099,NA,7.007,NA,14.227,NA,10.076,4.174,NA,3.634,1.797,5.335,NA,1.988,4.773,2.101,NA,4.196,NA,NA,7.365,6.237,8.364,-1.217,7.996,7.019,6.036,5.469,17.808,3.246,NA,3.209,NA,34.079,NA,-3.482,NA,3.6,NA,7.398,6.231,NA,NA,1.708,4.494,NA,6.673,NA,NA,NA,NA,NA,NA,0.318,4.02,NA,NA,NA,-2.925,NA,NA
Return on Equity,274475,48.74,NA,7.84,NA,NA,8.55,(147.75),7.66,6.772,NA,6.824,11.788,-115.746,NA,NA,NA,NA,16.224,8.325,NA,NA,6.229,11.398,9.518,NA,19.298,17.268,4.719,NA,11.563,-4.705,11.681,22.572,19.315,22.224,NA,NA,NA,NA,NA,NA,6.46,14.588,9.117,7.259,7.508,8.659,6.564,NA,11.461,14.379,8.35,NA,NA,12.627,NA,NA,-106.037,11.809,-78.086,23.132,NA,3.384,162.594,NA,0.592,-510.024,NA,NA,NA,NA,15.997,8.16,5.616,NA,5.554,5.048,21.766,NA,3.318,-32.52,31.452,17.692,NA,18.797,NA,-437.835,NA,8.074,13.506,108.992,-49.827,9.953,-0.826,27.38,-49.528,NA,16.788,NA,34.952,NA,71.713,-26.983,NA,9.141,3.64,9.887,NA,-122.126,9.848,3.448,NA,-69.099,NA,3.989,29.688,10.262,24.584,-44.89,34.143,16.399,13.619,7.081,111.73,9.221,NA,5.807,NA,52.715,13.179,-2351.931,19.909,5.1,14.764,23.952,20.388,NA,NA,-4.878,6.323,NA,9.234,NA,NA,NA,NA,NA,NA,-20.292,4.552,NA,11.852,NA,3.138,NA,NA
Return on Common Equity,274476,49.48,NA,7.76,NA,NA,9.24,(144.96),7.70,6.769,NA,6.824,11.989,-115.635,NA,NA,NA,NA,27.555,6.823,NA,NA,6.229,11.398,9.518,NA,19.368,17.268,4.453,NA,11.563,-4.708,11.955,24.808,18.506,22.232,NA,NA,NA,NA,NA,NA,8.483,14.588,9.203,7.259,7.508,8.659,6.564,NA,10.454,14.738,8.35,NA,NA,12.721,NA,NA,-106.201,11.823,-68.919,23.13,NA,3.177,170.684,NA,0.636,-510.024,NA,NA,NA,NA,15.997,7.434,5.616,NA,5.554,5.048,23.865,NA,3.318,-32.463,31.452,17.692,NA,17.918,NA,-437.835,NA,8.074,13.506,109.605,-49.827,10.155,-0.826,30.735,-49.528,NA,16.762,NA,34.952,NA,73.736,-27.339,NA,9.161,3.64,9.887,NA,-122.797,9.848,3.448,NA,-69.099,NA,3.003,29.966,10,24.584,-63.49,36.474,16.399,13.619,7.081,113.22,9.221,NA,5.807,NA,56.223,14.539,-2317.094,22.208,5.1,15.955,23.79,20.388,NA,NA,-4.878,6.323,NA,8.943,NA,NA,NA,NA,NA,NA,-21.133,6.058,NA,12.433,NA,3.138,NA,NA
Gross Profit Margin,274477,33.56,NA,88.11,NA,NA,NA,130.68,52.61,56.174,NA,37.792,11.419,46.681,NA,NA,NA,NA,66.925,27.373,NA,NA,64.972,37.931,45.11,NA,29.539,28.567,NA,NA,25.458,19.126,16.299,23.45,35.54,44.242,NA,NA,NA,NA,NA,NA,41.363,39.74,53.704,56.439,45.934,44.066,64.966,NA,91.761,57.358,46.545,NA,NA,76.5,NA,NA,1.262,63.154,57.393,39.681,NA,70.833,59.887,NA,24.008,20.234,NA,NA,NA,NA,95.313,64.48,39.123,NA,53.768,35.649,22.184,NA,17.875,32.861,37.667,100,NA,12.903,NA,57.512,NA,41.235,28.081,52.426,82.568,75.811,100,25,33.105,NA,43.04,NA,19.604,NA,70.188,23.763,NA,38.654,31.132,23.012,NA,20.802,33.85,29.478,NA,71.355,NA,100,48.955,19.461,12.622,28.749,90.888,24.227,57.332,56.451,18.857,51.473,NA,48.442,NA,42.756,NA,7.566,97.759,32.957,81.941,26.498,31.514,NA,NA,12.723,32.573,NA,55.271,NA,NA,NA,NA,NA,NA,31.846,46.197,NA,NA,NA,10.448,NA,NA
Net Income Margin,274478,9.41,NA,26.17,NA,NA,17.28,21.99,14.76,27.967,NA,10.111,2.225,16.254,NA,NA,NA,NA,26.592,7.184,NA,NA,4.023,14.286,10.539,NA,7.704,21.87,13.995,NA,9.203,-4.392,7.112,12.371,12.811,20.525,NA,NA,NA,NA,NA,NA,13.853,13.438,15.806,16.515,12.6,13.462,16.327,NA,37.09,11.338,10.976,NA,NA,39.367,NA,NA,-24.11,16.543,-6.616,10.337,NA,11.254,13.943,NA,0.961,5.431,NA,NA,NA,NA,29.464,10.394,11.688,NA,7.846,0.889,1.816,NA,3.654,6.058,4.271,90.085,NA,3.622,NA,30.875,NA,26.461,6.365,19.201,34.609,35.509,-5.376,13.611,-16.605,NA,21.654,NA,12.184,NA,21.549,-13.912,NA,12.625,5.605,3.147,NA,-15.637,17.313,6.665,NA,-178.085,NA,7.412,17.704,6.692,5.332,-14.211,38.389,4.34,24.474,14.221,2.512,14.965,NA,12.04,NA,22.093,28.069,34.324,38.81,5.345,29.64,1.848,6.847,NA,NA,-0.081,5.367,NA,6.437,NA,NA,NA,NA,NA,NA,-21.45,13.657,NA,26.471,NA,4.802,NA,NA
Earnings from Cont Ops Margin,274479,9.36,NA,30.58,NA,NA,17.28,21.99,14.82,27.967,NA,10.111,2.213,16.254,NA,NA,NA,NA,28.344,7.236,NA,NA,4.023,14.286,10.539,NA,7.734,21.87,14.29,NA,9.203,-4.392,7.112,12.128,13.926,20.525,NA,NA,NA,NA,NA,NA,12.851,13.09,16.073,16.515,12.6,13.462,16.327,NA,37.09,11.376,10.976,NA,NA,39.654,NA,NA,-24.088,17.06,-6.362,10.565,NA,10.347,14.047,NA,0.909,5.431,NA,NA,NA,NA,29.464,10.425,11.688,NA,7.846,0.889,1.816,NA,3.654,6.058,4.271,90.085,NA,3.885,NA,30.875,NA,26.461,6.365,19.231,34.609,35.174,-5.376,10.833,-16.605,NA,21.654,NA,12.184,NA,21.549,-13.119,NA,12.625,5.605,3.147,NA,-15.621,17.313,6.665,NA,-178.085,NA,7.9,17.892,7.067,5.332,-14.211,38.389,4.34,24.474,14.526,2.512,14.965,NA,12.04,NA,22.064,28.223,34.324,38.81,5.345,29.64,1.848,6.847,NA,NA,-0.081,5.367,NA,6.729,NA,NA,NA,NA,NA,NA,-20.987,11.839,NA,26.778,NA,4.802,NA,NA
EBIT Margin,274481,12.41,NA,45.66,NA,NA,NA,116.70,24.61,24.485,NA,19.574,3.712,24.327,NA,NA,NA,NA,39.95,21.29,NA,NA,11.821,22.085,21.477,NA,18.802,27.596,NA,NA,13.7,0.899,9.845,15.122,16.56,32.725,NA,NA,NA,NA,NA,NA,22.038,18.226,28.087,32.121,20.619,24.615,28.571,NA,52.915,18.109,21.619,NA,NA,50.153,NA,NA,-6.69,20.125,4.464,15.725,NA,27.877,20.672,NA,7.361,7.439,NA,NA,NA,NA,56.027,NA,18.506,NA,22.627,3.743,5.105,NA,4.035,9.367,7.481,86.519,NA,5.385,NA,45.071,NA,8.159,10.858,27.811,55.942,48.278,NA,2.361,6.958,NA,31.17,NA,16.53,NA,32.484,7.656,NA,19.768,10.377,6.212,NA,1.128,22.961,13.309,NA,19.845,NA,NA,21.977,11.024,7.236,-4.611,35.698,5.093,34.893,33.914,5.545,18.009,NA,20.113,NA,29.017,NA,-3.178,NA,12.126,NA,3.279,5.899,NA,NA,0.567,8.354,NA,20.989,NA,NA,NA,NA,NA,NA,1.361,29.696,NA,NA,NA,-11.421,NA,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
