SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Ops. to Curr. Liab. (x),274482,0.25,0.58,0.90,NA,NA,NA,1.11,0.41,NA,NA,0.28,0.11,0.58,NA,NA,NA,NA,0.44,NM,NA,NA,1.37,0.72,0.21,NA,1.41,0.48,NA,NA,0.13,NA,NA,NM,0.25,1.58,NA,NA,NA,NA,NA,NA,0.31,0.30,0.30,0.69,1.14,NA,0.63,NA,3.65,0.40,0.72,NA,NA,1.59,NA,NA,0.05,0.43,NA,0.14,NA,NM,0.81,NA,NM,0.05,NA,NA,NA,NA,0.54,NM,0.30,NA,0.11,NM,NM,NA,NM,0.60,NM,NM,NA,0.12,NA,2.33,NA,NA,NM,0.33,0.76,1.03,NM,0.15,NM,NA,0.41,NA,NM,NA,0.82,NM,NA,0.87,NM,NM,NA,NM,NA,0.05,NA,1.65,NA,0.02,0.66,0.13,0.27,NM,0.71,0.45,1.17,0.89,0.03,1.90,NA,NA,NA,0.20,NA,NM,0.07,0.71,NM,0.52,0.10,NA,NA,0.27,1.59,NA,0.46,NA,NA,NA,NA,NA,NA,0.89,0.65,NA,NA,NA,0.20,NA,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profitability (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Assets,274473,9.608,NA,4.256,NA,NA,0.649,21.292,2.954,3.724,NA,3.84,3.028,10.714,NA,NA,NA,NA,2.257,-1.003,NA,NA,3.93,5.686,3.465,NA,4.81,2.062,0.874,NA,3.718,NA,NA,0.242,5.214,7.16,NA,NA,NA,NA,NA,NA,3.078,6.251,2.972,3.612,2.747,NA,3.857,NA,4.026,6.042,3.449,NA,NA,2.973,NA,NA,2.173,4.11,5.246,3.843,NA,1.58,12.014,NA,1.158,5.36,NA,NA,NA,NA,4.244,0.848,2.261,NA,2.939,1.103,3.394,NA,-0.012,14.094,1.37,5.294,NA,3.481,NA,12.062,NA,NA,6.656,6.992,20.31,4.584,0.14,-1.275,0.973,NA,5.351,NA,5.696,NA,6.714,3.184,NA,2.799,1.392,5.141,NA,-0.37,NA,0.36,NA,4.582,NA,0.823,6.967,4.26,5.785,-7.84,2.875,2.824,5.574,5.316,8.203,-1.848,NA,NA,NA,6.587,1.261,0.572,2.015,4.699,1.164,6.886,7.12,NA,NA,9.422,1.409,NA,5.275,NA,NA,NA,NA,NA,NA,0.769,3.623,NA,0.972,NA,2.347,NA,NA
Return on Capital,274474,20.485,NA,5.334,NA,NA,NA,33.914,4.245,3.85,NA,5.363,10.208,14.702,NA,NA,NA,NA,2.357,-14.848,NA,NA,4.486,8.399,4.65,NA,5.801,5.076,NA,NA,4.546,NA,NA,3.416,7.382,9.585,NA,NA,NA,NA,NA,NA,4.256,7.733,4.011,4.527,3.994,NA,4.996,NA,4.195,7.203,5.059,NA,NA,3.163,NA,NA,3.115,4.93,8.961,6.688,NA,1.972,16.212,NA,1.362,21.562,NA,NA,NA,NA,5.311,NA,3.033,NA,3.524,1.356,6.985,NA,-0.012,24.345,2.146,5.492,NA,5.634,NA,13.521,NA,NA,9.234,11.049,30.531,4.734,NA,-2.003,1.325,NA,7.235,NA,8.34,NA,8.797,4.3,NA,4.18,1.912,5.912,NA,-0.687,NA,0.492,NA,5.754,NA,NA,9.087,6.797,7.623,-9.92,4.532,6.059,7.851,7.346,13.361,-4.404,NA,NA,NA,20.758,NA,1.622,NA,6.25,NA,10.803,9.953,NA,NA,33.58,5.9,NA,7.276,NA,NA,NA,NA,NA,NA,0.978,5.029,NA,NA,NA,2.58,NA,NA
Return on Equity,274475,65.426,NA,10.638,NA,NA,8.204,-264.086,10.524,7.778,NA,12.346,14.013,-29.65,NA,NA,NA,NA,7.203,-49.049,NA,NA,4.267,14.628,11.185,NA,30.184,6.931,11.142,NA,7.373,NA,NA,-1.914,13.238,24.142,NA,NA,NA,NA,NA,NA,9.367,12.823,11.426,8.438,7.487,NA,8.72,NA,10.754,14.716,12.651,NA,NA,21.024,NA,NA,27.779,8.693,-2.824,15.295,NA,-3.184,128.741,NA,0.838,-392.086,NA,NA,NA,NA,16.165,5.983,5.082,NA,3.654,-1.583,16.741,NA,0.411,-47.764,3.376,6.437,NA,8.238,NA,-515.567,NA,NA,15.543,58.998,-59.831,10.35,2.846,-0.698,-5.578,NA,13.958,NA,20.717,NA,51.311,4.118,NA,9.915,2.54,13.312,NA,-23.778,NA,1.657,NA,-8.368,NA,4.668,37.449,12.766,17.651,-165.41,10.818,12.224,15.334,13.73,95.968,9.475,NA,NA,NA,31.626,14.468,-0.489,20.101,12.056,18.077,40.398,18.91,NA,NA,519.708,8.432,NA,19.57,NA,NA,NA,NA,NA,NA,-4.129,9.849,NA,11.647,NA,6.615,NA,NA
Return on Common Equity,274476,65.587,NA,10.731,NA,NA,8.798,-259.556,10.594,7.09,NA,12.346,14.114,-29.619,NA,NA,NA,NA,10.559,-51.382,NA,NA,4.267,14.628,11.185,NA,30.774,6.931,11.312,NA,7.373,NA,NA,-1.842,12.566,24.152,NA,NA,NA,NA,NA,NA,8.69,12.823,11.66,8.438,7.487,NA,8.72,NA,9.744,15.002,12.651,NA,NA,21.025,NA,NA,27.769,8.704,-3.44,14.786,NA,-3.661,133.738,NA,0.87,-392.086,NA,NA,NA,NA,16.165,5.879,5.082,NA,4.254,-1.583,18.263,NA,0.411,-47.618,3.376,6.437,NA,7.41,NA,-515.567,NA,NA,15.543,59.104,-59.831,10.545,2.846,-2.132,-5.578,NA,13.932,NA,20.717,NA,52.496,4.055,NA,9.951,2.54,13.312,NA,-24.018,NA,1.657,NA,-8.368,NA,3.871,37.93,12.524,17.651,-259.209,11.101,12.224,15.334,13.73,97.716,9.475,NA,NA,NA,33.366,15.832,-6.3,22.524,12.056,19.702,40.004,18.91,NA,NA,519.708,8.432,NA,19.425,NA,NA,NA,NA,NA,NA,-4.952,9.057,NA,12.212,NA,6.615,NA,NA
Gross Profit Margin,274477,40.73,64.504,91.176,NA,NA,NA,73.602,51.698,56.559,NA,41.731,11.511,45.365,NA,NA,NA,NA,59.618,14.983,NA,NA,64.912,34.296,41.613,NA,30.618,12.958,NA,NA,24.36,NA,NA,24.195,36.873,48.076,NA,NA,NA,NA,NA,NA,44.152,39.687,48.834,52.375,42.029,NA,50.739,NA,91.405,53.478,41.425,NA,NA,72.496,NA,NA,12.233,63.166,59.92,38.531,NA,57.113,68.226,NA,61.466,19.636,NA,NA,NA,NA,94.08,82.436,59.159,NA,52.767,43.273,21.266,NA,18.865,33.378,41.686,100,NA,12.482,NA,55.9,NA,NA,26.741,50.368,83.333,73.141,100,21.452,33.118,NA,43.996,NA,19.836,NA,67.279,22.87,NA,39.907,32.633,22.75,NA,20.952,NA,24.829,NA,72.027,NA,100,49.528,20.81,11.135,-27.724,51.953,23.3,59.041,58.785,18.446,58.399,NA,NA,NA,32.477,NA,11.46,97.485,41.187,81.682,23.421,33.446,NA,NA,23.597,30.97,NA,60.299,NA,NA,NA,NA,NA,NA,34.963,42.749,NA,NA,NA,18.413,NA,NA
Net Income Margin,274478,10.829,22.901,31.661,NA,NA,16.763,45.881,17.073,27.807,NA,16.71,2.482,7.374,NA,NA,NA,NA,13.163,-50.561,NA,NA,2.762,13.553,10.622,NA,12.519,9.57,26.226,NA,6.249,NA,NA,-1.411,8.953,23.176,NA,NA,NA,NA,NA,NA,12.373,11.61,16.888,15.854,11.491,NA,14.79,NA,35.052,10.401,12.69,NA,NA,75.858,NA,NA,5.891,12.755,-0.356,7.581,NA,-60.608,19.836,NA,3.487,3.775,NA,NA,NA,NA,28.964,8.686,9.91,NA,6.791,-0.464,1.496,NA,0.676,7.84,0.793,34.96,NA,1.589,NA,30.428,NA,NA,7.166,13.486,47.72,34.832,13.6,-0.825,-2.13,NA,18.245,NA,8.855,NA,19.61,-4.636,NA,13.864,3.927,3.959,NA,-2.83,NA,3.417,NA,-21.503,NA,8.755,21.137,9.327,3.623,-119.046,15.82,3.131,23.546,23.649,2.251,17.206,NA,NA,NA,14.503,30.133,-0.018,38.244,12.459,33.29,1.919,6.552,NA,NA,7.343,6.915,NA,14.649,NA,NA,NA,NA,NA,NA,-4.819,16.856,NA,25.863,NA,9.033,NA,NA
Earnings from Cont Ops Margin,274479,10.929,22.901,36.332,NA,NA,16.763,45.881,17.121,31.533,NA,16.71,2.491,7.374,NA,NA,NA,NA,15.441,-50.429,NA,NA,2.762,13.553,10.622,NA,12.519,9.57,26.924,NA,6.249,NA,NA,-1.624,9.846,23.176,NA,NA,NA,NA,NA,NA,15.66,11.626,17.041,15.854,11.491,NA,14.79,NA,35.052,10.51,12.69,NA,NA,75.881,NA,NA,5.898,12.755,-0.267,8.01,NA,-6.493,19.946,NA,3.419,3.775,NA,NA,NA,NA,28.964,7.9,9.91,NA,6.791,-0.464,1.496,NA,0.676,7.84,0.793,34.96,NA,1.819,NA,30.428,NA,NA,7.166,13.559,47.72,34.528,13.6,-0.33,-2.13,NA,18.245,NA,8.855,NA,19.61,1.722,NA,13.864,3.927,3.959,NA,-2.818,NA,3.417,NA,-21.503,NA,9.335,21.316,9.771,3.623,-119.046,15.82,3.131,23.546,23.649,2.251,17.206,NA,NA,NA,14.509,30.096,-0.032,38.244,12.459,33.29,1.924,6.552,NA,NA,7.343,6.915,NA,14.942,NA,NA,NA,NA,NA,NA,-4.075,21.293,NA,26.045,NA,9.033,NA,NA
EBIT Margin,274481,23.317,37.023,53.806,NA,NA,NA,62.295,27.786,41.68,NA,23.65,4.157,14.677,NA,NA,NA,NA,26.307,-63.366,NA,NA,9.229,21.803,21.983,NA,21.719,11.841,NA,NA,11.893,NA,NA,10.567,15.661,36.157,NA,NA,NA,NA,NA,NA,28.751,16.395,25.507,26.65,18.841,NA,23.663,NA,51.313,17.448,22.3,NA,NA,35.011,NA,NA,5.743,17.926,6.272,11.089,NA,12.515,27.584,NA,21.48,6.185,NA,NA,NA,NA,53.911,NA,15.315,NA,19.014,1.856,3.981,NA,-0.06,11.916,1.857,86.996,NA,3.704,NA,44.253,NA,NA,10.862,19.823,53.702,45.292,NA,-3.3,2.711,NA,32.255,NA,11.689,NA,31.381,7.329,NA,22.962,11.836,6.491,NA,-0.448,NA,3.417,NA,27.498,NA,NA,26.168,13.182,6.446,-107.783,26.416,4.552,38.119,37.863,4.175,-27.83,NA,NA,NA,18.954,NA,1.715,NA,20.667,NA,3.232,9.814,NA,NA,11.221,10.604,NA,25.186,NA,NA,NA,NA,NA,NA,3.985,31.494,NA,NA,NA,8.975,NA,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
