SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Levered Free Cash Flow,272625,"5,592,000","(209,313)","(166,875)",NA,NA,NA,"5,854,250","163,250","170,268.50",NA,"118,700.00","219,772.63","-136,500.00",NA,NA,NA,NA,"94,477.75","91,750.00",NA,NA,"23,057.13","168,375.00","-523,375.00",NA,"-115,112.50","-14,500.00",NA,NA,"243,187.50",-426.88,"601,875.00","904,625.00","39,750.00","798,500.00",NA,NA,NA,NA,NA,NA,"-9,460,000.00",NA,"-19,375.00","498,875.00","44,000.00",-40.75,"144,250.00",NA,"93,813.13","259,912.50","-401,625.00",NA,NA,"71,151.00",NA,NA,"-1,460,625.00","371,312.50","4,362.88","666,500.00",NA,"323,786.50","-281,700.00",NA,NA,"1,070,875.00",NA,NA,NA,NA,"-44,500.00",NA,"-152,750.00",NA,"228,125.00","-213,625.00","643,250.00",NA,"-91,100.13","1,285,875.00","-39,500.00","111,933.88",NA,"374,011.50",NA,"2,061,450.00",NA,"-227,625.00","-24,430.00","453,875.00","218,563.13","40,921.13",NA,"56,000.00","374,375.00",NA,"164,375.00",NA,"564,375.00",NA,"1,772,375.00","521,375.00",NA,"-4,875.00","-428,500.00","98,012.50",NA,"-101,825.00","-40,250.00","-84,162.50",NA,"-90,875.00",NA,NA,"-4,088.00","2,224,875.00","105,125.00","195,205.38","624,125.00","-456,875.00","-60,393.13","-46,297.75","773,542.75","3,832.38",NA,"-26,000.00",NA,"2,906,250.00",NA,"123,500.00",NA,"-36,625.00",NA,"14,125.00","41,800.00",NA,NA,"108,125.00","992,462.50",NA,"8,412,250.00",NA,NA,NA,NA,NA,NA,"-197,810.75","-763,875.00",NA,NA,NA,"347,750.00",NA,"-26,572.45"
Cash from Ops. to Curr. Liab. (x),274482,0.49,1.41,1.37,NA,NA,NA,1.14,0.92,1.35,NA,0.85,0.11,NM,NA,NA,NA,NA,1.58,0.09,NA,NA,1.08,0.45,0.60,NA,0.57,0.62,NA,NA,0.46,NM,NM,0.15,0.67,2.12,NA,NA,NA,0.09,NA,NA,0.37,NA,0.82,1.21,0.90,0.52,1.03,NA,5.65,0.97,0.70,NA,NA,1.52,NA,NA,0.18,0.68,NM,0.34,NA,0.27,0.43,NA,NA,0.16,NA,NA,NA,NA,1.37,NM,0.12,NA,0.26,0.11,0.24,NA,NM,0.41,0.11,2.28,NA,0.42,NA,3.03,NA,2.79,0.07,0.54,0.97,1.68,0.10,0.28,0.53,NA,0.91,NA,0.48,NA,0.75,1.51,NA,0.52,0.23,1.38,NA,0.05,0.07,1.73,NA,2.92,NA,0.15,0.29,0.30,0.42,2.84,0.87,0.20,0.87,0.71,0.41,5.17,NA,0.76,NA,0.07,NA,0.00,NM,0.07,NM,0.21,0.41,NA,NA,NM,1.70,NA,0.77,NA,NA,NA,NA,NA,NA,0.42,1.08,NA,NA,NA,1.24,NA,NM
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profitability (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Assets,274473,5.85,3.73,4.31,NA,NA,0.60,21.26,4.44,1.74,NA,2.862,3.382,10.066,NA,NA,NA,NA,0.322,0.689,NA,NA,3.271,1.278,3.32,NA,4.269,-1.084,0.598,NA,5.527,-0.054,5.683,1.427,2.53,7.65,NA,NA,NA,1.665,NA,NA,2.754,7.873,3.032,4.98,3.784,1.669,2.713,NA,4.644,5.109,2.848,NA,NA,3.115,NA,NA,0.81,4.636,-7.282,5.68,NA,3.262,9.2,NA,1.126,7.459,NA,NA,NA,NA,4.306,0.393,3.65,NA,4.335,3.139,-0.916,NA,6.413,15.966,2.632,6.109,NA,2.208,NA,15.522,NA,2.795,4.687,13.589,18.4,4.516,0.49,1.04,1.641,NA,5.931,NA,6.342,NA,6.45,11.418,NA,1.991,2.584,6.626,NA,8.975,-1.15,4.161,NA,6.027,NA,2.579,9.628,-1.463,6.16,33.835,3.184,0.87,0.463,1.373,8.143,2.598,NA,4.757,NA,0.382,0.998,-1.276,0.912,5.106,0.523,4.841,9.021,NA,NA,9.511,1.273,NA,5.127,NA,NA,NA,NA,NA,NA,-0.812,3.603,NA,1.212,NA,4.997,NA,-0.016
Return on Capital,274474,12.41,4.85,5.36,NA,NA,NA,34.66,6.46,1.826,NA,4.002,7.116,14.702,NA,NA,NA,NA,0.338,10.726,NA,NA,3.85,1.865,4.636,NA,5.133,-2.886,NA,NA,6.735,-0.093,13.844,22.443,3.558,10.275,NA,NA,NA,NA,NA,NA,3.943,10.619,4.194,6.435,5.734,2.271,3.544,NA,4.797,5.992,4.12,NA,NA,3.324,NA,NA,1.146,5.577,-10.502,10.248,NA,3.908,12.356,NA,1.279,29.899,NA,NA,NA,NA,5.374,NA,4.976,NA,5.635,4.098,-1.75,NA,7.173,29.53,4.745,6.308,NA,3.273,NA,17.974,NA,3.744,6.546,24.4,25.058,4.653,NA,1.491,2.287,NA,8.176,NA,8.906,NA,9.475,15.074,NA,3.036,3.867,7.542,NA,14.145,-1.584,6.018,NA,7.184,NA,NA,12.72,-2.168,8.168,44.493,4.96,1.582,0.637,1.868,13.718,6.27,NA,6.027,NA,1.684,NA,-4.749,NA,7.114,NA,7.94,12.396,NA,NA,22.84,5.964,NA,7.053,NA,NA,NA,NA,NA,NA,-0.935,5.242,NA,NA,NA,5.488,NA,-0.016
Return on Equity,274475,(160.34),11.10,11.53,NA,NA,8.98,(242.89),17.97,4.667,NA,7.097,14.278,-13.814,NA,NA,NA,NA,-5.144,42.258,NA,NA,3.74,1.93,11.308,NA,28.006,-3.657,6.835,NA,15.488,-1.558,23.165,79.868,6.208,27.34,NA,NA,NA,16.688,NA,NA,9.891,22.074,11.452,14.365,13.028,3.395,6.429,NA,9.058,15.12,11.078,NA,NA,11.897,NA,NA,10.678,8.696,-79.017,21.113,NA,6.539,-29.045,NA,3.887,-129.583,NA,NA,NA,NA,15.807,2.21,8.858,NA,8.184,8.981,-23.062,NA,15.178,-5.781,12.332,17.858,NA,2.266,NA,-188.108,NA,11.916,10.593,511.692,-92.621,9.033,10.844,-61.22,-27.076,NA,15.141,NA,23.862,NA,-266.666,26.408,NA,5.916,-25.819,15.596,NA,46.896,-4.349,22.237,NA,9.357,NA,12.235,99.394,-5.136,19.11,-129.774,5.166,7.068,-0.412,0.466,111.65,10.894,NA,14.349,NA,-0.107,10.146,40.683,12.011,19.256,7.012,16.353,-3.951,NA,NA,81.297,8.566,NA,19.976,NA,NA,NA,NA,NA,NA,-6.82,10.454,NA,12.595,NA,9.387,NA,5.367
Return on Common Equity,274476,(162.12),11.10,11.53,NA,NA,9.91,(238.98),18.14,4.605,NA,7.097,14.354,-13.809,NA,NA,NA,NA,-9.45,40.374,NA,NA,3.74,1.93,10.688,NA,28.006,-3.657,6.675,NA,15.591,-1.564,25.273,88.804,5.744,27.349,NA,NA,NA,16.936,NA,NA,10.255,22.074,11.775,14.365,13.028,3.395,6.429,NA,8.107,15.294,11.078,NA,NA,11.864,NA,NA,10.907,8.701,-78.713,21.302,NA,6.488,-29.495,NA,3.961,-129.583,NA,NA,NA,NA,15.807,2.118,8.858,NA,8.184,8.981,-24.354,NA,15.178,-5.706,12.332,17.858,NA,2.125,NA,-188.108,NA,11.916,10.593,531.044,-92.621,9.276,10.844,-73.796,-27.076,NA,15.11,NA,23.862,NA,-227.508,26.643,NA,5.928,-25.824,15.596,NA,47.053,-4.349,22.237,NA,9.357,NA,13.118,103.665,-5.54,19.225,-129.775,5.062,7.068,-0.412,0.397,114.108,10.894,NA,14.349,NA,-1.256,10.611,40.588,14.387,19.256,7.053,16.112,-3.951,NA,NA,81.297,8.566,NA,19.746,NA,NA,NA,NA,NA,NA,-7.183,10.454,NA,13.504,NA,9.387,NA,5.367
Gross Profit Margin,274477,40.77,67.65,92.07,NA,NA,NA,69.81,57.27,52.282,NA,37.056,12.234,42.269,NA,NA,NA,NA,46.471,-0.171,NA,NA,67.663,43.568,55.645,NA,28.646,-5.964,NA,NA,27.176,32.709,24.3,50.835,33.627,46.865,NA,NA,NA,93.591,NA,NA,48.793,37.815,49.262,42.421,47.944,36.432,54.073,NA,92.309,55.636,40.385,NA,NA,72.829,NA,NA,8.696,59.752,46.587,40.129,NA,63.019,55.448,NA,55.068,21.385,NA,NA,NA,NA,92.268,80.518,53.333,NA,55.48,40.589,16.43,NA,25.84,33.298,41.394,100,NA,12.366,NA,57.741,NA,55.809,26.187,50.156,83.162,83.83,100,24.475,31.201,NA,42.915,NA,20.88,NA,72.262,30.537,NA,29.688,39.141,22.991,NA,23.323,15.179,30.55,NA,71.31,NA,100,49.88,5.303,11.577,52.182,39.364,21.64,25.919,15.981,18.179,34.525,NA,51.95,NA,14.879,NA,6.435,96.722,44.189,83.743,21.37,34.424,NA,NA,22.422,28.456,NA,59.872,NA,NA,NA,NA,NA,NA,25.852,51.493,NA,NA,NA,24.827,NA,NA
Net Income Margin,274478,(33.09),22.63,38.73,NA,NA,17.70,41.05,24.99,20.89,NA,9.555,2.481,5.673,NA,NA,NA,NA,-21.189,40.975,NA,NA,2.576,4.803,15.161,NA,10.655,-5.467,19.35,NA,11.071,-3.49,11.962,38.98,5.169,23.18,NA,NA,NA,25.204,NA,NA,4.121,14.795,15.662,16.035,18.684,6.024,13.865,NA,29.654,12.296,11.706,NA,NA,49.106,NA,NA,2.737,14.587,-17.744,7.777,NA,14.615,-11.381,NA,-238.182,5.805,NA,NA,NA,NA,28.351,4.883,13.333,NA,13.614,2.268,-2.463,NA,10.856,0.656,1.975,83.791,NA,0.439,NA,34.623,NA,33.299,4.986,18.153,41.516,36.634,22.571,-15.946,-10.645,NA,16.089,NA,9.586,NA,15.293,13.594,NA,7.133,-38.902,4.567,NA,6.685,-18.112,21.639,NA,23.517,NA,27.399,24.255,-7.308,4.191,25.593,5.739,2.958,-0.824,0.276,2.276,23.184,NA,21.384,NA,-0.034,23.545,-9.037,24.425,19.64,17.426,1.164,-1.387,NA,NA,7.692,6.532,NA,14.285,NA,NA,NA,NA,NA,NA,-6.482,17.958,NA,29.334,NA,11.82,NA,NA
Earnings from Cont Ops Margin,274479,(40.24),22.63,38.73,NA,NA,17.70,41.05,25.04,20.89,NA,9.555,2.498,5.673,NA,NA,NA,NA,-17.578,41.146,NA,NA,2.576,4.803,15.161,NA,10.655,-5.467,19.562,NA,11.087,-3.49,11.291,38.386,5.736,23.18,NA,NA,NA,25.204,NA,NA,18.32,13.377,18.426,16.035,18.684,6.024,13.865,NA,29.654,12.455,11.706,NA,NA,49.248,NA,NA,2.678,14.587,-17.671,8.005,NA,15.212,-11.334,NA,14.034,5.805,NA,NA,NA,NA,28.351,4.564,13.333,NA,13.614,2.268,-2.463,NA,10.856,0.656,1.975,83.791,NA,0.47,NA,34.623,NA,33.299,4.986,18.192,41.516,36.243,22.571,-32.88,-10.645,NA,16.089,NA,9.586,NA,15.293,13.594,NA,7.133,-38.902,4.567,NA,6.676,-18.112,21.639,NA,23.517,NA,28.013,24.303,-6.93,4.191,25.593,5.739,2.958,-0.824,0.339,2.276,23.184,NA,21.384,NA,-0.028,23.613,-9.048,24.425,19.64,17.426,1.17,-1.387,NA,NA,7.692,6.532,NA,14.651,NA,NA,NA,NA,NA,NA,-6.871,17.958,NA,29.176,NA,11.82,NA,NA
EBIT Margin,274481,18.37,37.11,54.59,NA,NA,NA,59.31,35.38,20.696,NA,18.434,3.479,12.594,NA,NA,NA,NA,5.527,53.636,NA,NA,8.213,12.864,27.527,NA,19.878,-7.454,NA,NA,16.07,-0.466,17.755,38.293,9.077,35.582,NA,NA,NA,NA,NA,NA,30.656,17.426,27.408,24.122,25.969,12.602,22.184,NA,55.929,18.505,18.796,NA,NA,40.805,NA,NA,1.975,19.478,-9.042,15.243,NA,25.581,20.746,NA,18.86,8.253,NA,NA,NA,NA,57.216,NA,19.259,NA,23.601,4.676,-0.999,NA,13.447,12.743,3.329,88.117,NA,2.552,NA,47.564,NA,29.876,8.36,26.252,56.651,56.349,NA,6.304,4.102,NA,31.942,NA,11.744,NA,27.061,20.331,NA,16.423,19.093,8.207,NA,8.861,-19.26,18.845,NA,33.379,NA,NA,30.409,-7.056,7.281,37.251,21.634,1.962,4.298,5.586,3.865,37.076,NA,30.063,NA,1.062,NA,-3.795,NA,23.694,NA,2.795,12.22,NA,NA,9.738,10.034,NA,23.527,NA,NA,NA,NA,NA,NA,-3.317,30.397,NA,NA,NA,17.31,NA,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
